
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,32,LAL,82,,3143,835,1383,.604,0,1,.000,835,1382,.604,.604,364,476,.765,190,696,886,371,81,280,297,216,2034
2,Tom Abernethy\abernto01,PF,25,GSW,67,,1222,153,318,.481,0,1,.000,153,317,.483,.481,56,82,.683,62,129,191,87,35,12,39,118,362
3,Alvan Adams\adamsal01,C,25,PHO,75,,2168,465,875,.531,0,2,.000,465,873,.533,.531,188,236,.797,158,451,609,322,108,55,218,237,1118
4,Tiny Archibald*\architi01,PG,31,BOS,80,80,2864,383,794,.482,4,18,.222,379,776,.488,.485,361,435,.830,59,138,197,671,106,10,242,218,1131
5,Dennis Awtrey\awtrede01,C,31,CHI,26,,560,27,60,.450,0,0,,27,60,.450,.450,32,50,.640,29,86,115,40,12,15,27,66,86
6,Gus Bailey\bailegu01,SG,28,WSB,20,,180,16,35,.457,1,1,1.000,15,34,.441,.471,5,13,.385,6,22,28,26,7,4,11,18,38
7,James Bailey\baileja01,PF,22,SEA,67,,726,122,271,.450,0,0,,122,271,.450,.450,68,101,.673,71,126,197,28,21,54,79,116,312
8,Greg Ballard\ballagr01,SF,25,WSB,82,,2438,545,1101,.495,16,47,.340,529,1054,.502,.502,171,227,.753,240,398,638,159,90,36,133,197,1277
9,Mike Bantom\bantomi01,SF,28,IND,77,,2330,384,760,.505,1,3,.333,383,757,.506,.506,139,209,.665,192,264,456,279,85,49,189,268,908
10,Marvin Barnes\barnema01,PF,27,SDC,20,,287,24,60,.400,0,0,,24,60,.400,.400,16,32,.500,34,43,77,18,5,12,18,52,64
11,Rick Barry*\barryri01,SF,35,HOU,72,,1816,325,771,.422,73,221,.330,252,550,.458,.469,143,153,.935,53,183,236,268,80,28,152,182,866
12,Tim Bassett\basseti01,PF,28,TOT,12,,164,12,34,.353,0,0,,12,34,.353,.353,10,15,.667,11,22,33,14,8,0,9,27,34
13,Billy Ray Bates\batesbi01,SG,23,POR,16,,235,72,146,.493,8,19,.421,64,127,.504,.521,28,39,.718,13,16,29,31,14,2,20,26,180
14,Ron Behagen\behagro01,PF,29,WSB,6,,64,9,23,.391,0,0,,9,23,.391,.391,5,6,.833,6,8,14,7,0,4,4,14,23
15,Kent Benson\bensoke01,C,25,TOT,73,,1891,299,618,.484,1,5,.200,298,613,.486,.485,99,141,.702,126,327,453,178,73,92,157,246,698
16,Del Beshore\beshode01,PG,23,CHI,68,,869,88,250,.352,10,26,.385,78,224,.348,.372,58,87,.667,16,47,63,139,58,5,104,105,244
17,Henry Bibby\bibbyhe01,PG,30,PHI,82,,2035,251,626,.401,11,52,.212,240,574,.418,.410,226,286,.790,65,143,208,307,62,6,147,161,739
18,Larry Bird*\birdla01,PF,23,BOS,82,82,2955,693,1463,.474,58,143,.406,635,1320,.481,.494,301,360,.836,216,636,852,370,143,53,263,279,1745
19,Otis Birdsong\birdsot01,SG,24,KCK,82,,2885,781,1546,.505,10,36,.278,771,1510,.511,.508,286,412,.694,170,161,331,202,136,22,179,226,1858
20,Ron Boone\boonero01,SG,33,TOT,81,,2392,405,915,.443,19,50,.380,386,865,.446,.453,175,196,.893,54,173,227,309,97,3,197,232,1004
21,Lawrence Boston\bostola01,PF,23,WSB,13,,125,24,52,.462,0,0,,24,52,.462,.462,8,13,.615,19,20,39,2,4,2,8,25,56
22,Tom Boswell\bosweto01,PF,26,TOT,79,,2077,346,613,.564,5,10,.500,341,603,.566,.569,206,273,.755,146,296,442,161,29,37,181,270,903
23,Winford Boynes\boynewi01,SG,22,NJN,64,,1102,221,467,.473,0,4,.000,221,463,.477,.473,104,136,.765,51,82,133,95,59,19,96,132,546
24,Alonzo Bradley\bradlal01,SF,26,HOU,22,,96,17,48,.354,1,1,1.000,16,47,.340,.365,6,9,.667,2,4,6,3,3,0,8,9,41
25,Dudley Bradley\bradldu01,SG,22,IND,82,,2027,275,609,.452,2,5,.400,273,604,.452,.453,136,174,.782,69,154,223,252,211,48,166,194,688
26,Mike Bratz\bratzmi01,PG,24,PHO,82,,1589,269,687,.392,21,86,.244,248,601,.413,.407,141,162,.870,50,117,167,223,93,9,135,165,700
27,Jim Brewer\breweji01,PF,28,POR,67,,1016,90,184,.489,0,5,.000,90,179,.503,.489,14,29,.483,101,156,257,75,42,43,47,129,194
28,Ron Brewer\brewero01,SG,24,POR,82,,2815,548,1182,.464,6,32,.188,542,1150,.471,.466,184,219,.840,54,160,214,216,98,48,167,154,1286
