
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*\abdulka01,C,31,LAL,80,,3157,777,1347,.577,,,,777,1347,.577,.577,349,474,.736,207,818,1025,431,76,316,282,230,1903
2,Tom Abernethy\abernto01,PF,24,GSW,70,,1219,176,342,.515,,,,176,342,.515,.515,70,94,.745,74,142,216,79,39,13,32,133,422
3,Alvan Adams\adamsal01,C,24,PHO,77,,2364,569,1073,.530,,,,569,1073,.530,.530,231,289,.799,220,485,705,360,110,63,279,246,1369
4,Lucius Allen\allenlu01,PG,31,KCK,31,,413,69,174,.397,,,,69,174,.397,.397,19,33,.576,14,32,46,44,21,6,30,52,157
5,Kim Anderson\anderki01,SF,23,POR,21,,224,24,77,.312,,,,24,77,.312,.312,15,28,.536,17,28,45,15,4,5,22,42,63
6,Tiny Archibald*\architi01,PG,30,BOS,69,,1662,259,573,.452,,,,259,573,.452,.452,242,307,.788,25,78,103,324,55,6,197,132,760
7,Tate Armstrong\armstta01,SG,23,CHI,26,,259,28,70,.400,,,,28,70,.400,.400,10,13,.769,7,13,20,31,10,0,21,22,66
8,Dennis Awtrey\awtrede01,C,30,TOT,63,,746,44,107,.411,,,,44,107,.411,.411,41,56,.732,42,109,151,69,16,13,52,106,129
9,Gus Bailey\bailegu01,SG,27,NOJ,2,,9,2,7,.286,,,,2,7,.286,.286,0,0,,2,0,2,2,0,0,1,1,4
10,Greg Ballard\ballagr01,SF,24,WSB,82,,1552,260,559,.465,,,,260,559,.465,.465,119,172,.692,143,307,450,116,58,30,97,167,639
11,Mike Bantom\bantomi01,PF,27,IND,81,,2528,482,1036,.465,,,,482,1036,.465,.465,227,338,.672,225,425,650,223,99,62,193,316,1191
12,Tom Barker\barketo01,C,23,TOT,39,,476,68,156,.436,,,,68,156,.436,.436,27,37,.730,45,74,119,15,10,11,34,76,163
13,Marvin Barnes\barnema01,PF,26,BOS,38,,796,133,271,.491,,,,133,271,.491,.491,43,66,.652,57,120,177,53,38,39,68,144,309
