
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz\abdulza01,PF-C,31,TOT,16,,158,23,60,.383,,,,23,60,.383,.383,17,23,.739,19,31,50,10,3,3,14,29,63
2,Kareem Abdul-Jabbar*\abdulka01,C,30,LAL,62,,2265,663,1205,.550,,,,663,1205,.550,.550,274,350,.783,186,615,801,269,103,185,208,182,1600
3,Tom Abernethy\abernto01,SF,23,LAL,73,,1317,201,404,.498,,,,201,404,.498,.498,91,111,.820,105,160,265,101,55,22,50,122,493
4,Alvan Adams\adamsal01,C,23,PHO,70,,1914,434,895,.485,,,,434,895,.485,.485,214,293,.730,158,407,565,225,86,63,234,242,1082
5,Lucius Allen\allenlu01,PG,30,KCK,77,,2147,373,846,.441,,,,373,846,.441,.441,174,220,.791,66,163,229,360,93,28,217,180,920
6,Jim Ard\ardji01,C,29,TOT,15,,125,8,17,.471,,,,8,17,.471,.471,3,5,.600,9,27,36,8,0,0,14,19,19
7,Tate Armstrong\armstta01,SG,22,CHI,66,,716,131,280,.468,,,,131,280,.468,.468,22,27,.815,24,44,68,74,23,0,58,42,284
8,Bird Averitt\averibi01,SG,25,TOT,55,,1085,198,484,.409,,,,198,484,.409,.409,100,141,.709,17,66,83,196,39,9,143,123,496
9,Dennis Awtrey\awtrede01,C,29,PHO,81,,1623,112,264,.424,,,,112,264,.424,.424,69,109,.633,97,205,302,163,19,25,127,153,293
10,Gus Bailey\bailegu01,SG,26,NOJ,48,,449,59,139,.424,,,,59,139,.424,.424,37,67,.552,44,38,82,40,18,15,33,46,155
11,Greg Ballard\ballagr01,SF,23,WSB,76,,936,142,334,.425,,,,142,334,.425,.425,88,114,.772,102,164,266,62,30,13,64,90,372
12,Mike Bantom\bantomi01,SF,26,IND,82,,2775,502,1047,.479,,,,502,1047,.479,.479,254,342,.743,184,426,610,238,100,50,218,333,1258
13,Marvin Barnes\barnema01,PF,25,TOT,60,,1646,279,661,.422,,,,279,661,.422,.422,128,182,.703,135,304,439,136,64,83,136,241,686
14,Rick Barry*\barryri01,SF,33,GSW,82,,3024,760,1686,.451,,,,760,1686,.451,.451,378,409,.924,75,374,449,446,158,45,224,188,1898
15,Tim Bassett\basseti01,PF,26,NJN,65,,1474,149,384,.388,,,,149,384,.388,.388,50,97,.515,142,262,404,63,62,33,80,181,348
16,Butch Beard\beardbu01,PG,30,NYK,79,,1979,308,614,.502,,,,308,614,.502,.502,129,160,.806,76,188,264,339,117,3,154,201,745
17,Ron Behagen\behagro01,PF,27,TOT,80,,1735,346,804,.430,,,,346,804,.430,.430,179,247,.725,201,312,513,101,62,31,174,263,871
18,Mel Bennett\benneme01,PF,23,IND,31,,285,23,81,.284,,,,23,81,.284,.284,28,45,.622,49,44,93,22,11,7,30,54,74
19,Kent Benson\bensoke01,C,23,MIL,69,,1288,220,473,.465,,,,220,473,.465,.465,92,141,.652,89,206,295,99,69,54,119,177,532
20,Henry Bibby\bibbyhe01,PG,28,PHI,82,,2518,286,659,.434,,,,286,659,.434,.434,171,219,.781,62,189,251,464,91,6,153,207,743
21,Bob Bigelow\bigelbo01,SF,24,TOT,5,,24,4,13,.308,,,,4,13,.308,.308,0,0,,3,6,9,0,0,0,0,3,8
22,Dave Bing*\bingda01,PG,34,BOS,80,,2256,422,940,.449,,,,422,940,.449,.449,244,296,.824,76,136,212,300,79,18,216,247,1088
23,Otis Birdsong\birdsot01,SG,22,KCK,73,,1878,470,955,.492,,,,470,955,.492,.492,216,310,.697,70,105,175,174,74,12,145,179,1156
24,Tom Boerwinkle\boerwto01,C,32,CHI,22,,227,23,50,.460,,,,23,50,.460,.460,10,13,.769,14,45,59,44,3,4,26,36,56
25,Phil Bond\bondph01,SG,23,HOU,7,,21,2,6,.333,,,,2,6,.333,.333,0,0,,1,3,4,2,1,0,2,1,4
26,Ron Boone\boonero01,SG,31,KCK,82,,2653,563,1271,.443,,,,563,1271,.443,.443,322,377,.854,112,157,269,311,105,11,303,233,1448
27,Jim Bostic\bostiji01,PF,25,DET,4,,48,12,22,.545,,,,12,22,.545,.545,2,5,.400,8,8,16,3,0,0,3,5,26
28,Tom Boswell\bosweto01,PF,24,BOS,65,,1149,185,357,.518,,,,185,357,.518,.518,93,123,.756,117,171,288,71,25,14,95,204,463
29,Freddie Boyd\boydfr01,SG,27,NOJ,21,,363,44,110,.400,,,,44,110,.400,.400,14,22,.636,2,17,19,48,9,3,20,23,102
30,Alonzo Bradley\bradlal01,SF,24,HOU,43,,798,130,304,.428,,,,130,304,.428,.428,43,59,.729,24,75,99,54,16,6,55,83,303
31,Mike Bratz\bratzmi01,PG,22,PHO,80,,933,159,395,.403,,,,159,395,.403,.403,56,68,.824,42,73,115,123,39,5,89,104,374
32,Jim Brewer\breweji01,PF,26,CLE,80,,1798,175,390,.449,,,,175,390,.449,.449,46,100,.460,182,313,495,98,60,48,103,178,396
33,Junior Bridgeman\bridgju01,SF,24,MIL,82,,1876,476,947,.503,,,,476,947,.503,.503,166,205,.810,114,176,290,175,72,30,176,202,1118
34,Allan Bristow\bristal01,SF,26,SAS,82,,1481,257,538,.478,,,,257,538,.478,.478,152,208,.731,99,158,257,194,69,4,146,150,666
35,Wayman Britt\brittwa01,SG,25,DET,7,,16,3,10,.300,,,,3,10,.300,.300,3,4,.750,1,3,4,2,1,0,1,3,9
36,Gary Brokaw\brokaga01,SG,24,BUF,13,,130,18,43,.419,,,,18,43,.419,.419,18,24,.750,3,9,12,20,3,5,12,11,54
37,Fred Brown\brownfr01,SG,29,SEA,72,,1965,508,1042,.488,,,,508,1042,.488,.488,176,196,.898,61,127,188,240,110,25,164,145,1192
38,John Brown\brownjo01,SF,26,ATL,75,,1594,192,405,.474,,,,192,405,.474,.474,165,200,.825,137,166,303,105,55,8,116,280,549
39,Joe Bryant\bryanjo01,PF,23,PHI,81,,1236,190,436,.436,,,,190,436,.436,.436,111,144,.771,103,177,280,129,56,24,115,185,491
40,Quinn Buckner\bucknqu01,PG,23,MIL,82,,2072,314,671,.468,,,,314,671,.468,.468,131,203,.645,78,169,247,456,188,19,228,287,759
41,Ticky Burden\burdeti01,SG,24,NYK,2,,15,1,2,.500,,,,1,2,.500,.500,0,0,,0,0,0,1,1,0,0,1,2
42,Tom Burleson\burleto01,C,25,KCK,76,,1525,228,525,.434,,,,228,525,.434,.434,197,248,.794,170,312,482,131,62,81,123,259,653
43,Don Buse\busedo01,PG,27,PHO,82,,2547,287,626,.458,,,,287,626,.458,.458,112,136,.824,59,190,249,391,185,14,124,144,686
44,Corky Calhoun\calhoco01,SF,27,POR,79,,1370,175,365,.479,,,,175,365,.479,.479,66,76,.868,73,142,215,87,42,15,64,141,416
45,Mack Calvin\calvima01,PG,30,DEN,77,,988,147,333,.441,,,,147,333,.441,.441,173,206,.840,11,73,84,148,46,5,108,87,467
46,Austin Carr\carrau01,SG,29,CLE,82,,2186,414,945,.438,,,,414,945,.438,.438,183,225,.813,76,111,187,225,68,19,146,168,1011
47,Kenny Carr\carrke01,PF,22,LAL,52,,733,134,302,.444,,,,134,302,.444,.444,55,85,.647,53,155,208,26,18,14,89,127,323
48,M.L. Carr\carrml01,SF,27,DET,79,,2556,390,857,.455,,,,390,857,.455,.455,200,271,.738,202,355,557,185,147,27,210,243,980
49,Bob Carrington\carribo01,SG,24,TOT,72,,1653,253,589,.430,,,,253,589,.430,.430,130,171,.760,70,104,174,117,65,23,118,205,636
50,Harvey Catchings\catchha01,C,26,PHI,61,,748,70,178,.393,,,,70,178,.393,.393,34,55,.618,105,145,250,34,20,67,44,124,174
51,Don Chaney\chanedo01,SG,31,TOT,51,,835,104,269,.387,,,,104,269,.387,.387,38,45,.844,40,76,116,66,44,13,61,107,246
52,Ken Charles\charlke01,SG,26,ATL,21,,520,73,184,.397,,,,73,184,.397,.397,42,50,.840,6,18,24,82,25,5,37,53,188
53,Phil Chenier\cheniph01,SG,27,WSB,36,,937,200,451,.443,,,,200,451,.443,.443,109,138,.790,15,87,102,73,36,9,67,54,509
54,Jim Chones\choneji01,C,28,CLE,82,,2906,525,1113,.472,,,,525,1113,.472,.472,180,250,.720,219,625,844,131,52,58,184,235,1230
55,Jim Cleamons\cleamji01,PG,28,NYK,79,,2009,215,448,.480,,,,215,448,.480,.480,81,103,.786,69,143,212,283,68,17,113,142,511
56,E.C. Coleman\colemec01,PF,27,GSW,72,,1801,212,446,.475,,,,212,446,.475,.475,40,55,.727,117,259,376,100,66,23,95,253,464
57,Doug Collins\collido01,SG,26,PHI,79,,2770,643,1223,.526,,,,643,1223,.526,.526,267,329,.812,87,143,230,320,128,25,250,228,1553
58,Norm Cook\cookno01,SF,22,DEN,2,,10,1,3,.333,,,,1,3,.333,.333,0,0,,1,2,3,1,0,0,0,4,2
59,Dave Cowens*\cowenda01,C,29,BOS,77,,3215,598,1220,.490,,,,598,1220,.490,.490,239,284,.842,248,830,1078,351,102,67,217,297,1435
60,Wesley Cox\coxwe01,SF,23,GSW,43,,453,69,173,.399,,,,69,173,.399,.399,58,100,.580,42,101,143,12,21,10,36,82,196
61,Charlie Criss\crissch01,PG,29,ATL,77,,1935,319,751,.425,,,,319,751,.425,.425,236,296,.797,24,97,121,294,108,5,150,143,874
62,Mark Crow\crowma01,SF,23,NJN,15,,154,35,80,.438,,,,35,80,.438,.438,14,20,.700,14,13,27,8,5,1,12,24,84
63,Louie Dampier*\dampilo01,PG,33,SAS,82,,2037,336,660,.509,,,,336,660,.509,.509,76,101,.752,24,98,122,285,87,13,95,84,748
64,Bob Dandridge\dandrbo01,SF,30,WSB,75,,2777,560,1190,.471,,,,560,1190,.471,.471,330,419,.788,137,305,442,287,101,44,241,262,1450
65,Adrian Dantley*\dantlad01,SF,21,TOT,79,,2933,578,1128,.512,,,,578,1128,.512,.512,541,680,.796,265,355,620,253,118,24,228,233,1697
66,Brad Davis\davisbr01,PG,22,LAL,33,,334,30,72,.417,,,,30,72,.417,.417,22,29,.759,4,31,35,83,15,2,35,39,82
67,Johnny Davis\davisjo01,SG,22,POR,82,,2188,343,756,.454,,,,343,756,.454,.454,188,227,.828,65,108,173,217,81,14,151,173,874
