
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz\abdulza01,C,29,SEA,27,,223,35,75,.467,,,,35,75,.467,.467,16,29,.552,30,46,76,16,8,15,,29,86
2,Kareem Abdul-Jabbar*\abdulka01,C,28,LAL,82,,3379,914,1728,.529,,,,914,1728,.529,.529,447,636,.703,272,1111,1383,413,119,338,,292,2275
3,Alvan Adams\adamsal01,C,21,PHO,80,,2656,629,1341,.469,,,,629,1341,.469,.469,261,355,.735,215,512,727,450,121,116,,274,1519
4,Don Adams\adamsdo01,SF,28,BUF,56,,704,67,170,.394,,,,67,170,.394,.394,40,57,.702,38,107,145,73,30,7,,128,174
5,Lucius Allen\allenlu01,PG,28,LAL,76,,2388,461,1004,.459,,,,461,1004,.459,.459,197,254,.776,64,150,214,357,101,20,,241,1119
6,Dan Anderson\anderda02,PG,25,POR,52,,614,88,181,.486,,,,88,181,.486,.486,51,61,.836,15,47,62,85,20,2,,58,227
7,Jerome Anderson\anderje01,SG,22,BOS,22,,126,25,45,.556,,,,25,45,.556,.556,11,16,.688,4,9,13,6,3,3,,25,61
8,Tiny Archibald*\architi01,PG,27,KCK,78,,3184,717,1583,.453,,,,717,1583,.453,.453,501,625,.802,67,146,213,615,126,15,,169,1935
9,Jim Ard\ardji01,C,27,BOS,81,,853,107,294,.364,,,,107,294,.364,.364,71,100,.710,96,193,289,48,12,36,,141,285
10,Dennis Awtrey\awtrede01,C,27,PHO,74,,1376,142,304,.467,,,,142,304,.467,.467,75,109,.688,93,200,293,159,21,22,,153,359
11,Gus Bailey\bailegu01,SG,24,HOU,30,,262,28,77,.364,,,,28,77,.364,.364,14,28,.500,20,30,50,41,14,8,,33,70
12,Mike Bantom\bantomi01,SF,24,TOT,73,,1571,220,476,.462,,,,220,476,.462,.462,136,199,.683,140,251,391,105,28,28,,221,576
13,Jim Barnett\barneji02,SG,31,NYK,71,,1026,164,371,.442,,,,164,371,.442,.442,90,114,.789,48,40,88,90,24,3,,86,418
14,Rick Barry*\barryri01,SF,31,GSW,81,,3122,707,1624,.435,,,,707,1624,.435,.435,287,311,.923,74,422,496,496,202,27,,215,1701
15,Jerry Baskerville\baskeje01,SF,24,PHI,21,,105,8,26,.308,,,,8,26,.308,.308,10,16,.625,13,15,28,3,6,5,,32,26
16,Butch Beard\beardbu01,PG,28,TOT,75,,1704,228,496,.460,,,,228,496,.460,.460,144,192,.750,103,207,310,218,81,8,,216,600
17,Ron Behagen\behagro01,PF,25,NOJ,66,,1733,308,691,.446,,,,308,691,.446,.446,144,179,.804,190,363,553,139,67,26,,222,760
18,Dennis Bell\bellde01,SF,24,NYK,10,,76,8,21,.381,,,,8,21,.381,.381,3,7,.429,4,10,14,3,6,1,,11,19
19,Leon Benbow\benbole01,SG,25,CHI,76,,1586,219,551,.397,,,,219,551,.397,.397,105,140,.750,65,111,176,158,62,11,,186,543
20,Henry Bibby\bibbyhe01,PG,26,NOJ,79,,1772,266,622,.428,,,,266,622,.428,.428,200,251,.797,58,121,179,225,62,3,,165,732
21,Bob Bigelow\bigelbo01,SF,22,KCK,31,,163,16,47,.340,,,,16,47,.340,.340,24,33,.727,9,20,29,9,4,1,,18,56
22,Dave Bing*\bingda01,PG,32,WSB,82,,2945,497,1113,.447,,,,497,1113,.447,.447,332,422,.787,94,143,237,492,118,23,,262,1326
23,John Block\blockjo01,PF,31,CHI,2,,7,2,4,.500,,,,2,4,.500,.500,0,2,.000,0,2,2,0,1,0,,2,4
24,Tom Boerwinkle\boerwto01,C,30,CHI,74,,2045,265,530,.500,,,,265,530,.500,.500,118,177,.667,263,529,792,283,47,52,,263,648
25,Tom Boswell\bosweto01,PF,22,BOS,35,,275,41,93,.441,,,,41,93,.441,.441,14,24,.583,26,45,71,16,2,1,,70,96
26,Freddie Boyd\boydfr01,SG-PG,25,TOT,36,,617,74,171,.433,,,,74,171,.433,.433,29,51,.569,4,28,32,80,28,7,,59,177
27,Bill Bradley*\bradlbi01,SF,32,NYK,82,,2709,392,906,.433,,,,392,906,.433,.433,130,148,.878,47,187,234,247,68,18,,256,914
28,Jim Brewer\breweji01,PF,24,CLE,82,,2913,400,874,.458,,,,400,874,.458,.458,140,214,.654,298,593,891,209,94,89,,214,940
29,Junior Bridgeman\bridgju01,SF,22,MIL,81,,1646,286,651,.439,,,,286,651,.439,.439,128,161,.795,113,181,294,157,52,21,,235,700
30,Gary Brokaw\brokaga01,SG,22,MIL,75,,1468,237,519,.457,,,,237,519,.457,.457,159,227,.700,26,99,125,246,37,17,,138,633
31,Fred Brown\brownfr01,SG,27,SEA,76,,2516,742,1522,.488,,,,742,1522,.488,.488,273,314,.869,111,206,317,207,143,18,,186,1757
32,John Brown\brownjo01,PF,24,ATL,75,,1758,215,486,.442,,,,215,486,.442,.442,162,209,.775,146,257,403,126,45,16,,235,592
