Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,67-15,40-1,27-14,48-10,19-5,18-6,30-4,9-3,10-2,38-8,29-7,5-5,40-3,2-1,13-1,8-5,12-1,11-3,15-2,6-2
2,Los Angeles Lakers,62-20,35-6,27-14,15-7,47-13,6-4,9-3,24-6,23-7,37-11,25-9,7-4,34-9,3-0,11-2,11-3,10-5,8-5,14-3,5-2
3,Milwaukee Bucks,57-25,33-8,24-17,39-19,18-6,18-10,21-9,10-2,8-4,33-18,24-7,4-10,39-7,2-2,13-4,7-6,10-4,10-2,10-5,5-2
4,Philadelphia 76ers,54-28,31-10,23-18,38-20,16-8,15-9,23-11,8-4,8-4,32-18,22-10,10-6,19-9,2-1,7-7,10-4,11-5,8-4,11-6,5-1
5,Houston Rockets,51-31,36-5,15-26,13-9,38-22,6-4,7-5,20-10,18-12,33-16,18-15,5-5,20-15,2-2,11-4,7-6,12-2,6-7,8-8,5-2
6,Atlanta Hawks,50-32,34-7,16-25,35-23,15-9,14-14,21-9,6-6,9-3,28-20,22-12,8-3,24-15,1-2,7-9,7-4,11-4,8-6,12-5,4-2
7,Denver Nuggets,47-35,34-7,13-28,13-9,34-26,6-4,7-5,15-15,19-11,30-21,17-14,9-5,23-18,4-0,8-6,7-6,8-8,9-4,8-7,3-4
8,Detroit Pistons,46-36,31-10,15-26,33-25,13-11,15-13,18-12,6-6,7-5,26-24,20-12,12-5,20-17,2-2,10-5,3-10,8-7,13-1,6-8,4-3
9,Dallas Mavericks,44-38,26-15,18-23,11-11,33-27,5-5,6-6,16-14,17-13,25-22,19-16,6-7,21-12,1-1,8-6,5-8,9-6,6-8,11-5,4-4
10,Utah Jazz,42-40,27-14,15-26,12-10,30-30,4-6,8-4,15-15,15-15,25-27,17-13,11-5,20-18,1-2,10-6,6-8,7-9,6-5,9-7,3-3
11,Portland Trail Blazers,40-42,27-14,13-28,9-13,31-29,3-7,6-6,13-17,18-12,29-24,11-18,7-6,23-17,2-1,10-6,8-8,8-7,1-12,7-5,4-3
12,New Jersey Nets,39-43,26-15,13-28,26-32,13-11,11-13,15-19,7-5,6-6,28-23,11-20,5-6,16-25,2-2,8-7,10-4,7-8,4-9,5-10,3-3
13,Washington Bullets,39-43,26-15,13-28,29-29,10-14,11-13,18-16,3-9,7-5,23-26,16-17,10-5,12-20,2-1,5-9,8-5,8-8,5-9,7-8,4-3
14,Sacramento Kings,37-45,25-16,12-29,9-13,28-32,3-7,6-6,15-15,13-17,20-30,17-15,7-8,11-25,1-2,4-10,4-10,9-8,9-2,6-10,4-3
15,San Antonio Spurs,35-47,21-20,14-27,10-12,25-35,5-5,5-7,9-21,16-14,27-25,8-22,4-10,16-23,1-2,8-6,10-5,6-10,5-8,3-13,2-3
16,Los Angeles Clippers,32-50,22-19,10-31,7-15,25-35,4-6,3-9,15-15,10-20,18-32,14-18,7-6,6-34,4-0,2-12,5-9,7-9,4-7,6-10,4-3
17,Phoenix Suns,32-50,23-18,9-32,7-15,25-35,2-8,5-7,9-21,16-14,20-28,12-22,7-7,19-27,0-3,3-12,7-4,7-9,6-7,6-9,3-6
18,Seattle SuperSonics,31-51,24-17,7-34,8-14,23-37,5-5,3-9,12-18,11-19,17-33,14-18,4-12,18-14,0-3,8-7,4-10,5-10,4-8,8-9,2-4
19,Chicago Bulls,30-52,22-19,8-33,19-39,11-13,9-19,10-20,5-7,6-6,17-34,13-18,6-4,11-27,3-1,4-11,6-9,3-10,5-9,5-9,4-3
20,Golden State Warriors,30-52,24-17,6-35,9-13,21-39,4-6,5-7,9-21,12-18,15-37,15-15,7-8,11-24,1-3,7-8,4-11,2-14,5-6,9-6,2-4
21,Cleveland Cavaliers,29-53,16-25,13-28,19-39,10-14,9-20,10-19,5-7,5-7,18-31,11-22,3-9,16-25,1-3,6-7,7-8,4-11,5-7,5-10,1-7
22,Indiana Pacers,26-56,19-22,7-34,19-39,7-17,10-19,9-20,1-11,6-6,16-33,10-23,1-7,18-28,1-1,2-13,6-7,5-11,6-8,5-10,1-6
23,New York Knicks,23-59,15-26,8-33,14-44,9-15,5-19,9-25,4-8,5-7,18-32,5-27,3-5,8-33,0-3,4-11,7-7,6-9,2-9,3-14,1-6
