Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,67-15,36-5,31-10,27-3,40-12,13-1,14-2,20-8,20-4,37-11,30-4,8-1,34-7,11-4,14-1,9-5,12-1,15-1,6-3
2,Portland Trail Blazers,59-23,30-11,29-12,21-9,38-14,10-4,11-5,17-11,21-3,38-11,21-12,4-7,32-7,13-3,9-4,11-3,12-2,7-7,7-4
3,Indiana Pacers,56-26,36-5,20-21,36-18,20-8,16-10,20-8,11-3,9-5,32-16,24-10,8-5,28-13,8-7,12-2,8-6,11-2,9-7,8-2
4,Utah Jazz,55-27,31-10,24-17,22-8,33-19,10-4,12-4,14-10,19-9,29-18,26-9,7-8,31-9,8-6,10-4,9-5,8-5,14-2,6-5
5,Phoenix Suns,53-29,32-9,21-20,23-7,30-22,11-3,12-4,15-13,15-9,29-19,24-10,7-9,27-10,10-4,8-7,7-7,10-3,12-4,6-4
6,San Antonio Spurs,53-29,31-10,22-19,20-10,33-19,10-4,10-6,16-8,17-11,32-17,21-12,8-7,31-11,13-3,8-7,7-6,9-4,10-5,6-4
7,Miami Heat,52-30,33-8,19-22,34-20,18-10,18-6,16-14,10-4,8-6,30-17,22-13,9-2,26-15,11-3,8-6,8-7,9-5,9-5,7-4
8,Minnesota Timberwolves,50-32,26-15,24-17,18-12,32-20,6-8,12-4,18-6,14-14,27-20,23-12,11-4,23-15,7-5,6-9,12-3,7-7,12-4,6-4
9,New York Knicks,50-32,33-8,17-24,32-22,18-10,14-10,18-12,9-5,9-5,29-18,21-14,9-5,20-13,8-8,10-4,8-4,8-5,11-6,5-5
10,Charlotte Hornets,49-33,30-11,19-22,36-18,13-15,16-10,20-8,7-7,6-8,27-20,22-13,7-5,24-16,8-6,10-5,6-7,7-7,9-6,9-2
11,Philadelphia 76ers,49-33,29-12,20-21,36-18,13-15,13-11,23-7,7-7,6-8,27-22,22-11,17-8,18-14,8-8,9-7,7-5,7-5,11-5,7-3
12,Seattle SuperSonics,45-37,24-17,21-20,14-16,31-21,7-7,7-9,19-9,12-12,31-20,14-17,8-7,22-17,11-4,7-8,10-5,7-6,6-8,4-6
13,Toronto Raptors,45-37,26-15,19-22,29-25,16-12,13-13,16-12,6-8,10-4,26-21,19-16,13-4,20-20,9-6,8-6,7-7,6-6,10-7,5-5
14,Sacramento Kings,44-38,30-11,14-27,19-11,25-27,8-6,11-5,16-12,9-15,30-18,14-20,3-6,28-16,10-2,7-8,10-6,5-8,9-6,3-8
15,Detroit Pistons,42-40,27-14,15-26,30-24,12-16,14-12,16-12,5-9,7-7,25-23,17-17,6-6,21-16,7-8,8-6,7-8,6-6,8-7,6-5
16,Milwaukee Bucks,42-40,23-18,19-22,28-26,14-14,12-14,16-12,8-6,6-8,26-24,16-16,11-7,18-17,8-6,9-7,8-7,3-9,6-8,8-3
17,Orlando Magic,41-41,26-15,15-26,27-27,14-14,12-13,15-14,10-4,4-10,24-26,17-15,6-7,20-16,7-8,8-6,5-12,6-5,11-5,4-5
18,Dallas Mavericks,40-42,22-19,18-23,12-18,28-24,3-11,9-7,12-12,16-12,20-28,20-14,6-7,18-19,5-11,4-10,8-5,7-6,7-9,9-1
19,Boston Celtics,35-47,26-15,9-32,24-30,11-17,12-12,12-18,6-8,5-9,21-28,14-19,4-13,18-19,7-7,5-9,8-7,3-10,7-9,5-5
20,Denver Nuggets,35-47,25-16,10-31,13-17,22-30,5-9,8-8,10-14,12-16,21-27,14-20,10-8,12-27,6-7,9-6,5-9,5-8,4-13,6-4
21,Houston Rockets,34-48,22-19,12-29,11-19,23-29,5-9,6-10,8-16,15-13,20-30,14-18,6-7,16-22,4-11,6-9,7-7,5-8,5-10,7-3
22,Cleveland Cavaliers,32-50,22-19,10-31,20-34,12-16,12-14,8-20,8-6,4-10,19-30,13-20,7-11,12-21,7-6,5-11,6-9,4-8,6-9,4-7
23,New Jersey Nets,31-51,22-19,9-32,21-33,10-18,9-16,12-17,5-9,5-9,19-30,12-21,6-14,15-15,2-13,10-5,5-9,5-7,9-7,0-10
24,Washington Wizards,29-53,17-24,12-29,19-35,10-18,7-17,12-18,7-7,3-11,15-34,14-19,2-10,15-22,5-10,5-10,4-10,2-10,10-7,3-6
25,Atlanta Hawks,28-54,21-20,7-34,20-34,8-20,9-17,11-17,4-10,4-10,19-28,9-26,4-7,11-32,6-9,5-9,5-8,6-6,4-13,2-9
26,Vancouver Grizzlies,22-60,12-29,10-31,10-20,12-40,5-9,5-11,6-18,6-22,14-34,8-26,5-10,10-33,3-11,3-12,6-8,6-7,1-14,3-8
27,Golden State Warriors,19-63,12-29,7-34,10-20,9-43,4-10,6-10,7-21,2-22,12-35,7-28,2-4,10-39,2-11,4-12,3-9,7-8,1-16,2-7
28,Chicago Bulls,17-65,12-29,5-36,13-41,4-24,8-18,5-23,1-13,3-11,10-37,7-28,6-9,3-38,1-12,1-13,6-8,4-10,2-14,3-8
29,Los Angeles Clippers,15-67,10-31,5-36,7-23,8-44,5-9,2-14,3-25,5-19,11-38,4-29,3-5,3-47,4-10,5-10,2-12,1-14,2-13,1-8
