Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Philadelphia 76ers,65-17,35-6,30-11,44-14,21-3,15-9,29-5,11-1,10-2,43-7,22-10,7-4,39-6,2-0,11-3,11-2,14-1,11-1,11-5,5-5
2,Los Angeles Lakers,58-24,33-8,25-16,16-6,42-18,4-6,12-0,21-9,21-9,38-11,20-13,13-5,34-10,0-1,12-3,12-3,10-3,6-6,13-3,5-5
3,Boston Celtics,56-26,33-8,23-18,37-21,19-5,14-10,23-11,11-1,8-4,38-12,18-14,7-4,29-7,2-0,11-3,9-5,13-2,6-5,8-8,7-3
4,Phoenix Suns,53-29,32-9,21-20,11-11,42-18,3-7,8-4,21-9,21-9,30-22,23-7,4-10,30-10,1-1,10-5,8-6,8-8,8-4,10-4,8-1
5,San Antonio Spurs,53-29,31-10,22-19,14-8,39-21,5-5,9-3,21-9,18-12,32-21,21-8,13-9,25-9,2-0,10-6,9-6,9-6,6-5,10-4,7-2
6,Milwaukee Bucks,51-31,31-10,20-21,36-22,15-9,14-15,22-7,9-3,6-6,33-18,18-13,7-7,34-13,2-0,9-6,10-5,9-5,8-3,8-8,5-4
7,New Jersey Nets,49-33,30-11,19-22,35-23,14-10,11-13,24-10,6-6,8-4,33-18,16-15,6-7,18-14,1-1,7-8,9-4,11-4,8-4,9-6,4-6
8,Seattle SuperSonics,48-34,29-12,19-22,12-10,36-24,3-7,9-3,22-8,14-16,28-23,20-11,9-11,23-12,2-0,12-2,9-6,2-12,7-6,10-5,6-3
9,Portland Trail Blazers,46-36,31-10,15-26,12-10,34-26,6-4,6-6,18-12,16-14,29-21,17-15,6-5,19-15,0-2,9-7,9-5,9-4,7-6,7-8,5-4
10,Denver Nuggets,45-37,29-12,16-25,11-11,34-26,2-8,9-3,17-13,17-13,25-27,20-10,2-3,25-22,1-1,6-9,6-7,9-7,7-6,10-5,6-2
11,Kansas City Kings,45-37,30-11,15-26,14-8,31-29,5-5,9-3,18-12,13-17,25-25,20-12,9-4,23-19,1-0,7-5,9-5,6-12,5-6,9-7,8-2
12,New York Knicks,44-38,26-15,18-23,31-27,13-11,10-14,21-13,10-2,3-9,22-28,22-10,7-7,25-14,0-2,4-9,7-8,7-8,10-2,10-5,6-4
13,Atlanta Hawks,43-39,26-15,17-24,33-25,10-14,12-17,21-8,6-6,4-8,24-26,19-13,9-2,19-25,0-2,7-5,7-8,7-8,7-6,10-7,5-3
14,Washington Bullets,42-40,27-14,15-26,29-29,13-11,10-14,19-15,6-6,7-5,24-25,18-15,11-11,14-14,1-1,6-7,9-5,4-11,5-6,11-6,6-4
15,Dallas Mavericks,38-44,23-18,15-26,6-16,32-28,0-10,6-6,15-15,17-13,25-24,13-20,7-11,16-18,1-1,6-6,5-9,9-7,7-6,8-9,2-6
16,Detroit Pistons,37-45,23-18,14-27,29-29,8-16,10-18,19-11,3-9,5-7,24-27,13-18,6-8,18-18,2-0,9-6,5-10,7-7,4-7,5-11,5-4
17,Golden State Warriors,30-52,21-20,9-32,8-14,22-38,4-6,4-8,11-19,11-19,20-30,10-22,4-7,12-29,2-0,3-11,7-7,7-8,4-9,3-11,4-6
18,Utah Jazz,30-52,21-20,9-32,7-15,23-37,2-8,5-7,15-15,8-22,18-34,12-18,2-7,9-28,1-1,3-10,8-9,6-9,2-10,6-9,4-4
19,Chicago Bulls,28-54,18-23,10-31,20-38,8-16,7-21,13-17,4-8,4-8,17-34,11-20,6-10,7-29,0-2,6-8,4-10,5-11,5-7,6-8,2-8
20,San Diego Clippers,25-57,18-23,7-34,9-13,16-44,4-6,5-7,9-21,7-23,17-35,8-22,2-8,9-26,0-2,3-11,3-12,8-7,6-6,5-10,0-9
21,Cleveland Cavaliers,23-59,15-26,8-33,13-45,10-14,5-23,8-22,5-7,5-7,12-39,11-20,8-3,6-35,0-2,2-11,2-12,5-10,6-7,4-12,4-5
22,Indiana Pacers,20-62,14-27,6-35,12-46,8-16,6-22,6-24,4-8,4-8,15-35,5-27,6-8,3-25,1-1,5-9,5-8,3-11,2-12,3-13,1-8
23,Houston Rockets,14-68,9-32,5-36,5-17,9-51,2-8,3-9,4-26,5-25,10-40,4-28,8-8,3-42,0-2,2-10,2-13,4-11,3-10,2-14,1-8
