Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Indiana Pacers,48-34,29-12,19-22,33-19,15-15,9-9,11-5,13-5,5-5,5-5,5-5,38-20,10-14,6-6,23-16,5-3,8-6,12-3,7-7,9-3,4-10,3-2
12,Los Angeles Clippers,48-34,26-15,22-19,20-10,28-24,6-4,7-3,7-3,7-11,11-5,10-8,32-27,16-7,6-2,23-18,4-3,11-3,6-9,7-9,6-5,13-2,1-3
13,San Antonio Spurs,48-34,32-9,16-25,18-12,30-22,6-4,7-3,5-5,10-8,10-8,10-6,33-26,15-8,7-4,25-16,5-2,5-10,11-5,10-5,3-7,10-4,4-1
14,Brooklyn Nets,42-40,23-18,19-22,29-23,13-17,8-8,10-8,11-7,2-8,6-4,5-5,30-29,12-11,12-8,16-22,3-5,5-10,9-6,11-4,4-6,7-7,3-2
15,Orlando Magic,42-40,25-16,17-24,30-22,12-18,11-7,9-9,10-6,2-8,4-6,6-4,27-32,15-8,5-6,21-21,2-5,9-7,5-8,5-11,8-3,9-5,4-1
16,Detroit Pistons,41-41,26-15,15-26,27-25,14-16,10-8,8-8,9-9,4-6,5-5,5-5,26-30,15-11,6-9,16-21,4-3,8-4,4-11,6-10,7-3,10-6,2-4
17,Charlotte Hornets,39-43,25-16,14-27,29-23,10-20,8-10,11-7,10-6,2-8,3-7,5-5,27-30,12-13,6-10,21-20,4-4,7-7,7-7,6-8,4-7,7-8,4-2
18,Miami Heat,39-43,19-22,20-21,23-29,16-14,7-11,9-9,7-9,4-6,3-7,9-1,26-30,13-13,6-9,16-20,3-4,5-9,9-5,7-7,3-9,11-4,1-5
19,Sacramento Kings,39-43,24-17,15-26,18-12,21-31,3-7,7-3,8-2,7-11,4-12,10-8,30-27,9-16,6-7,16-18,5-3,5-8,9-6,7-8,5-5,7-9,1-4
20,Los Angeles Lakers,37-45,22-19,15-26,12-18,25-27,1-9,5-5,6-4,7-11,9-7,9-9,28-29,9-16,5-4,16-25,3-5,10-4,8-7,6-9,3-6,5-11,2-3
21,Minnesota Timberwolves,36-46,25-16,11-30,14-16,22-30,4-6,5-5,5-5,5-11,9-9,8-10,27-30,9-16,8-5,19-22,4-4,7-7,6-9,8-6,4-7,5-9,2-4
22,Dallas Mavericks,33-49,24-17,9-32,15-15,18-34,4-6,6-4,5-5,8-10,6-12,4-12,26-31,7-18,7-7,12-22,2-6,8-4,7-9,6-9,4-6,3-12,3-3
23,Memphis Grizzlies,33-49,21-20,12-29,9-21,24-28,3-7,3-7,3-7,9-9,7-11,8-8,23-36,10-13,6-9,14-19,4-2,9-6,5-10,2-14,4-7,7-7,2-3
24,New Orleans Pelicans,33-49,19-22,14-27,10-20,23-29,3-7,5-5,2-8,7-11,8-10,8-8,26-33,7-16,4-6,15-20,4-3,7-9,6-9,6-8,4-7,5-10,1-3
25,Washington Wizards,32-50,22-19,10-31,19-33,13-17,6-12,6-12,7-9,4-6,5-5,4-6,24-34,8-16,5-6,14-23,1-6,7-8,6-9,8-6,3-7,7-10,0-4
26,Atlanta Hawks,29-53,17-24,12-29,16-36,13-17,4-14,6-12,6-10,5-5,4-6,4-6,19-39,10-14,9-6,7-31,2-5,3-13,6-7,5-9,5-7,7-8,1-4
27,Chicago Bulls,22-60,9-32,13-28,16-36,6-24,4-14,3-13,9-9,1-9,2-8,3-7,14-44,8-16,8-8,9-31,2-6,3-12,5-9,2-13,5-5,4-11,1-4
28,Cleveland Cavaliers,19-63,13-28,6-35,15-37,4-26,6-12,4-12,5-13,0-10,2-8,2-8,12-46,7-17,5-4,6-43,1-6,3-11,4-12,3-12,4-6,4-11,0-5
29,Phoenix Suns,19-63,12-29,7-34,8-22,11-41,3-7,3-7,2-8,2-16,3-13,6-12,11-48,8-15,5-5,5-40,1-6,3-12,5-11,2-13,1-8,5-10,2-3
30,New York Knicks,17-65,9-32,8-33,11-41,6-24,2-14,3-15,6-12,0-10,2-8,4-6,11-47,6-18,4-7,6-41,2-6,5-10,2-12,1-12,3-9,1-13,3-3
