Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,62-20,35-6,27-14,22-6,40-14,12-2,10-4,19-5,21-9,38-10,24-10,11-6,34-5,7-4,14-0,10-4,9-4,13-3,9-5
2,New York Knicks,60-22,37-4,23-18,42-14,18-8,23-5,19-9,9-3,9-5,34-16,26-6,6-7,33-11,8-5,10-4,7-6,11-3,12-2,12-2
3,Chicago Bulls,57-25,31-10,26-15,39-17,18-8,20-8,19-9,7-5,11-3,35-17,22-8,6-7,31-5,9-3,12-4,7-8,10-2,10-4,9-4
4,Houston Rockets,55-27,31-10,24-17,19-9,36-18,9-5,10-4,19-7,17-11,30-21,25-6,6-4,30-13,7-4,7-7,10-7,9-3,11-4,11-2
5,Seattle SuperSonics,55-27,33-8,22-19,17-11,38-16,10-4,7-7,16-8,22-8,33-17,22-10,5-6,37-8,8-4,10-4,10-4,9-5,11-6,7-4
6,Cleveland Cavaliers,54-28,35-6,19-22,37-19,17-9,15-13,22-6,8-4,9-5,34-19,20-9,4-7,34-5,6-7,11-5,8-6,12-1,6-6,11-3
7,Portland Trail Blazers,51-31,30-11,21-20,15-13,36-18,7-7,8-6,17-7,19-11,31-16,20-15,6-4,27-19,9-2,8-6,11-4,4-7,9-8,10-4
8,San Antonio Spurs,49-33,31-10,18-23,17-11,32-22,8-6,9-5,17-9,15-13,34-15,15-18,7-5,26-11,5-6,9-6,12-2,9-4,8-8,6-7
9,Boston Celtics,48-34,28-13,20-21,33-23,15-11,19-9,14-14,8-4,7-7,26-24,22-10,6-2,21-18,5-8,7-9,10-4,7-4,13-3,6-6
10,Utah Jazz,47-35,28-13,19-22,18-10,29-25,10-4,8-6,16-10,13-15,33-18,14-17,5-4,25-20,7-5,11-3,9-6,6-8,8-8,6-5
11,Charlotte Hornets,44-38,22-19,22-19,29-27,15-11,17-11,12-16,7-5,8-6,26-23,18-15,10-5,14-19,7-6,7-7,6-7,8-5,7-10,9-3
12,Atlanta Hawks,43-39,25-16,18-23,26-30,17-9,14-14,12-16,10-2,7-7,24-27,19-12,2-6,21-26,6-6,6-9,9-6,5-8,12-3,5-7
13,New Jersey Nets,43-39,26-15,17-24,27-29,16-10,14-14,13-15,7-5,9-5,30-21,13-18,10-8,20-20,7-7,9-5,8-7,7-5,10-5,2-10
14,Indiana Pacers,41-41,27-14,14-27,27-29,14-12,16-12,11-17,4-8,10-4,23-28,18-13,6-8,24-21,6-6,7-9,9-6,4-8,8-6,7-6
15,Los Angeles Clippers,41-41,27-14,14-27,14-14,27-27,7-7,7-7,12-12,15-15,26-25,15-16,5-8,19-17,7-6,8-6,7-8,6-6,6-10,7-5
16,Orlando Magic,41-41,27-14,14-27,27-29,14-12,15-13,12-16,7-5,7-7,24-23,17-18,7-9,27-21,8-3,5-8,5-8,8-6,7-9,8-7
17,Detroit Pistons,40-42,28-13,12-29,31-25,9-17,19-9,12-16,4-8,5-9,21-29,19-13,9-8,13-18,3-9,11-3,5-11,4-7,9-7,8-5
18,Los Angeles Lakers,39-43,20-21,19-22,13-15,26-28,6-8,7-7,13-11,13-17,26-23,13-20,13-6,13-27,7-4,8-7,7-9,6-4,6-11,5-8
19,Denver Nuggets,36-46,28-13,8-33,11-17,25-29,5-9,6-8,13-13,12-16,20-30,16-16,5-6,23-23,5-7,2-12,8-7,7-6,7-9,7-5
20,Miami Heat,36-46,26-15,10-31,22-34,14-12,9-19,13-15,7-5,7-7,18-31,18-15,6-8,18-22,4-8,4-10,5-9,8-5,10-5,5-9
21,Golden State Warriors,34-48,19-22,15-26,9-19,25-29,6-8,3-11,16-8,9-21,23-30,11-18,6-10,19-25,5-8,10-5,5-9,4-10,4-9,6-7
22,Milwaukee Bucks,28-54,18-23,10-31,20-36,8-18,10-18,10-18,5-7,3-11,20-31,8-23,6-7,13-30,9-3,2-12,6-9,4-10,5-9,2-11
23,Philadelphia 76ers,26-56,15-26,11-30,18-38,8-18,11-17,7-21,4-8,4-10,18-31,8-25,5-4,11-29,3-8,5-9,9-7,2-9,2-15,5-8
24,Sacramento Kings,25-57,16-25,9-32,7-21,18-36,4-10,3-11,12-12,6-24,17-34,8-23,4-8,12-26,5-8,5-8,6-9,2-12,3-11,4-9
25,Washington Bullets,22-60,15-26,7-34,14-42,8-18,7-21,7-21,5-7,3-11,15-36,7-24,3-10,7-33,4-9,4-11,4-9,4-9,4-11,2-11
26,Minnesota Timberwolves,19-63,11-30,8-33,5-23,14-40,2-12,3-11,10-16,4-24,12-35,7-28,7-7,8-32,4-7,1-12,3-11,5-8,5-13,1-12
27,Dallas Mavericks,11-71,7-34,4-37,6-22,5-49,3-11,3-11,3-23,2-26,4-45,7-26,5-1,2-58,1-9,1-13,1-14,1-12,3-14,4-9
