Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Pistons,64-18,37-4,27-14,39-13,25-5,14-4,13-3,12-6,7-3,9-1,9-1,42-9,22-9,7-4,32-8,11-2,13-2,13-2,10-3,11-5,6-4
2,San Antonio Spurs,63-19,34-7,29-12,21-9,42-10,9-1,5-5,7-3,15-3,14-4,13-3,40-12,23-7,10-2,31-11,11-3,13-4,11-3,9-2,12-4,7-3
3,Dallas Mavericks,60-22,34-7,26-15,23-7,37-15,7-3,7-3,9-1,15-3,9-9,13-3,41-11,19-11,11-6,28-10,10-4,12-4,13-2,10-1,9-8,6-3
4,Phoenix Suns,54-28,31-10,23-18,22-8,32-20,8-2,6-4,8-2,12-6,10-6,10-8,35-17,19-11,0-7,34-9,8-5,11-5,10-6,9-1,11-6,5-5
5,Miami Heat,52-30,31-10,21-20,35-17,17-13,13-5,9-9,13-3,7-3,5-5,5-5,33-20,19-10,8-4,27-11,9-6,9-7,10-5,8-2,12-3,4-7
6,Cleveland Cavaliers,50-32,31-10,19-22,34-18,16-14,12-6,11-5,11-7,6-4,4-6,6-4,31-21,19-11,9-4,20-11,10-4,8-6,8-7,6-8,10-4,8-3
7,Memphis Grizzlies,49-33,30-11,19-22,18-12,31-21,6-4,4-6,8-2,12-6,13-5,6-10,29-23,20-10,6-10,30-13,10-5,9-5,7-8,5-8,10-6,8-1
8,New Jersey Nets,49-33,29-12,20-21,33-19,16-14,10-6,9-9,14-4,6-4,5-5,5-5,28-23,21-10,8-6,21-17,7-8,10-4,6-8,8-5,12-3,6-5
9,Los Angeles Clippers,47-35,27-14,20-21,20-10,27-25,7-3,4-6,9-1,14-4,7-9,6-12,30-21,17-14,6-5,24-19,10-5,6-7,9-5,7-6,10-6,5-6
10,Los Angeles Lakers,45-37,27-14,18-23,18-12,27-25,6-4,6-4,6-4,9-9,9-7,9-9,26-26,19-11,7-9,25-15,5-8,10-6,9-6,5-8,10-7,6-2
11,Denver Nuggets,44-38,26-15,18-23,19-11,25-27,6-4,6-4,7-3,10-6,6-12,9-9,28-26,16-12,12-8,22-20,8-8,6-9,11-5,5-5,11-5,3-6
12,Sacramento Kings,44-38,27-14,17-24,14-16,30-22,5-5,5-5,4-6,12-6,10-6,8-10,24-29,20-9,6-5,21-21,7-8,5-9,7-9,7-4,11-6,7-2
13,Washington Wizards,42-40,27-14,15-26,29-23,13-17,11-7,10-8,8-8,5-5,6-4,2-8,26-25,16-15,5-8,24-16,7-7,5-9,9-6,8-4,8-8,5-6
14,Chicago Bulls,41-41,21-20,20-21,30-22,11-19,14-4,4-12,12-6,4-6,3-7,4-6,23-29,18-12,6-10,14-16,7-6,5-11,8-7,5-7,7-9,9-1
15,Indiana Pacers,41-41,27-14,14-27,24-28,17-13,9-9,6-10,9-9,6-4,7-3,4-6,26-23,15-18,4-10,26-14,9-5,6-7,6-10,7-3,7-11,6-5
16,Utah Jazz,41-41,22-19,19-22,15-15,26-26,5-5,5-5,5-5,11-5,8-10,7-11,25-27,16-14,7-2,17-23,6-9,8-7,7-8,6-5,7-9,7-3
17,Milwaukee Bucks,40-42,25-16,15-26,29-23,11-19,12-6,6-10,11-7,5-5,2-8,4-6,27-25,13-17,11-6,15-18,7-6,9-5,7-10,6-7,7-8,4-6
18,New Orleans/Oklahoma City Hornets,38-44,24-17,14-27,13-17,25-27,5-5,2-8,6-4,10-8,8-10,7-9,29-23,9-21,7-5,14-28,7-7,5-10,10-5,9-4,3-11,4-7
19,Philadelphia 76ers,38-44,23-18,15-26,22-30,16-14,10-6,6-12,6-12,5-5,5-5,6-4,25-27,13-17,9-7,12-21,8-8,7-7,8-7,5-6,5-10,5-6
20,Orlando Magic,36-46,26-15,10-31,24-28,12-18,10-8,5-13,9-7,5-5,3-7,4-6,19-32,17-14,4-6,15-19,7-7,5-8,6-9,2-12,9-8,7-2
21,Seattle SuperSonics,35-47,22-19,13-28,15-15,20-32,5-5,5-5,5-5,10-6,6-12,4-14,20-33,15-14,4-4,15-24,6-8,7-8,5-10,4-10,7-7,6-4
22,Golden State Warriors,34-48,21-20,13-28,15-15,19-33,7-3,4-6,4-6,10-8,4-12,5-13,24-28,10-20,7-14,12-22,11-6,6-8,3-9,4-9,6-9,4-7
23,Houston Rockets,34-48,15-26,19-22,15-15,19-33,5-5,5-5,5-5,10-8,8-10,1-15,22-31,12-17,7-9,13-19,4-11,6-7,5-11,10-3,7-8,2-8
24,Boston Celtics,33-49,21-20,12-29,19-33,14-16,10-6,3-15,6-12,6-4,4-6,4-6,20-32,13-17,9-10,15-17,6-8,6-9,6-10,5-6,7-9,3-7
25,Minnesota Timberwolves,33-49,24-17,9-32,13-17,20-32,4-6,4-6,5-5,6-10,9-9,5-13,23-29,10-20,4-10,16-19,7-6,7-7,7-9,3-10,6-10,3-7
26,Toronto Raptors,27-55,15-26,12-29,20-32,7-23,6-10,4-14,10-8,4-6,1-9,2-8,20-33,7-22,5-11,12-20,1-15,7-7,7-8,5-6,6-10,1-9
27,Atlanta Hawks,26-56,18-23,8-33,19-33,7-23,7-11,7-11,5-11,2-8,2-8,3-7,16-34,10-22,12-12,7-22,2-12,5-9,5-10,6-6,4-12,4-7
28,Charlotte Bobcats,26-56,17-24,9-32,18-34,8-22,9-9,4-14,5-11,4-6,3-7,1-9,14-40,12-16,5-7,10-26,5-11,5-9,1-15,4-8,5-10,6-3
29,New York Knicks,23-59,15-26,8-33,15-37,8-22,4-12,7-11,4-14,5-5,2-8,1-9,15-37,8-22,8-6,7-32,5-9,2-12,7-9,1-11,4-11,4-7
30,Portland Trail Blazers,21-61,15-26,6-35,11-19,10-42,4-6,2-8,5-5,3-13,4-14,3-15,18-33,3-28,7-4,4-42,5-9,5-10,6-8,2-11,2-13,1-10
