Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Seattle SuperSonics,63-19,37-4,26-15,19-9,44-10,10-4,9-5,19-5,25-5,35-10,28-9,9-5,43-5,11-1,11-2,9-6,8-5,14-3,10-2
2,Houston Rockets,58-24,35-6,23-18,20-8,38-16,11-3,9-5,15-11,23-5,34-12,24-12,8-2,28-16,14-0,10-4,7-6,7-5,12-4,8-5
3,Atlanta Hawks,57-25,36-5,21-20,42-14,15-11,21-7,21-7,8-4,7-7,34-13,23-12,8-5,28-10,10-4,9-3,11-4,8-5,12-4,7-5
4,New York Knicks,57-25,32-9,25-16,40-16,17-9,18-10,22-6,6-6,11-3,34-14,23-11,5-6,35-11,9-2,9-5,12-4,6-8,14-0,7-6
5,Phoenix Suns,56-26,36-5,20-21,19-9,37-17,11-3,8-6,18-6,19-11,31-15,25-11,8-7,30-12,8-3,13-2,7-8,8-4,10-6,10-3
6,Chicago Bulls,55-27,31-10,24-17,38-18,17-9,17-11,21-7,9-3,8-6,34-13,21-14,13-4,25-16,6-7,12-2,11-3,8-6,9-6,9-3
7,San Antonio Spurs,55-27,32-9,23-18,23-5,32-22,12-2,11-3,16-10,16-12,35-14,20-13,3-6,33-12,9-5,9-6,11-3,11-2,11-4,4-7
8,Utah Jazz,53-29,33-8,20-21,17-11,36-18,9-5,8-6,21-5,15-13,31-18,22-11,9-6,30-9,9-5,11-3,8-7,10-4,6-8,9-2
9,Golden State Warriors,50-32,29-12,21-20,17-11,33-21,8-6,9-5,14-10,19-11,27-20,23-12,11-3,22-20,7-6,7-7,9-5,8-5,9-6,10-3
10,Orlando Magic,50-32,31-10,19-22,35-21,15-11,20-8,15-13,7-5,8-6,27-20,23-12,6-6,29-10,6-5,10-7,10-5,7-3,8-8,9-4
11,Cleveland Cavaliers,47-35,31-10,16-25,31-25,16-10,15-13,16-12,6-6,10-4,24-23,23-12,1-10,27-16,6-6,6-9,9-6,11-3,8-7,7-4
12,Indiana Pacers,47-35,29-12,18-23,32-24,15-11,17-11,15-13,7-5,8-6,23-23,24-12,5-9,28-10,4-8,6-8,7-7,11-2,9-7,10-3
13,Portland Trail Blazers,47-35,30-11,17-24,18-10,29-25,9-5,9-5,12-12,17-13,27-20,20-15,7-8,25-16,8-5,9-6,8-6,9-4,7-9,6-5
14,New Jersey Nets,45-37,29-12,16-25,32-24,13-13,17-11,15-13,6-6,7-7,22-24,23-13,9-9,23-18,4-10,7-6,8-6,9-4,9-6,8-5
15,Denver Nuggets,42-40,28-13,14-27,15-13,27-27,6-8,9-5,14-12,13-15,22-25,20-15,4-8,21-16,6-7,8-6,6-8,7-7,8-5,7-7
16,Miami Heat,42-40,22-19,20-21,32-24,10-16,16-12,16-12,6-6,4-10,23-24,19-16,2-6,26-14,5-7,7-6,8-8,9-4,8-8,5-7
17,Charlotte Hornets,41-41,28-13,13-28,29-27,12-14,17-11,12-16,6-6,6-8,22-25,19-16,8-3,20-21,8-5,8-7,6-8,1-10,8-7,10-4
18,Los Angeles Lakers,33-49,21-20,12-29,15-13,18-36,6-8,9-5,11-13,7-23,18-29,15-20,10-7,7-28,5-9,4-10,5-7,6-7,10-6,3-10
19,Boston Celtics,32-50,18-23,14-27,21-35,11-15,12-16,9-19,5-7,6-8,20-27,12-23,4-7,10-25,7-7,5-10,8-6,0-12,5-8,7-7
20,Sacramento Kings,28-54,20-21,8-33,11-17,17-37,7-7,4-10,8-16,9-21,15-32,13-22,6-6,10-35,4-9,4-10,4-10,7-6,4-12,5-7
21,Los Angeles Clippers,27-55,17-24,10-31,10-18,17-37,6-8,4-10,8-16,9-21,16-29,11-26,9-11,10-28,6-6,5-10,4-10,3-9,7-10,2-10
22,Philadelphia 76ers,25-57,15-26,10-31,17-39,8-18,7-21,10-18,5-7,3-11,20-27,5-30,5-7,12-32,4-10,6-7,8-7,2-11,1-14,4-8
23,Washington Bullets,24-58,17-24,7-34,17-39,7-19,8-20,9-19,5-7,2-12,15-32,9-26,4-5,9-39,6-6,2-14,6-7,2-12,3-11,5-8
24,Detroit Pistons,20-62,10-31,10-31,12-44,8-18,8-20,4-24,4-8,4-10,11-37,9-25,4-6,5-33,5-8,3-11,1-14,4-8,7-8,0-13
25,Milwaukee Bucks,20-62,11-30,9-32,14-42,6-20,5-23,9-19,3-9,3-11,14-34,6-28,8-7,5-28,2-12,6-8,4-10,4-9,3-12,1-11
26,Minnesota Timberwolves,20-62,13-28,7-34,7-21,13-41,5-9,2-12,5-21,8-20,14-32,6-30,6-8,8-36,3-8,5-12,6-7,2-10,3-13,1-12
27,Dallas Mavericks,13-69,6-35,7-34,3-25,10-44,1-13,2-12,7-19,3-25,6-42,7-27,3-8,5-38,1-12,1-12,1-16,5-8,0-13,5-8
