Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Dallas Mavericks,60-22,33-8,27-14,26-4,34-18,13-1,13-3,18-6,16-12,38-10,22-12,6-7,36-6,1-0,14-1,10-4,11-4,8-5,11-4,5-4
2,San Antonio Spurs,60-22,33-8,27-14,24-6,36-16,9-5,15-1,17-7,19-9,33-16,27-6,12-5,26-6,1-1,10-6,8-6,11-3,9-1,14-3,7-2
3,Sacramento Kings,59-23,35-6,24-17,23-7,36-16,11-3,12-4,19-9,17-7,34-17,25-6,11-2,31-11,2-0,11-5,10-4,10-6,8-3,11-4,7-1
4,Minnesota Timberwolves,51-31,33-8,18-23,18-12,33-19,7-7,11-5,15-9,18-10,29-20,22-11,5-3,21-15,1-0,8-8,8-6,10-6,12-1,7-8,5-2
5,Detroit Pistons,50-32,30-11,20-21,35-19,15-13,16-10,19-9,9-5,6-8,32-15,18-17,10-9,27-11,1-0,11-5,8-5,10-5,7-6,9-5,4-6
6,Los Angeles Lakers,50-32,31-10,19-22,17-13,33-19,6-8,11-5,18-10,15-9,24-23,26-9,8-5,26-14,0-2,6-9,7-8,8-4,11-3,11-5,7-1
7,Portland Trail Blazers,50-32,27-14,23-18,21-9,29-23,8-6,13-3,14-14,15-9,32-16,18-16,8-7,25-12,1-1,6-7,11-4,11-4,9-4,7-7,5-5
8,New Jersey Nets,49-33,33-8,16-25,34-20,15-13,16-8,18-12,7-7,8-6,34-15,15-18,2-7,31-8,1-0,10-6,12-3,9-5,6-7,8-7,3-5
9,Indiana Pacers,48-34,32-9,16-25,35-19,13-15,16-10,19-9,7-7,6-8,34-15,14-19,9-7,23-14,1-0,12-2,10-6,10-6,5-7,5-9,5-4
10,Philadelphia 76ers,48-34,25-16,23-18,35-19,13-15,17-7,18-12,7-7,6-8,25-24,23-10,8-6,20-12,1-1,13-3,5-8,6-10,8-2,11-5,4-5
11,New Orleans Hornets,47-35,29-12,18-23,32-22,15-13,15-11,17-11,7-7,8-6,26-24,21-11,7-7,19-11,1-0,10-5,7-10,6-8,9-4,8-6,6-2
12,Utah Jazz,47-35,29-12,18-23,17-13,30-22,9-5,8-8,15-9,15-13,29-20,18-15,6-8,28-17,0-2,9-6,8-5,11-5,5-7,10-5,4-5
13,Boston Celtics,44-38,25-16,19-22,31-23,13-15,13-12,18-11,6-8,7-7,27-22,17-16,6-7,18-19,0-2,10-3,9-7,7-8,7-5,7-9,4-4
14,Phoenix Suns,44-38,30-11,14-27,18-12,26-26,8-6,10-6,14-14,12-12,29-21,15-17,7-8,16-16,0-1,8-6,11-5,8-9,4-6,7-8,6-3
15,Houston Rockets,43-39,28-13,15-26,17-13,26-26,9-5,8-8,11-13,15-13,26-22,17-17,3-10,24-17,0-1,9-5,8-7,8-7,5-8,8-8,5-3
16,Milwaukee Bucks,42-40,25-16,17-24,32-22,10-18,16-10,16-12,4-10,6-8,25-23,17-17,6-9,13-15,0-1,8-7,5-10,10-4,5-8,8-9,6-1
17,Orlando Magic,42-40,26-15,16-25,31-23,11-17,14-11,17-12,5-9,6-8,24-26,18-14,8-9,19-16,2-0,8-7,8-8,6-9,5-6,10-5,3-5
18,Seattle SuperSonics,40-42,25-16,15-26,14-16,26-26,6-8,8-8,15-13,11-13,21-27,19-15,7-10,15-17,1-0,8-8,7-7,4-9,6-7,9-6,5-5
19,Golden State Warriors,38-44,24-17,14-27,19-11,19-33,10-4,9-7,11-17,8-16,21-27,17-17,3-6,13-19,1-0,5-11,6-7,8-7,8-5,8-8,2-6
20,New York Knicks,37-45,24-17,13-28,23-31,14-14,9-15,14-16,8-6,6-8,21-27,16-18,9-11,8-14,0-1,4-9,6-7,10-8,5-8,7-9,5-3
21,Washington Wizards,37-45,23-18,14-27,26-28,11-17,11-13,15-15,5-9,6-8,24-25,13-20,10-6,11-18,1-1,5-9,8-7,8-8,6-4,6-10,3-6
22,Atlanta Hawks,35-47,26-15,9-32,24-30,11-17,10-16,14-14,6-8,5-9,19-30,16-17,10-8,11-28,1-1,7-8,4-9,6-11,4-8,7-8,6-2
23,Chicago Bulls,30-52,27-14,3-38,22-32,8-20,10-16,12-16,4-10,4-10,17-32,13-20,6-5,12-34,1-0,3-12,7-8,6-9,4-10,5-9,4-4
24,Memphis Grizzlies,28-54,20-21,8-33,16-14,12-40,7-7,9-7,5-19,7-21,13-35,15-19,5-7,14-23,0-1,2-13,7-8,4-10,5-7,8-9,2-6
25,Los Angeles Clippers,27-55,16-25,11-30,11-19,16-36,5-9,6-10,10-18,6-18,17-32,10-23,9-7,9-24,0-1,6-10,6-8,5-10,2-9,4-12,4-5
26,Miami Heat,25-57,16-25,9-32,18-36,7-21,5-19,13-17,2-12,5-9,17-32,8-25,4-6,12-27,0-1,4-11,7-7,5-11,3-9,4-13,2-5
27,Toronto Raptors,24-58,15-26,9-32,18-36,6-22,8-18,10-18,3-11,3-11,14-34,10-24,7-7,6-30,1-0,4-10,3-13,4-11,5-4,6-11,1-9
28,Cleveland Cavaliers,17-65,14-27,3-38,9-45,8-20,4-22,5-23,3-11,5-9,10-40,7-25,6-5,6-38,1-1,1-15,4-11,3-11,2-9,3-12,3-6
29,Denver Nuggets,17-65,13-28,4-37,9-21,8-44,4-10,5-11,3-21,5-23,12-37,5-28,4-8,9-37,0-1,5-10,1-13,4-11,2-12,5-10,0-8
