Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,63-19,35-6,28-13,47-11,16-8,20-4,27-7,10-2,6-6,32-11,31-8,13-4,29-8,1-1,12-1,9-5,10-4,8-4,16-1,7-3
2,Philadelphia 76ers,58-24,32-9,26-15,40-18,18-6,16-8,24-10,8-4,10-2,30-14,28-10,9-7,27-5,2-0,11-1,9-5,8-8,10-2,10-6,8-2
3,Los Angeles Lakers,57-25,30-11,27-14,13-9,44-16,5-5,8-4,23-7,21-9,31-12,26-13,13-7,27-6,0-1,12-4,12-2,7-5,10-5,8-6,8-2
4,Milwaukee Bucks,55-27,31-10,24-17,41-17,14-10,17-11,24-6,7-5,7-5,29-14,26-13,6-9,30-8,1-1,8-5,12-2,8-6,11-2,9-7,6-4
5,Seattle SuperSonics,52-30,31-10,21-20,15-7,37-23,7-3,8-4,19-11,18-12,29-13,23-17,12-8,26-11,1-0,6-6,11-4,11-3,8-7,9-6,6-4
6,San Antonio Spurs,48-34,29-12,19-22,13-9,35-25,6-4,7-5,20-10,15-15,28-14,20-20,4-3,24-15,2-0,8-5,9-4,9-5,8-6,8-8,4-6
7,Denver Nuggets,46-36,29-12,17-24,12-10,34-26,6-4,6-6,19-11,15-15,23-20,23-16,7-5,22-16,1-1,7-4,6-10,9-5,6-8,13-2,4-6
8,Houston Rockets,46-36,25-16,21-20,11-11,35-25,6-4,5-7,17-13,18-12,21-22,25-14,14-10,15-16,1-1,5-10,6-7,9-4,11-3,9-7,5-4
9,Phoenix Suns,46-36,31-10,15-26,14-8,32-28,5-5,9-3,18-12,14-16,24-17,22-19,9-9,24-10,0-2,8-3,9-7,7-5,7-7,9-8,6-4
10,Golden State Warriors,45-37,28-13,17-24,13-9,32-28,4-6,9-3,17-13,15-15,23-18,22-19,10-7,19-18,1-1,7-6,8-5,7-6,8-7,9-7,5-5
11,New Jersey Nets,44-38,25-16,19-22,31-27,13-11,12-12,19-15,6-6,7-5,19-24,25-14,6-8,21-19,0-1,3-11,8-6,8-6,10-5,8-7,7-2
12,Washington Bullets,43-39,22-19,21-20,31-27,12-12,7-17,24-10,5-7,7-5,22-20,21-19,10-10,17-11,0-1,4-9,8-6,10-4,5-8,10-7,6-4
13,Atlanta Hawks,42-40,24-17,18-23,29-29,13-11,14-15,15-14,8-4,5-7,19-22,23-18,7-9,20-11,0-1,8-4,4-11,7-6,5-8,12-5,6-5
14,Portland Trail Blazers,42-40,27-14,15-26,8-14,34-26,3-7,5-7,19-11,15-15,23-18,19-22,6-9,19-16,1-0,9-4,6-8,7-6,6-9,7-8,6-5
15,Detroit Pistons,39-43,23-18,16-25,27-31,12-12,8-20,19-11,7-5,5-7,18-26,21-17,8-8,12-19,2-0,6-7,5-10,5-9,7-6,9-7,5-4
16,Indiana Pacers,35-47,25-16,10-31,23-35,12-12,9-19,14-16,7-5,5-7,19-24,16-23,10-6,12-20,2-0,6-8,8-6,3-10,8-7,6-9,2-7
17,Chicago Bulls,34-48,22-19,12-29,22-36,12-12,10-19,12-17,6-6,6-6,18-25,16-23,7-15,14-22,0-2,6-8,6-8,6-7,4-9,7-9,5-5
18,New York Knicks,33-49,19-22,14-27,22-36,11-13,5-19,17-17,5-7,6-6,20-24,13-25,9-12,13-21,1-1,5-7,9-7,5-9,6-9,5-8,2-8
19,Kansas City Kings,30-52,23-18,7-34,8-14,22-38,3-7,5-7,11-19,11-19,14-29,16-23,8-4,10-25,0-2,4-8,7-8,3-11,4-11,8-7,4-5
20,Dallas Mavericks,28-54,16-25,12-29,9-13,19-41,4-6,5-7,11-19,8-22,13-29,15-25,9-8,7-24,1-1,1-12,5-9,6-7,6-8,5-12,4-5
21,Utah Jazz,25-57,18-23,7-34,4-18,21-39,1-9,3-9,12-18,9-21,13-29,12-28,3-7,8-33,1-1,6-6,3-12,3-10,6-8,0-16,6-4
22,San Diego Clippers,17-65,11-30,6-35,2-20,15-45,0-10,2-10,8-22,7-23,13-30,4-35,4-10,4-33,1-0,3-10,3-11,6-9,2-12,1-15,1-8
23,Cleveland Cavaliers,15-67,9-32,6-35,6-52,9-15,1-27,5-25,6-6,3-9,8-34,7-33,4-13,2-35,0-1,4-10,2-12,2-11,4-9,3-13,0-11
