Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Bullets,54-28,31-10,23-18,29-11,25-17,11-5,18-6,12-7,13-10,36-15,18-13,7-7,32-14,4-5,11-2,9-5,10-3,8-4,9-6,3-3
2,Seattle SuperSonics,52-30,31-10,21-20,28-14,24-16,13-7,15-7,13-7,11-9,34-16,18-14,15-9,23-10,7-1,9-4,6-7,10-4,6-9,11-3,3-2
3,Phoenix Suns,50-32,32-9,18-23,29-13,21-19,12-7,17-6,10-10,11-9,32-20,18-12,7-8,27-11,7-3,10-4,7-7,7-6,6-6,10-4,3-2
4,Kansas City Kings,48-34,32-9,16-25,25-17,23-17,13-5,12-12,12-4,11-13,31-20,17-14,6-9,23-12,4-5,8-3,8-6,10-6,10-4,5-10,3-0
5,San Antonio Spurs,48-34,29-12,19-22,24-16,24-18,13-7,11-9,11-8,13-10,31-22,17-12,8-9,27-11,5-4,5-7,12-4,9-5,7-5,6-8,4-1
6,Denver Nuggets,47-35,29-12,18-23,23-19,24-16,11-8,12-11,8-8,16-8,28-26,19-9,9-8,21-12,6-3,4-10,7-6,11-6,7-6,9-2,3-2
7,Houston Rockets,47-35,30-11,17-24,24-16,23-19,12-8,12-8,10-10,13-9,27-23,20-12,12-5,17-17,5-3,5-7,9-5,8-7,7-6,9-5,4-2
8,Los Angeles Lakers,47-35,31-10,16-25,23-19,24-16,11-8,12-11,13-7,11-9,32-20,15-15,13-15,23-11,4-4,11-3,8-7,9-6,7-4,5-8,3-3
9,Philadelphia 76ers,47-35,31-10,16-25,25-15,22-20,9-7,16-8,12-7,10-13,30-19,17-16,10-10,18-11,5-1,9-5,9-5,6-7,6-8,9-8,3-1
10,Atlanta Hawks,46-36,34-7,12-29,24-16,22-20,10-10,14-6,12-7,10-13,28-25,18-11,10-10,19-15,4-4,8-5,7-9,9-7,6-4,8-7,4-0
11,Portland Trail Blazers,45-37,33-8,12-29,28-14,17-23,13-6,15-8,9-11,8-12,24-25,21-12,11-15,20-12,4-4,9-6,5-6,5-9,8-5,12-4,2-3
12,San Diego Clippers,43-39,29-12,14-27,18-24,25-15,8-11,10-13,14-6,11-9,27-27,16-12,16-5,12-17,5-6,6-9,7-6,8-6,8-4,7-6,2-2
13,Golden State Warriors,38-44,23-18,15-26,23-19,15-25,10-9,13-10,7-13,8-12,25-29,13-15,9-16,15-11,5-4,7-6,6-8,7-10,3-8,7-7,3-1
14,Indiana Pacers,38-44,25-16,13-28,24-18,14-26,7-12,17-6,6-10,8-16,21-30,17-14,12-9,8-19,4-3,4-10,3-11,9-6,6-8,10-5,2-1
15,Milwaukee Bucks,38-44,28-13,10-31,19-23,19-21,9-11,10-12,9-7,10-14,22-32,16-12,7-12,19-13,4-6,5-10,6-8,7-7,5-6,10-4,1-3
16,New Jersey Nets,37-45,25-16,12-29,18-22,19-23,7-9,11-13,7-12,12-11,23-26,14-19,12-5,13-25,6-4,7-7,4-6,6-7,8-6,5-10,1-5
17,Chicago Bulls,31-51,19-22,12-29,17-25,14-26,9-10,8-15,5-11,9-15,19-33,12-18,7-6,12-26,1-8,5-8,9-5,3-11,5-8,6-10,2-1
18,New York Knicks,31-51,23-18,8-33,17-23,14-28,7-9,10-14,8-11,6-17,24-30,7-21,7-9,10-27,4-5,8-7,7-7,4-11,4-9,4-9,0-3
19,Cleveland Cavaliers,30-52,20-21,10-31,15-25,15-27,9-11,6-14,7-12,8-15,20-31,10-21,7-9,12-24,4-4,3-11,7-6,6-8,6-8,3-11,1-4
20,Detroit Pistons,30-52,22-19,8-33,14-26,16-26,5-15,9-11,10-9,6-17,19-33,11-19,3-11,14-22,2-7,6-7,4-10,6-8,5-7,6-9,1-4
21,Boston Celtics,29-53,21-20,8-33,15-25,14-28,6-10,9-15,7-12,7-16,19-31,10-22,8-8,9-29,1-6,4-10,8-5,5-10,7-5,3-12,1-5
22,New Orleans Jazz,26-56,22-19,4-37,15-25,11-31,7-13,8-12,6-13,5-18,17-36,9-20,6-7,7-32,4-5,6-9,2-11,5-10,4-9,4-10,1-2
