Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,65-17,37-4,28-13,18-4,47-13,9-1,9-3,23-7,24-6,35-12,30-5,6-1,40-10,,12-2,10-4,12-4,10-4,13-1,8-2
2,Boston Celtics,59-23,39-2,20-21,38-20,21-3,15-9,23-11,11-1,10-2,34-12,25-11,5-9,36-6,1-0,9-4,10-5,13-2,9-4,11-5,6-3
3,Atlanta Hawks,57-25,35-6,22-19,38-20,19-5,21-7,17-13,11-1,8-4,29-16,28-9,6-7,35-9,,12-3,8-4,8-8,7-6,13-2,9-2
4,Dallas Mavericks,55-27,35-6,20-21,13-9,42-18,7-3,6-6,19-11,23-7,30-16,25-11,8-4,34-9,1-0,9-5,9-4,9-6,9-5,12-4,6-3
5,Detroit Pistons,52-30,32-9,20-21,38-20,14-10,21-7,17-13,7-5,7-5,29-16,23-14,12-6,27-12,0-1,6-5,11-3,11-6,9-3,10-7,5-5
6,Milwaukee Bucks,50-32,32-9,18-23,34-24,16-8,17-11,17-13,7-5,9-3,29-21,21-11,4-7,25-15,1-0,10-6,8-5,9-8,8-4,7-7,7-2
7,Portland Trail Blazers,49-33,34-7,15-26,14-8,35-25,5-5,9-3,18-12,17-13,30-19,19-14,7-5,28-14,0-1,8-8,11-3,8-7,9-4,8-5,5-5
8,Philadelphia 76ers,45-37,28-13,17-24,29-29,16-8,12-12,17-17,8-4,8-4,28-19,17-18,9-11,13-16,1-0,9-5,6-9,10-5,5-7,9-6,5-5
9,Utah Jazz,44-38,31-10,13-28,12-10,32-28,5-5,7-5,19-11,13-17,28-18,16-20,10-3,16-21,0-1,7-6,12-3,6-8,7-6,8-8,4-6
10,Golden State Warriors,42-40,25-16,17-24,10-12,32-28,5-5,5-7,15-15,17-13,25-24,17-16,9-6,14-26,0-1,9-5,8-8,7-8,4-9,9-3,5-6
11,Houston Rockets,42-40,25-16,17-24,11-11,31-29,3-7,8-4,19-11,12-18,24-22,18-18,5-3,29-17,,7-7,4-10,11-4,8-4,7-11,5-4
12,Washington Bullets,42-40,27-14,15-26,26-32,16-8,13-11,13-21,7-5,9-3,24-22,18-18,8-4,17-21,0-1,7-7,7-7,8-6,9-4,5-10,6-5
13,Indiana Pacers,41-41,28-13,13-28,28-30,13-11,15-14,13-16,7-5,6-6,21-25,20-16,8-4,16-20,0-1,7-8,7-6,6-9,7-6,9-5,5-6
14,Chicago Bulls,40-42,29-12,11-30,30-28,10-14,13-16,17-12,4-8,6-6,22-23,18-19,5-16,17-13,,7-6,7-8,7-7,8-4,8-11,3-6
15,Seattle SuperSonics,39-43,25-16,14-27,7-15,32-28,5-5,2-10,17-13,15-15,25-22,14-21,5-8,20-19,1-0,7-6,7-7,9-7,5-9,7-9,3-5
16,Denver Nuggets,37-45,27-14,10-31,9-13,28-32,5-5,4-8,14-16,14-16,22-26,15-19,7-9,22-21,1-0,7-7,5-10,7-8,4-9,8-7,5-4
17,Phoenix Suns,36-46,26-15,10-31,8-14,28-32,3-7,5-7,14-16,14-16,20-28,16-18,9-3,17-25,1-0,5-9,7-8,6-10,3-8,4-10,10-1
18,Cleveland Cavaliers,31-51,25-16,6-35,22-36,9-15,14-14,8-22,3-9,6-6,18-29,13-22,10-6,11-21,,5-9,8-7,5-11,5-7,4-12,4-5
19,Sacramento Kings,29-53,20-21,9-32,7-15,22-38,3-7,4-8,10-20,12-18,14-32,15-21,7-9,9-23,1-0,4-10,3-10,6-9,4-9,5-11,6-4
20,San Antonio Spurs,28-54,21-20,7-34,8-14,20-40,4-6,4-8,9-21,11-19,18-29,10-25,3-9,11-30,0-1,5-9,3-12,7-7,6-7,5-10,2-8
21,New Jersey Nets,24-58,19-22,5-36,20-38,4-20,12-12,8-26,2-10,2-10,11-36,13-22,4-9,11-35,1-0,2-12,5-8,3-12,3-10,7-8,3-8
22,New York Knicks,24-58,18-23,6-35,16-42,8-16,8-16,8-26,5-7,3-9,15-32,9-26,5-9,8-29,0-1,4-11,5-9,4-10,3-9,6-10,2-8
23,Los Angeles Clippers,12-70,9-32,3-38,1-21,11-49,1-9,0-12,8-22,3-27,7-39,5-31,2-6,4-48,0-1,3-11,1-12,3-13,3-7,2-15,0-11
