Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
13,Atlanta Hawks,44-38,24-17,20-21,31-21,13-17,10-8,12-6,9-7,5-5,6-4,2-8,34-21,10-17,7-1,21-21,3-0,8-7,10-7,9-4,6-6,7-8,1-6
14,Houston Rockets,43-39,25-16,18-23,18-12,25-27,7-3,7-3,4-6,9-9,11-7,5-11,26-31,17-8,7-8,21-11,0-3,5-9,11-4,6-11,8-4,9-5,4-3
15,New York Knicks,42-40,23-18,19-22,28-24,14-16,10-6,8-10,10-8,5-5,4-6,5-5,28-26,14-14,4-5,18-14,1-2,9-7,8-5,7-8,5-5,7-11,5-2
16,Philadelphia 76ers,41-41,26-15,15-26,25-27,16-14,9-7,9-9,7-11,6-4,6-4,4-6,27-29,14-12,3-8,26-13,0-3,5-10,8-7,8-6,9-3,9-7,2-5
17,Phoenix Suns,40-42,23-18,17-24,17-13,23-29,6-4,7-3,4-6,9-9,9-7,5-13,27-27,13-15,7-6,15-18,1-2,7-7,6-8,8-7,9-3,5-11,4-4
18,Utah Jazz,39-43,21-20,18-23,18-12,21-31,5-5,7-3,6-4,7-9,9-9,5-13,31-26,8-17,6-4,16-24,1-2,13-3,8-6,7-9,3-9,4-10,3-4
19,Indiana Pacers,37-45,24-17,13-28,28-24,9-21,10-8,9-7,9-9,3-7,4-6,2-8,24-30,13-15,7-6,19-28,2-1,7-6,5-10,4-10,8-5,8-10,3-3
20,Golden State Warriors,36-46,26-15,10-31,15-15,21-31,5-5,6-4,4-6,11-7,5-11,5-13,26-29,10-17,4-4,14-24,2-1,6-9,5-9,7-8,6-5,6-12,4-2
21,Milwaukee Bucks,35-47,22-19,13-28,26-26,9-21,12-6,6-10,8-10,2-8,4-6,3-7,21-34,14-13,3-8,16-21,1-2,5-9,6-7,7-9,3-9,8-8,5-3
22,Charlotte Bobcats,34-48,21-20,13-28,22-30,12-18,11-7,7-11,4-12,4-6,6-4,2-8,24-32,10-16,11-7,9-24,0-3,6-8,5-9,9-7,6-6,6-9,2-6
23,Los Angeles Clippers,32-50,23-18,9-32,13-17,19-33,3-7,5-5,5-5,7-11,7-9,5-13,21-35,11-15,4-5,9-24,0-3,3-12,7-8,9-5,2-12,8-6,3-4
24,Detroit Pistons,30-52,21-20,9-32,22-30,8-22,9-9,7-9,6-12,1-9,5-5,2-8,21-36,9-16,3-7,13-27,0-3,6-9,5-10,6-9,5-8,4-9,4-4
25,New Jersey Nets,24-58,19-22,5-36,13-39,11-19,3-13,6-12,4-14,4-6,4-6,3-7,17-40,7-18,7-7,4-34,2-1,4-11,3-12,6-10,2-9,6-8,1-7
26,Sacramento Kings,24-58,11-30,13-28,9-21,15-37,4-6,3-7,2-8,5-13,7-9,3-15,13-40,11-18,8-8,7-23,2-1,2-11,2-11,6-10,3-10,6-10,3-5
27,Washington Wizards,23-59,20-21,3-38,16-36,7-23,8-10,5-13,3-13,4-6,1-9,2-8,15-39,8-20,8-2,7-36,0-2,5-9,3-12,5-11,2-10,3-12,5-3
28,Toronto Raptors,22-60,16-25,6-35,14-38,8-22,5-11,5-13,4-14,3-7,2-8,3-7,15-41,7-19,2-7,8-30,1-1,5-10,5-10,2-15,3-8,4-10,2-6
29,Cleveland Cavaliers,19-63,12-29,7-34,15-37,4-26,8-10,3-13,4-14,0-10,3-7,1-9,10-46,9-17,2-5,2-38,1-2,6-8,1-14,0-16,3-8,4-11,4-4
30,Minnesota Timberwolves,17-65,12-29,5-36,10-20,7-45,3-7,6-4,1-9,1-15,3-15,3-15,13-43,4-22,3-10,11-33,1-2,3-11,4-12,3-11,3-10,3-12,0-7
