Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Chicago Bulls,62-20,36-5,26-15,39-13,23-7,10-8,15-1,14-4,7-3,7-3,9-1,38-16,24-4,9-5,31-5,1-1,8-5,12-4,12-4,8-3,13-3,8-0
2,San Antonio Spurs,61-21,36-5,25-16,23-7,38-14,6-4,9-1,8-2,14-4,14-4,10-6,46-10,15-11,7-4,32-9,1-1,14-1,13-2,12-3,9-3,8-8,4-3
3,Miami Heat,58-24,30-11,28-13,38-14,20-10,13-5,12-6,13-3,6-4,9-1,5-5,41-15,17-9,2-8,35-6,3-1,7-7,15-1,9-5,9-3,9-6,6-1
4,Dallas Mavericks,57-25,29-12,28-13,22-8,35-17,9-1,4-6,9-1,12-6,15-3,8-8,40-16,17-9,10-6,22-8,2-1,11-3,11-3,8-8,11-1,10-6,4-3
5,Los Angeles Lakers,57-25,30-11,27-14,21-9,36-16,9-1,6-4,6-4,12-6,12-4,12-6,38-19,19-6,4-4,30-9,3-0,10-5,10-5,10-5,9-4,12-1,3-5
6,Boston Celtics,56-26,33-8,23-18,37-15,19-11,13-3,13-5,11-7,8-2,7-3,4-6,40-14,16-12,8-8,30-7,2-1,11-3,11-3,12-4,7-4,9-7,4-4
7,Oklahoma City Thunder,55-27,30-11,25-16,22-8,33-19,6-4,8-2,8-2,13-3,12-6,8-10,35-19,20-8,10-5,22-8,2-1,10-5,11-5,7-6,6-5,14-2,5-3
8,Orlando Magic,52-30,29-12,23-18,36-16,16-14,12-6,13-5,11-5,4-6,7-3,5-5,36-21,16-9,6-7,33-9,1-1,12-3,8-8,10-6,7-4,9-6,5-2
9,Denver Nuggets,50-32,33-8,17-24,20-10,30-22,5-5,8-2,7-3,9-7,12-6,9-9,32-25,18-7,7-8,29-10,2-1,8-5,8-7,10-7,7-6,10-3,5-3
10,Portland Trail Blazers,48-34,30-11,18-23,18-12,30-22,5-5,8-2,5-5,10-6,10-8,10-8,32-24,16-10,7-4,19-15,3-0,5-9,9-7,8-6,8-4,10-6,5-2
11,Memphis Grizzlies,46-36,30-11,16-25,16-14,30-22,5-5,7-3,4-6,11-7,11-7,8-8,31-26,15-10,9-10,23-12,2-1,6-9,6-8,11-6,8-4,9-5,4-3
12,New Orleans Hornets,46-36,28-13,18-23,19-11,27-25,4-6,6-4,9-1,9-9,9-9,9-7,33-25,13-11,8-6,16-17,3-0,9-5,7-9,12-4,4-8,8-6,3-4
