Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,62-20,36-5,26-15,16-6,46-14,9-1,7-5,23-7,23-7,35-8,27-12,9-6,29-9,9-2,11-4,13-2,12-1,8-7,9-4
2,Boston Celtics,57-25,36-5,21-20,39-19,18-6,19-5,20-14,9-3,9-3,32-13,25-12,9-2,32-13,10-4,7-5,14-3,8-5,11-4,7-4
3,Denver Nuggets,54-28,35-6,19-22,15-7,39-21,9-1,6-6,18-12,21-9,26-17,28-11,5-3,32-17,8-4,8-7,8-6,9-4,12-5,9-2
4,Detroit Pistons,54-28,34-7,20-21,39-19,15-9,19-9,20-10,8-4,7-5,25-16,29-12,5-8,35-12,7-5,11-1,6-8,11-4,11-5,8-5
5,Dallas Mavericks,53-29,33-8,20-21,12-10,41-19,4-6,8-4,20-10,21-9,28-15,25-14,5-5,29-15,7-5,10-3,11-4,10-5,8-6,7-6
6,Portland Trail Blazers,53-29,33-8,20-21,14-8,39-21,6-4,8-4,16-14,23-7,26-16,27-13,8-4,30-15,7-5,10-5,8-5,9-6,9-4,10-4
7,Atlanta Hawks,50-32,30-11,20-21,35-23,15-9,19-10,16-13,8-4,7-5,30-15,20-17,10-11,27-15,7-5,13-2,9-7,6-6,8-6,7-6
8,Chicago Bulls,50-32,30-11,20-21,34-24,16-8,18-11,16-13,7-5,9-3,27-18,23-14,10-10,25-12,10-3,5-9,11-4,5-9,10-4,9-3
9,Utah Jazz,47-35,33-8,14-27,9-13,38-22,4-6,5-7,18-12,20-10,22-22,25-13,7-9,28-13,7-6,7-8,5-8,9-4,11-5,8-4
10,Houston Rockets,46-36,31-10,15-26,13-9,33-27,6-4,7-5,13-17,20-10,25-17,21-19,3-6,19-16,7-6,7-6,9-5,9-4,9-7,5-8
11,Seattle SuperSonics,44-38,32-9,12-29,13-9,31-29,8-2,5-7,12-18,19-11,25-20,19-18,9-6,24-19,6-6,9-7,10-5,4-9,8-6,7-5
12,Cleveland Cavaliers,42-40,31-10,11-30,30-28,12-12,19-9,11-19,7-5,5-7,23-22,19-18,9-9,22-15,3-8,9-7,9-6,7-8,5-9,9-2
13,Milwaukee Bucks,42-40,30-11,12-29,28-30,14-10,15-13,13-17,5-7,9-3,22-20,20-20,9-8,21-18,9-4,6-6,6-9,8-5,9-7,4-9
14,New York Knicks,38-44,29-12,9-32,27-31,11-13,10-14,17-17,6-6,5-7,16-28,22-16,11-9,16-16,4-8,5-10,5-10,8-4,9-8,7-4
15,Washington Bullets,38-44,25-16,13-28,26-32,12-12,13-11,13-21,5-7,7-5,17-25,21-19,5-7,16-22,4-8,4-9,9-6,5-9,8-7,8-5
16,Indiana Pacers,38-44,25-16,13-28,25-33,13-11,12-16,13-17,6-6,7-5,22-22,16-22,11-9,16-20,8-6,5-7,7-8,9-4,4-11,5-8
17,Philadelphia 76ers,36-46,27-14,9-32,25-33,11-13,12-12,13-21,6-6,5-7,20-23,16-23,3-11,17-24,5-6,7-7,7-9,4-10,9-6,4-8
18,San Antonio Spurs,31-51,23-18,8-33,6-16,25-35,3-7,3-9,12-18,13-17,18-23,13-28,8-5,9-30,5-8,8-4,4-10,4-9,5-12,5-8
19,Phoenix Suns,28-54,22-19,6-35,7-15,21-39,4-6,3-9,10-20,11-19,13-29,15-25,4-6,13-28,4-6,6-9,3-12,4-10,6-9,5-8
20,Sacramento Kings,24-58,19-22,5-36,5-17,19-41,3-7,2-10,9-21,10-20,14-29,10-29,10-7,9-29,4-7,3-14,5-7,4-11,4-11,4-8
21,Golden State Warriors,20-62,16-25,4-37,5-17,15-45,3-7,2-10,8-22,7-23,10-32,10-30,6-10,7-34,2-10,2-10,5-10,5-9,3-13,3-10
22,New Jersey Nets,19-63,16-25,3-38,11-47,8-16,6-18,5-29,5-7,3-9,10-34,9-29,3-10,7-34,2-9,3-12,4-11,3-10,6-10,1-11
23,Los Angeles Clippers,17-65,14-27,3-38,4-18,13-47,1-9,3-9,6-24,7-23,10-32,7-33,7-5,6-43,4-8,4-8,2-15,2-9,3-14,2-11
