Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Sacramento Kings,61-21,36-5,25-16,24-6,37-15,10-4,14-2,22-6,15-9,37-12,24-9,6-1,39-15,1-0,12-4,10-5,11-1,7-5,12-4,8-2
2,Los Angeles Lakers,58-24,34-7,24-17,21-9,37-15,9-5,12-4,21-7,16-8,33-13,25-11,7-5,33-10,1-0,13-1,7-5,10-6,8-5,13-4,6-3
3,San Antonio Spurs,58-24,32-9,26-15,20-10,38-14,10-4,10-6,21-3,17-11,31-17,27-7,7-7,34-7,1-0,9-4,11-3,8-8,7-6,13-3,9-0
4,Dallas Mavericks,57-25,30-11,27-14,23-7,34-18,9-5,14-2,16-8,18-10,35-14,22-11,6-6,31-11,1-0,9-6,11-3,12-4,7-4,11-5,6-3
5,New Jersey Nets,52-30,33-8,19-22,35-19,17-11,16-8,19-11,9-5,8-6,32-15,20-15,9-6,26-14,2-0,8-5,9-5,11-4,8-4,9-9,5-3
6,Detroit Pistons,50-32,26-15,24-17,38-16,12-16,18-8,20-8,8-6,4-10,26-21,24-11,9-8,19-14,0-1,10-4,5-8,8-7,9-3,12-6,6-3
7,Minnesota Timberwolves,50-32,29-12,21-20,21-9,29-23,10-4,11-5,15-9,14-14,33-16,17-16,9-5,27-12,1-0,9-4,10-5,11-5,8-4,6-10,5-4
8,Boston Celtics,49-33,27-14,22-19,35-19,14-14,17-7,18-12,6-8,8-6,28-21,21-12,8-9,19-13,1-1,6-5,11-5,8-8,5-7,11-6,7-1
9,Portland Trail Blazers,49-33,30-11,19-22,22-8,27-25,10-4,12-4,13-15,14-10,25-23,24-10,5-9,20-17,1-1,8-6,4-9,11-4,9-4,11-5,5-4
10,Seattle SuperSonics,45-37,26-15,19-22,19-11,26-26,6-8,13-3,13-15,13-11,25-23,20-14,6-8,30-15,0-1,8-9,8-5,7-7,9-4,11-5,2-6
11,Charlotte Hornets,44-38,21-20,23-18,31-23,13-15,14-12,17-11,6-8,7-7,23-25,21-13,6-6,17-16,1-0,6-8,6-9,8-6,7-6,10-5,6-4
12,Orlando Magic,44-38,27-14,17-24,29-25,15-13,12-12,17-13,9-5,6-8,25-24,19-14,4-3,23-19,1-0,6-9,8-8,8-6,8-3,9-7,4-5
13,Utah Jazz,44-38,25-16,19-22,19-11,25-27,10-4,9-7,8-16,17-11,25-24,19-14,6-7,21-14,0-1,6-9,10-5,8-7,8-3,9-7,3-6
14,Philadelphia 76ers,43-39,22-19,21-20,31-23,12-16,14-11,17-12,5-9,7-7,25-24,18-15,3-5,19-13,0-1,7-6,5-11,11-4,5-6,10-7,5-4
15,Indiana Pacers,42-40,25-16,17-24,27-27,15-13,14-12,13-15,8-6,7-7,25-25,17-15,5-5,21-19,1-1,8-8,9-6,6-8,4-6,8-7,6-4
16,Toronto Raptors,42-40,24-17,18-23,29-25,13-15,12-14,17-11,7-7,6-8,29-21,13-19,13-7,16-16,0-2,10-4,6-8,11-5,2-11,6-8,7-2
17,Milwaukee Bucks,41-41,25-16,16-25,29-25,12-16,12-14,17-11,9-5,3-11,28-18,13-23,4-8,17-19,1-0,8-4,9-6,9-7,6-6,5-11,3-7
18,Los Angeles Clippers,39-43,25-16,14-27,16-14,23-29,6-8,10-6,14-14,9-15,25-26,14-17,4-8,19-22,0-1,7-8,8-5,9-9,5-7,8-7,2-6
19,Washington Wizards,37-45,22-19,15-26,25-29,12-16,12-13,13-16,6-8,6-8,26-21,11-24,7-6,14-17,0-1,5-9,11-4,6-7,5-8,7-10,3-6
20,Miami Heat,36-46,18-23,18-23,22-32,14-14,10-14,12-18,7-7,7-7,18-29,18-17,10-5,14-14,1-0,1-13,4-10,10-5,8-4,8-8,4-6
21,Phoenix Suns,36-46,23-18,13-28,12-18,24-28,4-10,8-8,12-16,12-12,24-24,12-22,9-7,17-19,0-1,10-6,8-6,4-10,6-7,6-9,2-7
22,Atlanta Hawks,33-49,23-18,10-31,21-33,12-16,10-16,11-17,6-8,6-8,16-33,17-16,9-8,8-26,0-1,6-10,5-8,3-12,6-6,9-7,4-5
23,New York Knicks,30-52,19-22,11-30,20-34,10-18,4-20,16-14,4-10,6-8,19-28,11-24,7-10,7-24,1-0,7-8,5-9,5-8,2-10,7-10,3-7
24,Cleveland Cavaliers,29-53,20-21,9-32,20-34,9-19,8-18,12-16,7-7,2-12,15-33,14-20,2-8,15-25,0-2,5-9,7-7,2-13,7-5,4-12,4-5
25,Houston Rockets,28-54,18-23,10-31,10-20,18-34,5-9,5-11,9-15,9-19,16-33,12-21,10-15,5-20,1-0,6-9,2-13,6-9,5-5,6-10,2-8
26,Denver Nuggets,27-55,20-21,7-34,8-22,19-33,4-10,4-12,8-16,11-17,14-31,13-24,11-8,9-30,1-0,6-9,3-10,3-11,3-8,6-12,5-5
27,Memphis Grizzlies,23-59,15-26,8-33,9-21,14-38,4-10,5-11,7-17,7-21,14-35,9-24,7-6,6-35,,3-12,6-9,4-11,2-10,4-11,4-6
28,Chicago Bulls,21-61,14-27,7-34,13-41,8-20,8-18,5-23,3-11,5-9,11-36,10-25,8-4,3-37,0-1,2-11,4-11,3-12,6-7,2-14,4-5
29,Golden State Warriors,21-61,14-27,7-34,8-22,13-39,5-9,3-13,8-20,5-19,14-32,7-29,1-8,11-27,0-1,7-8,5-9,2-11,2-10,2-16,3-6
