Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Indiana Pacers,61-21,34-7,27-14,41-13,20-8,21-5,20-8,10-4,10-4,39-14,22-7,7-6,30-8,1-1,13-2,9-7,12-3,8-3,12-4,6-1
2,Minnesota Timberwolves,58-24,31-10,27-14,24-6,34-18,10-4,14-2,14-10,20-8,37-15,21-9,6-6,34-6,1-1,8-7,11-2,12-3,11-4,9-7,6-0
3,San Antonio Spurs,57-25,33-8,24-17,22-8,35-17,12-2,10-6,15-9,20-8,35-18,22-7,6-8,38-5,1-1,8-7,13-2,9-8,8-2,11-5,7-0
4,Los Angeles Lakers,56-26,34-7,22-19,25-5,31-21,13-1,12-4,16-12,15-9,31-19,25-7,14-5,24-16,1-0,13-3,7-4,6-9,11-4,13-3,5-3
5,Sacramento Kings,55-27,34-7,21-20,24-6,31-21,9-5,15-1,15-13,16-8,37-13,18-14,5-4,29-9,2-0,10-4,9-4,12-4,10-3,9-7,3-5
6,Detroit Pistons,54-28,31-10,23-18,37-17,17-11,20-6,17-11,8-6,9-5,33-21,21-7,6-12,30-4,1-1,11-5,7-7,13-3,6-8,10-3,6-1
7,Dallas Mavericks,52-30,36-5,16-25,19-11,33-19,10-4,9-7,14-10,19-9,33-19,19-11,8-7,30-14,1-1,10-5,7-6,11-6,9-2,8-8,6-2
8,Memphis Grizzlies,50-32,31-10,19-22,22-8,28-24,11-3,11-5,12-12,16-12,30-22,20-10,10-6,18-7,0-1,7-7,8-9,10-4,10-3,13-2,2-6
9,New Jersey Nets,47-35,28-13,19-22,34-20,13-15,18-7,16-13,5-9,8-6,31-20,16-15,3-7,33-17,1-1,6-8,10-5,8-6,11-2,7-9,4-4
10,Houston Rockets,45-37,27-14,18-23,24-6,21-31,11-3,13-3,8-16,13-15,30-22,15-15,8-6,21-13,1-0,8-7,8-7,9-6,8-5,8-6,3-6
11,Denver Nuggets,43-39,29-12,14-27,14-16,29-23,7-7,7-9,11-13,18-10,31-23,12-16,3-9,23-19,1-1,9-5,9-7,9-8,5-7,6-9,4-2
12,Miami Heat,42-40,29-12,13-28,30-24,12-16,15-10,15-14,5-9,7-7,22-32,20-8,6-7,20-21,0-3,5-9,8-7,8-8,4-8,12-3,5-2
13,Utah Jazz,42-40,28-13,14-27,17-13,25-27,9-5,8-8,10-14,15-13,26-27,16-13,6-1,15-22,1-0,8-6,8-8,7-9,6-7,9-6,3-4
14,Milwaukee Bucks,41-41,27-14,14-27,33-21,8-20,18-8,15-13,4-10,4-10,27-24,14-17,5-6,16-9,1-1,7-7,7-8,11-5,6-6,5-11,4-3
15,New Orleans Hornets,41-41,25-16,16-25,30-24,11-17,16-10,14-14,4-10,7-7,28-24,13-17,9-5,18-17,2-0,9-6,9-6,6-9,6-6,5-11,4-3
16,Portland Trail Blazers,41-41,25-16,16-25,19-11,22-30,11-3,8-8,9-19,13-11,24-27,17-14,8-5,11-21,0-1,8-6,7-8,6-9,8-6,9-6,3-5
17,New York Knicks,39-43,23-18,16-25,31-23,8-20,17-7,14-16,3-11,5-9,25-29,14-14,6-6,16-22,0-1,7-9,7-9,8-8,4-8,9-5,4-3
18,Golden State Warriors,37-45,27-14,10-31,14-16,23-29,6-8,8-8,11-17,12-12,23-28,14-17,7-7,16-21,0-1,8-6,6-9,6-9,5-8,8-8,4-4
19,Seattle SuperSonics,37-45,21-20,16-25,15-15,22-30,6-8,9-7,11-17,11-13,25-27,12-18,6-7,17-23,2-0,6-6,7-8,7-9,5-9,7-9,3-4
20,Boston Celtics,36-46,19-22,17-24,24-30,12-16,14-10,10-20,7-7,5-9,23-31,13-15,10-9,11-18,2-0,5-9,9-8,6-10,3-9,9-5,2-5
21,Cleveland Cavaliers,35-47,23-18,12-29,29-25,6-22,15-11,14-14,2-12,4-10,20-33,15-14,8-4,11-25,0-2,4-11,6-9,7-7,7-6,8-7,3-5
22,Philadelphia 76ers,33-49,21-20,12-29,23-31,10-18,10-14,13-17,4-10,6-8,22-31,11-18,6-6,13-23,1-1,8-8,5-9,6-9,4-9,8-7,1-6
23,Toronto Raptors,33-49,18-23,15-26,22-32,11-17,11-15,11-17,5-9,6-8,25-26,8-23,10-10,9-22,2-0,6-8,8-6,5-9,4-11,5-10,3-5
24,Phoenix Suns,29-53,18-23,11-30,13-17,16-36,7-7,6-10,7-21,9-15,18-37,11-16,5-5,9-26,1-1,6-7,5-12,5-12,3-9,6-8,3-4
25,Atlanta Hawks,28-54,18-23,10-31,19-35,9-19,9-17,10-18,6-8,3-11,18-35,10-19,2-9,12-26,0-2,6-10,3-12,6-9,4-7,5-11,4-3
26,Los Angeles Clippers,28-54,18-23,10-31,14-16,14-38,6-8,8-8,6-22,8-16,22-29,6-25,9-5,12-25,0-2,4-6,9-7,7-10,5-8,2-16,1-5
27,Washington Wizards,25-57,17-24,8-33,16-38,9-19,3-21,13-17,2-12,7-7,16-34,9-23,3-4,13-34,1-1,5-9,2-11,6-10,4-8,5-13,2-5
28,Chicago Bulls,23-59,14-27,9-32,19-35,4-24,8-18,11-17,1-13,3-11,15-38,8-21,2-5,8-32,1-1,3-11,5-10,4-13,4-7,4-12,2-5
29,Orlando Magic,21-61,11-30,10-31,17-37,4-24,8-16,9-21,2-12,2-12,13-41,8-20,3-10,5-37,1-1,0-14,7-9,5-12,4-8,2-13,2-4
