Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,67-15,36-5,31-10,25-5,42-10,9-1,8-2,8-2,15-3,14-2,13-5,47-9,20-6,3-4,48-6,2-1,14-1,13-3,12-2,9-3,12-4,5-1
2,San Antonio Spurs,61-21,31-10,30-11,25-5,36-16,9-1,8-2,8-2,13-5,12-6,11-5,43-13,18-8,8-5,30-8,4-0,11-4,12-2,10-5,8-2,13-4,3-4
3,Houston Rockets,55-27,30-11,25-16,19-11,36-16,8-2,5-5,6-4,13-5,13-5,10-6,40-18,15-9,8-3,30-11,2-1,9-6,15-2,10-7,6-3,9-6,4-2
4,Boston Celtics,53-29,30-11,23-18,36-16,17-13,11-5,11-7,14-4,5-5,6-4,6-4,37-20,16-9,7-6,17-11,2-1,8-7,10-6,10-4,8-4,11-5,4-2
5,Cleveland Cavaliers,51-31,31-10,20-21,35-17,16-14,16-2,8-8,11-7,6-4,6-4,4-6,39-16,12-15,3-4,25-15,3-0,10-3,12-4,7-8,9-2,7-10,3-4
6,Los Angeles Clippers,51-31,29-12,22-19,20-10,31-21,6-4,5-5,9-1,10-8,10-6,11-7,35-21,16-10,3-6,33-14,3-0,11-5,8-9,8-4,6-5,10-8,5-0
7,Toronto Raptors,51-31,28-13,23-18,34-18,17-13,14-2,10-8,10-8,8-2,3-7,6-4,33-24,18-7,8-7,26-8,2-1,10-5,10-4,8-9,6-5,10-6,5-1
8,Utah Jazz,51-31,29-12,22-19,20-10,31-21,6-4,6-4,8-2,8-8,12-6,11-7,35-22,16-9,4-4,23-10,1-2,10-6,10-5,9-6,7-4,10-6,4-2
9,Washington Wizards,49-33,30-11,19-22,32-20,17-13,12-6,12-6,8-8,6-4,8-2,3-7,34-21,15-12,9-6,18-12,0-2,6-9,10-5,12-4,7-3,11-7,3-3
10,Oklahoma City Thunder,47-35,28-13,19-22,18-12,29-23,9-1,4-6,5-5,10-6,8-10,11-7,32-25,15-10,12-7,23-21,3-0,9-8,9-5,7-8,7-4,8-7,4-3
11,Atlanta Hawks,43-39,23-18,20-21,30-22,13-17,13-5,11-7,6-10,4-6,2-8,7-3,32-24,11-15,7-8,17-21,3-0,7-9,7-7,11-4,5-6,6-10,4-3
12,Memphis Grizzlies,43-39,24-17,19-22,15-15,28-24,5-5,5-5,5-5,11-7,9-9,8-8,34-24,9-15,7-5,17-20,2-1,9-7,11-6,7-7,7-4,6-9,1-5
