Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,63-19,37-4,26-15,19-7,44-12,10-2,9-5,22-6,22-6,35-11,28-8,6-7,30-7,11-2,10-4,10-5,10-2,12-4,10-2
2,Detroit Pistons,59-23,35-6,24-17,40-14,19-9,18-6,22-8,10-4,9-5,35-14,24-9,6-4,32-8,9-5,9-6,13-3,10-1,11-4,7-4
3,Portland Trail Blazers,59-23,35-6,24-17,18-8,41-15,10-2,8-6,21-7,20-8,33-13,26-10,7-6,33-8,11-3,8-7,12-2,7-5,13-4,8-2
4,San Antonio Spurs,56-26,34-7,22-19,16-10,40-16,9-3,7-7,19-9,21-7,32-14,24-12,10-3,23-9,8-5,11-2,10-6,8-5,11-5,8-3
5,Chicago Bulls,55-27,36-5,19-22,37-17,18-10,17-7,20-10,9-5,9-5,28-19,27-8,8-7,26-12,8-6,11-3,9-6,7-5,12-3,8-4
6,Utah Jazz,55-27,36-5,19-22,17-9,38-18,8-4,9-5,21-7,17-11,33-14,22-13,8-3,35-15,8-4,11-5,11-3,9-4,11-4,5-7
7,Phoenix Suns,54-28,32-9,22-19,16-10,38-18,9-3,7-7,18-10,20-8,28-17,26-11,6-5,38-7,5-6,7-7,13-3,11-1,12-6,6-5
8,Philadelphia 76ers,53-29,34-7,19-22,37-17,16-12,19-7,18-10,8-6,8-6,30-18,23-11,6-6,30-12,8-4,7-9,12-3,8-5,11-5,7-3
9,Boston Celtics,52-30,30-11,22-19,36-18,16-12,19-7,17-11,9-5,7-7,28-18,24-12,7-4,30-11,8-7,9-4,9-5,7-6,9-6,10-2
10,Dallas Mavericks,47-35,30-11,17-24,18-8,29-27,8-4,10-4,17-11,12-16,26-22,21-13,7-3,20-19,6-7,9-6,9-7,7-5,9-5,7-5
11,New York Knicks,45-37,29-12,16-25,30-24,15-13,17-9,13-15,7-7,8-6,32-16,13-21,6-9,20-18,9-5,11-2,7-9,9-3,4-12,5-6
12,Milwaukee Bucks,44-38,27-14,17-24,28-26,16-12,14-10,14-16,8-6,8-6,27-22,17-16,8-9,18-18,7-7,8-6,10-6,7-5,5-10,7-4
13,Denver Nuggets,43-39,28-13,15-26,15-11,28-28,8-4,7-7,15-13,13-15,26-20,17-19,9-4,24-20,10-4,9-6,4-9,6-7,8-9,6-4
14,Cleveland Cavaliers,42-40,27-14,15-26,30-24,12-16,16-8,14-16,4-10,8-6,21-25,21-15,9-3,22-20,6-7,5-9,8-7,6-6,8-8,9-3
15,Indiana Pacers,42-40,28-13,14-27,30-24,12-16,14-10,16-14,7-7,5-9,25-23,17-17,8-5,17-16,8-4,11-5,4-12,7-6,6-7,6-6
16,Houston Rockets,41-41,31-10,10-31,13-13,28-28,5-7,8-6,13-15,15-13,22-25,19-16,3-8,24-17,9-6,3-12,8-5,4-8,11-5,6-5
17,Atlanta Hawks,41-41,25-16,16-25,27-27,14-14,12-12,15-15,8-6,6-8,22-24,19-17,5-3,19-17,7-6,9-5,5-9,6-9,7-8,7-4
18,Seattle SuperSonics,41-41,30-11,11-30,15-11,26-30,8-4,7-7,15-13,11-17,22-23,19-18,5-6,24-24,8-7,5-6,6-9,9-5,7-8,6-6
19,Golden State Warriors,37-45,27-14,10-31,13-13,24-32,7-5,6-8,13-15,11-17,23-24,14-21,7-5,17-30,3-10,7-7,10-5,5-8,7-8,5-7
20,Washington Bullets,31-51,20-21,11-30,20-34,11-17,10-16,10-18,6-8,5-9,18-31,13-20,4-12,14-24,7-9,5-7,3-13,7-6,5-9,4-7
21,Los Angeles Clippers,30-52,20-21,10-31,13-13,17-39,4-8,9-5,10-18,7-21,21-26,9-26,6-9,11-21,4-8,6-8,9-8,3-9,5-12,3-7
22,Sacramento Kings,23-59,16-25,7-34,9-17,14-42,4-8,5-9,7-21,7-21,12-34,11-25,5-9,10-32,4-9,3-11,5-10,3-10,7-10,1-9
23,Minnesota Timberwolves,22-60,17-24,5-36,10-16,12-44,6-6,4-10,6-22,6-22,10-36,12-24,5-11,10-32,3-12,3-11,3-10,6-7,5-12,2-8
24,Charlotte Hornets,19-63,13-28,6-35,6-20,13-43,3-9,3-11,7-21,6-22,8-37,11-26,5-5,7-40,3-11,3-9,2-13,1-11,6-12,4-7
25,Miami Heat,18-64,11-30,7-34,11-43,7-21,4-22,7-21,4-10,3-11,10-39,8-25,4-7,6-40,4-12,3-11,2-13,3-10,5-9,1-9
26,Orlando Magic,18-64,12-29,6-35,12-42,6-22,8-16,4-26,4-10,2-12,14-33,4-31,4-7,4-38,7-7,2-13,4-10,3-10,1-13,1-11
27,New Jersey Nets,17-65,13-28,4-37,13-41,4-24,9-17,4-24,3-11,1-13,12-35,5-30,3-7,5-34,3-11,5-9,4-11,1-11,3-13,1-10
