Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Portland Trail Blazers,58-24,36-5,22-19,28-14,30-10,14-5,14-9,17-7,13-3,40-8,18-16,11-5,29-11,4-1,12-2,11-2,12-3,11-2,6-11,2-3
2,Philadelphia 76ers,55-27,37-4,18-23,28-12,27-15,14-2,14-10,15-8,12-7,34-14,21-13,10-9,30-6,2-3,14-2,6-6,10-3,9-5,12-3,2-5
3,San Antonio Spurs,52-30,32-9,20-21,29-11,23-19,14-6,15-5,14-8,9-11,31-19,21-11,8-5,29-16,4-3,8-7,7-6,11-2,7-5,12-5,3-2
4,Phoenix Suns,49-33,34-7,15-26,25-17,24-16,12-7,13-10,16-8,8-8,34-16,15-17,3-4,33-19,3-3,8-4,10-6,12-2,5-8,9-7,2-3
5,Denver Nuggets,48-34,33-8,15-26,26-16,22-18,11-9,15-7,11-9,11-9,32-18,16-16,12-13,15-13,4-2,10-6,7-5,10-4,8-6,5-9,4-2
6,Seattle SuperSonics,47-35,31-10,16-25,22-20,25-15,11-8,11-12,17-7,8-8,27-22,20-13,11-7,19-14,1-6,5-11,11-3,10-2,7-5,9-7,4-1
7,Los Angeles Lakers,45-37,29-12,16-25,26-16,19-21,14-5,12-11,13-11,6-10,24-26,21-11,7-8,25-13,2-5,6-8,8-5,7-7,9-4,10-6,3-2
8,Milwaukee Bucks,44-38,28-13,16-25,24-18,20-20,11-8,13-10,14-6,6-14,26-27,18-11,13-6,20-20,3-2,8-8,9-7,6-8,7-4,8-7,3-2
9,Washington Bullets,44-38,29-12,15-26,26-14,18-24,12-8,14-6,8-15,10-9,26-23,18-15,8-9,21-17,1-3,9-4,10-6,6-8,5-8,10-7,3-2
10,Cleveland Cavaliers,43-39,27-14,16-25,22-18,21-21,13-7,9-11,13-10,8-11,24-24,19-15,7-5,21-20,3-3,10-2,5-10,4-9,8-7,8-8,5-0
11,New York Knicks,43-39,29-12,14-27,19-21,24-18,7-9,12-12,17-6,7-12,26-25,17-14,15-7,12-20,3-2,8-7,8-6,7-8,6-5,7-10,4-1
12,Golden State Warriors,43-39,30-11,13-28,23-19,20-20,11-8,12-11,15-9,5-11,25-26,18-13,7-7,20-16,5-2,5-9,5-9,9-5,5-7,11-5,3-2
13,Atlanta Hawks,41-41,29-12,12-29,20-20,21-21,12-8,8-12,11-12,10-9,24-27,17-14,9-12,16-18,3-1,8-6,6-11,6-9,6-6,8-7,4-1
14,Chicago Bulls,40-42,29-12,11-30,24-18,16-24,9-10,15-8,8-12,8-12,28-23,12-19,12-11,14-15,4-2,6-7,10-5,7-8,5-10,6-8,2-2
15,New Orleans Jazz,39-43,27-14,12-29,19-21,20-22,11-9,8-12,9-14,11-8,26-24,13-19,14-12,13-22,4-1,7-9,3-10,11-4,4-9,7-9,3-1
16,Detroit Pistons,38-44,24-17,14-27,22-20,16-24,9-10,13-10,8-12,8-12,23-27,15-17,10-6,19-23,4-3,4-8,7-7,7-7,6-7,8-8,2-4
17,Boston Celtics,32-50,24-17,8-33,16-24,16-26,8-8,8-16,10-13,6-13,17-30,15-20,8-13,11-21,1-5,6-7,4-11,4-7,7-5,8-10,2-5
18,Indiana Pacers,31-51,21-20,10-31,18-24,13-27,9-10,9-14,8-12,5-15,19-30,12-21,6-14,8-20,3-2,4-11,7-4,5-11,3-11,7-10,2-2
19,Kansas City Kings,31-51,22-19,9-32,16-26,15-25,7-12,9-14,11-9,4-16,17-34,14-17,8-7,14-17,3-4,4-9,6-8,3-13,8-4,7-8,0-5
20,Houston Rockets,28-54,21-20,7-34,15-25,13-29,9-11,6-14,8-15,5-14,18-31,10-23,3-16,15-26,3-2,4-10,6-8,3-11,8-7,1-13,3-3
21,Buffalo Braves,27-55,20-21,7-34,16-24,11-31,7-9,9-15,8-15,3-16,16-30,11-25,5-10,9-22,2-4,8-6,3-10,3-9,3-10,7-10,1-6
22,New Jersey Nets,24-58,18-23,6-35,10-30,14-28,4-12,6-18,9-14,5-14,9-42,15-16,9-10,6-30,1-4,2-13,5-9,1-14,5-7,9-7,1-4
