Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,63-19,35-6,28-13,43-15,20-4,19-5,24-10,11-1,9-3,41-9,22-10,7-4,37-7,2-0,11-1,13-5,11-3,10-3,12-3,4-4
2,Los Angeles Lakers,62-20,36-5,26-15,15-7,47-13,7-3,8-4,23-7,24-6,35-16,27-4,5-9,31-9,1-2,11-4,10-4,9-6,11-2,13-1,7-1
3,Milwaukee Bucks,59-23,36-5,23-18,39-19,20-4,19-9,20-10,10-2,10-2,34-17,25-6,8-8,38-6,2-1,9-6,11-4,10-3,9-4,13-3,5-2
4,Philadelphia 76ers,58-24,34-7,24-17,40-18,18-6,15-9,25-9,7-5,11-1,39-10,19-14,11-5,26-8,3-0,9-4,12-2,12-3,10-4,8-7,4-4
5,Denver Nuggets,52-30,34-7,18-23,15-7,37-23,7-3,8-4,17-13,20-10,31-20,21-10,10-7,26-15,1-1,11-2,7-9,11-5,8-4,10-5,4-4
6,Houston Rockets,48-34,29-12,19-22,12-10,36-24,4-6,8-4,20-10,16-14,28-21,20-13,9-4,21-14,2-0,10-5,6-8,8-7,8-4,9-6,5-4
7,Detroit Pistons,46-36,26-15,20-21,31-27,15-9,10-19,21-8,7-5,8-4,30-19,16-17,6-10,20-14,1-2,7-7,8-6,12-2,5-8,7-8,6-3
8,Dallas Mavericks,44-38,24-17,20-21,11-11,33-27,5-5,6-6,14-16,19-11,27-23,17-15,6-8,20-21,2-2,7-7,6-6,9-7,8-4,9-8,3-4
9,New Jersey Nets,42-40,27-14,15-26,34-24,8-16,13-11,21-13,2-10,6-6,24-26,18-14,9-7,18-22,1-3,7-5,7-9,6-9,8-3,8-9,5-2
10,Portland Trail Blazers,42-40,30-11,12-29,13-9,29-31,6-4,7-5,12-18,17-13,22-28,20-12,2-7,30-16,2-0,8-8,4-9,6-9,7-6,10-6,5-2
11,San Antonio Spurs,41-41,30-11,11-30,10-12,31-29,4-6,6-6,12-18,19-11,25-25,16-16,6-10,18-18,2-0,5-9,7-9,8-5,6-8,10-7,3-3
12,Utah Jazz,41-41,26-15,15-26,9-13,32-28,4-6,5-7,19-11,13-17,23-27,18-14,9-5,19-19,1-2,8-7,6-8,5-9,8-5,9-8,4-2
13,Washington Bullets,40-42,28-13,12-29,28-30,12-12,11-13,17-17,7-5,5-7,28-24,12-18,8-5,16-14,2-2,9-5,8-6,8-7,3-9,7-8,3-5
14,Chicago Bulls,38-44,26-15,12-29,24-34,14-10,11-17,13-17,6-6,8-4,24-25,14-19,11-7,13-16,3-1,6-8,7-6,8-7,2-9,9-9,3-4
15,Cleveland Cavaliers,36-46,20-21,16-25,25-33,11-13,12-17,13-16,5-7,6-6,16-33,20-13,9-5,11-22,0-3,2-10,4-9,7-9,9-6,9-6,5-3
16,Phoenix Suns,36-46,26-15,10-31,9-13,27-33,4-6,5-7,12-18,15-15,25-25,11-21,6-4,17-23,3-0,7-8,7-7,5-10,6-7,4-11,4-3
17,Atlanta Hawks,34-48,19-22,15-26,25-33,9-15,10-18,15-15,2-10,7-5,21-29,13-19,6-12,17-22,1-2,6-8,6-9,6-7,5-8,5-11,5-3
18,Kansas City Kings,31-51,23-18,8-33,9-13,22-38,5-5,4-8,8-22,14-16,16-33,15-18,4-9,12-22,0-2,3-11,8-5,4-12,4-9,11-6,1-6
19,Los Angeles Clippers,31-51,20-21,11-30,5-17,26-34,2-8,3-9,15-15,11-19,20-30,11-21,8-5,11-26,1-1,5-11,8-7,5-9,3-9,5-12,4-2
20,Seattle SuperSonics,31-51,20-21,11-30,8-14,23-37,3-7,5-7,10-20,13-17,21-30,10-21,8-6,12-31,1-2,5-9,8-7,7-8,4-8,5-10,1-7
21,New York Knicks,24-58,19-22,5-36,16-42,8-16,2-22,14-20,4-8,4-8,18-33,6-25,8-10,7-30,1-1,7-10,4-11,5-8,3-9,4-12,0-7
22,Golden State Warriors,22-60,17-24,5-36,5-17,17-43,3-7,2-10,7-23,10-20,11-38,11-22,6-7,6-27,0-3,6-8,4-9,0-15,5-9,5-11,2-5
23,Indiana Pacers,22-60,16-25,6-35,14-44,8-16,7-21,7-23,5-7,3-9,16-34,6-26,5-13,6-30,0-2,5-11,3-9,7-9,4-8,1-16,2-5
