Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Chicago Bulls,62-20,37-4,25-16,42-12,20-8,21-5,21-7,10-4,10-4,34-15,28-5,6-3,34-5,0-1,9-6,11-3,13-3,10-3,13-1,6-3
2,Utah Jazz,62-20,36-5,26-15,24-6,38-14,11-3,13-3,22-2,16-12,31-15,31-5,9-4,30-7,0-1,9-5,10-5,10-3,9-2,15-2,9-2
3,Los Angeles Lakers,61-21,33-8,28-13,19-11,42-10,6-8,13-3,26-2,16-8,34-11,27-10,5-3,38-10,1-0,12-2,10-5,9-4,7-5,13-4,9-1
4,Seattle SuperSonics,61-21,35-6,26-15,22-8,39-13,10-4,12-4,20-8,19-5,37-10,24-11,8-3,33-10,1-0,12-3,11-3,11-4,8-3,11-5,7-3
5,Indiana Pacers,58-24,32-9,26-15,41-13,17-11,22-4,19-9,9-5,8-6,33-13,25-11,9-7,24-4,0-1,8-5,11-4,12-2,8-5,11-5,8-2
6,Phoenix Suns,56-26,30-11,26-15,19-11,37-15,9-5,10-6,20-8,17-7,31-15,25-11,6-5,30-13,1-0,8-3,9-6,11-5,9-4,10-7,8-1
7,San Antonio Spurs,56-26,31-10,25-16,23-7,33-19,12-2,11-5,18-6,15-13,34-14,22-12,7-3,31-15,1-0,8-7,9-4,14-3,7-4,11-5,6-3
8,Miami Heat,55-27,30-11,25-16,36-18,19-9,18-6,18-12,10-4,9-5,30-17,25-10,9-4,28-13,1-0,9-5,10-4,7-7,13-2,12-3,3-6
9,Charlotte Hornets,51-31,32-9,19-22,31-23,20-8,15-11,16-12,11-3,9-5,29-18,22-13,9-3,25-20,0-1,9-4,9-6,9-7,7-5,12-3,5-5
10,Atlanta Hawks,50-32,29-12,21-20,34-20,16-12,15-11,19-9,8-6,8-6,29-20,21-12,8-9,28-13,1-0,13-2,5-8,9-8,5-6,9-5,8-3
11,Cleveland Cavaliers,47-35,27-14,20-21,28-26,19-9,14-12,14-14,9-5,10-4,27-20,20-15,9-10,24-11,0-1,9-5,8-5,9-7,4-9,11-4,6-4
12,Portland Trail Blazers,46-36,26-15,20-21,13-17,33-19,5-9,8-8,19-9,14-10,26-20,20-16,7-5,20-12,0-1,10-4,8-5,6-9,9-4,7-8,6-5
13,Minnesota Timberwolves,45-37,26-15,19-22,15-15,30-22,7-7,8-8,14-10,16-12,26-20,19-17,9-5,19-19,1-0,6-8,8-6,10-4,5-8,8-8,7-3
14,New Jersey Nets,43-39,26-15,17-24,27-27,16-12,12-12,15-15,8-6,8-6,27-21,16-18,4-9,22-15,1-0,9-5,6-8,10-6,7-6,4-10,6-4
15,New York Knicks,43-39,28-13,15-26,27-27,16-12,13-11,14-16,7-7,9-5,25-21,18-18,7-9,24-12,1-0,9-5,7-7,7-7,8-4,8-10,3-6
16,Washington Wizards,42-40,24-17,18-23,24-30,18-10,12-13,12-17,9-5,9-5,25-24,17-16,10-8,21-20,0-1,5-10,11-5,7-7,6-6,7-7,6-4
17,Houston Rockets,41-41,24-17,17-24,12-18,29-23,5-9,7-9,14-10,15-13,22-24,19-17,4-4,23-25,1-0,7-5,7-6,6-11,7-6,9-7,4-6
18,Orlando Magic,41-41,24-17,17-24,24-30,17-11,11-13,13-17,10-4,7-7,23-25,18-16,7-7,18-23,0-1,10-5,7-7,4-12,8-4,8-7,4-5
19,Detroit Pistons,37-45,25-16,12-29,25-29,12-16,13-13,12-16,6-8,6-8,22-25,15-20,4-10,17-11,1-0,5-11,8-6,7-7,5-6,8-9,3-6
20,Boston Celtics,36-46,24-17,12-29,23-31,13-15,12-13,11-18,6-8,7-7,22-25,14-21,5-3,13-23,1-0,6-9,7-5,6-10,7-6,4-11,5-5
21,Milwaukee Bucks,36-46,21-20,15-26,20-34,16-12,11-15,9-19,7-7,9-5,24-23,12-23,3-7,10-22,1-0,8-6,5-9,8-7,6-6,3-13,5-5
22,Philadelphia 76ers,31-51,19-22,12-29,16-38,15-13,7-17,9-21,7-7,8-6,14-31,17-20,6-4,16-22,0-1,4-8,3-12,7-8,5-8,7-9,5-5
23,Sacramento Kings,27-55,21-20,6-35,9-21,18-34,6-8,3-13,12-16,6-18,20-28,7-27,8-10,13-35,,5-11,6-9,8-6,5-9,2-12,1-8
24,Dallas Mavericks,20-62,13-28,7-34,7-23,13-39,3-11,4-12,9-15,4-24,9-38,11-24,4-9,8-27,1-0,3-11,1-14,3-11,3-10,8-8,1-8
25,Golden State Warriors,19-63,12-29,7-34,4-26,15-37,3-11,1-15,9-19,6-18,8-37,11-26,1-2,9-39,0-1,1-12,6-8,1-14,4-9,3-14,4-5
26,Vancouver Grizzlies,19-63,14-27,5-36,5-25,14-38,1-13,4-12,4-20,10-18,13-36,6-27,5-6,6-31,0-1,7-10,3-9,3-13,1-9,2-14,3-7
27,Los Angeles Clippers,17-65,11-30,6-35,3-27,14-38,2-12,1-15,8-20,6-18,11-37,6-28,3-7,5-35,0-1,2-13,4-10,4-12,2-9,4-11,1-9
28,Toronto Raptors,16-66,9-32,7-34,7-47,9-19,5-21,2-26,5-9,4-10,11-36,5-30,5-9,1-33,0-1,1-14,3-11,6-8,3-9,2-13,1-10
29,Denver Nuggets,11-71,9-32,2-39,2-28,9-43,2-12,0-16,3-21,6-22,4-42,7-29,1-10,6-51,0-1,1-11,1-14,2-14,1-12,4-11,2-8
