Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Dallas Mavericks,67-15,36-5,31-10,27-3,40-12,10-0,8-2,9-1,15-3,11-7,14-2,44-9,23-6,12-3,36-9,,11-4,13-3,14-2,10-0,13-2,6-4
2,Phoenix Suns,61-21,33-8,28-13,25-5,36-16,9-1,8-2,8-2,12-6,11-5,13-5,39-13,22-8,5-4,32-4,0-1,8-5,13-2,15-1,8-5,10-4,7-3
3,San Antonio Spurs,58-24,31-10,27-14,20-10,38-14,9-1,4-6,7-3,14-4,14-4,10-6,35-18,23-6,3-5,35-7,,11-5,12-3,9-7,7-3,13-2,6-4
4,Detroit Pistons,53-29,26-15,27-14,36-16,17-13,15-3,9-7,12-6,6-4,6-4,5-5,32-19,21-10,6-10,24-7,,10-5,8-6,8-7,10-1,10-7,7-3
5,Houston Rockets,52-30,28-13,24-17,24-6,28-24,8-2,7-3,9-1,10-8,10-8,8-8,33-19,19-11,4-4,25-13,,10-5,9-7,10-4,6-6,12-4,5-4
6,Utah Jazz,51-31,31-10,20-21,19-11,32-20,6-4,9-1,4-6,10-6,10-8,12-6,35-17,16-14,10-10,26-11,,13-4,9-5,8-8,8-2,9-6,4-6
7,Cleveland Cavaliers,50-32,30-11,20-21,31-21,19-11,12-6,10-6,9-9,5-5,8-2,6-4,31-22,19-10,9-7,25-11,,9-6,8-6,9-7,7-5,11-5,6-3
8,Chicago Bulls,49-33,31-10,18-23,36-16,13-17,11-7,12-4,13-5,5-5,3-7,5-5,29-25,20-8,9-9,28-15,1-0,4-9,14-3,7-8,7-7,10-4,6-2
9,Toronto Raptors,47-35,30-11,17-24,33-19,14-16,11-5,9-9,13-5,5-5,5-5,4-6,29-24,18-11,11-6,23-18,,5-10,8-8,10-5,9-3,8-6,7-3
10,Denver Nuggets,45-37,23-18,22-19,18-12,27-25,5-5,7-3,6-4,9-7,11-7,7-11,26-25,19-12,3-7,23-17,,8-5,8-7,6-9,6-7,7-8,10-1
11,Miami Heat,44-38,27-14,17-24,27-25,17-13,9-9,9-9,9-7,8-2,5-5,4-6,26-26,18-12,13-6,16-22,0-1,6-8,7-8,7-8,8-4,11-4,5-5
12,Golden State Warriors,42-40,30-11,12-29,14-16,28-24,7-3,4-6,3-7,10-8,6-10,12-6,25-29,17-11,8-8,26-21,,9-7,7-9,5-9,5-8,8-6,8-1
13,Los Angeles Lakers,42-40,25-16,17-24,14-16,28-24,6-4,2-8,6-4,10-8,10-6,8-10,30-24,12-16,5-4,18-16,1-0,9-5,10-6,8-7,5-7,5-9,4-6
14,New Jersey Nets,41-41,24-17,17-24,31-21,10-20,10-6,10-8,11-7,4-6,3-7,3-7,25-29,16-12,6-8,17-17,,6-9,7-9,9-6,6-6,6-9,7-2
15,Washington Wizards,41-41,26-15,15-26,27-25,14-16,9-9,10-8,8-8,5-5,6-4,3-7,29-21,12-20,12-7,19-16,,5-9,12-4,10-5,4-7,7-8,3-8
16,Orlando Magic,40-42,25-16,15-26,26-26,14-16,8-10,9-9,9-7,8-2,3-7,3-7,27-26,13-16,10-7,20-19,,12-4,6-10,6-8,4-9,6-8,6-3
17,Los Angeles Clippers,40-42,25-16,15-26,17-13,23-29,6-4,5-5,6-4,8-10,8-8,7-11,25-28,15-14,5-6,20-25,,7-7,7-9,9-6,5-7,8-8,4-5
18,New Orleans/Oklahoma City Hornets,39-43,24-17,15-26,16-14,23-29,5-5,5-5,6-4,9-9,8-10,6-10,25-28,14-15,9-7,14-21,,8-7,4-11,7-8,9-4,5-10,6-3
19,Indiana Pacers,35-47,22-19,13-28,25-27,10-20,8-10,8-8,9-9,2-8,3-7,5-5,28-24,7-23,5-7,18-24,,9-7,8-8,7-6,5-6,2-14,4-6
20,Philadelphia 76ers,35-47,21-20,14-27,24-28,11-19,9-7,6-12,9-9,5-5,3-7,3-7,17-36,18-11,9-8,12-25,,5-9,3-13,7-10,5-6,9-6,6-3
21,Charlotte Bobcats,33-49,20-21,13-28,24-28,9-21,7-11,8-10,9-7,3-7,4-6,2-8,19-33,14-16,2-4,15-23,,4-11,5-10,8-7,5-8,6-9,5-4
22,New York Knicks,33-49,19-22,14-27,22-30,11-19,3-13,8-10,11-7,4-6,5-5,2-8,23-30,10-19,10-10,10-23,,6-11,7-9,7-8,6-5,5-9,2-7
23,Sacramento Kings,33-49,20-21,13-28,15-15,18-34,6-4,6-4,3-7,10-8,5-11,3-15,22-29,11-20,5-6,14-19,,8-5,5-10,5-11,7-6,5-9,3-8
