Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,66-16,35-6,31-10,41-11,25-5,14-2,15-3,12-6,8-2,8-2,9-1,41-9,25-7,7-6,45-3,,13-2,13-1,10-5,9-4,13-3,8-1
2,Detroit Pistons,59-23,34-7,25-16,37-15,22-8,11-7,11-5,15-3,7-3,7-3,8-2,39-13,20-10,5-3,37-10,,9-5,15-2,9-6,9-3,10-5,7-2
3,Los Angeles Lakers,57-25,30-11,27-14,20-10,37-15,7-3,6-4,7-3,15-3,12-4,10-8,35-17,22-8,5-8,37-9,0-1,9-6,10-4,9-5,13-2,9-6,7-1
4,New Orleans Hornets,56-26,30-11,26-15,22-8,34-18,8-2,7-3,7-3,11-7,13-5,10-6,36-15,20-11,8-4,37-15,1-0,10-6,9-5,12-2,7-5,11-4,6-4
5,San Antonio Spurs,56-26,34-7,22-19,23-7,33-19,6-4,7-3,10-0,13-5,10-8,10-6,34-17,22-9,8-6,31-11,2-0,12-3,7-5,8-8,10-1,12-6,5-3
6,Houston Rockets,55-27,31-10,24-17,22-8,33-19,5-5,9-1,8-2,14-4,11-7,8-8,32-20,23-7,9-3,31-11,1-0,8-8,6-8,10-4,13-0,11-4,6-3
7,Phoenix Suns,55-27,30-11,25-16,24-6,31-21,8-2,8-2,8-2,12-6,10-6,9-9,37-16,18-11,3-5,31-9,,12-4,10-5,11-5,6-5,11-5,5-3
8,Utah Jazz,54-28,37-4,17-24,21-9,33-19,7-3,7-3,7-3,10-6,11-7,12-6,34-19,20-9,4-3,37-14,1-0,11-5,5-11,11-2,9-4,12-4,5-2
9,Orlando Magic,52-30,25-16,27-14,38-14,14-16,13-5,13-5,12-4,6-4,5-5,3-7,33-21,19-9,6-6,34-12,1-0,13-4,8-7,7-7,8-5,10-4,5-3
10,Dallas Mavericks,51-31,34-7,17-24,18-12,33-19,5-5,6-4,7-3,11-7,12-6,10-6,35-18,16-13,5-6,29-11,1-0,10-5,9-6,11-3,8-6,7-8,5-3
11,Denver Nuggets,50-32,33-8,17-24,19-11,31-21,7-3,5-5,7-3,10-6,10-8,11-7,32-20,18-12,6-6,29-18,1-0,9-7,8-5,9-6,8-5,10-6,5-3
12,Golden State Warriors,48-34,27-14,21-20,20-10,28-24,8-2,5-5,7-3,8-10,10-6,10-8,32-20,16-14,9-2,22-14,0-1,8-6,11-6,9-6,7-3,10-6,3-6
13,Cleveland Cavaliers,45-37,27-14,18-23,28-24,17-13,10-8,7-9,11-7,6-4,7-3,4-6,29-23,16-14,10-8,10-17,0-1,9-7,5-9,11-3,8-6,8-7,4-4
14,Washington Wizards,43-39,25-16,18-23,29-23,14-16,10-8,9-9,10-6,5-5,4-6,5-5,25-27,18-12,5-9,26-19,0-1,7-8,8-5,9-6,4-10,10-6,5-3
15,Toronto Raptors,41-41,25-16,16-25,29-23,12-18,10-6,9-9,10-8,4-6,2-8,6-4,28-23,13-18,3-3,26-16,1-0,8-7,8-8,8-5,7-5,6-11,3-5
