Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,San Antonio Spurs,58-24,33-8,25-16,19-11,39-13,8-6,11-5,19-5,20-8,31-16,27-8,3-7,40-6,1-0,9-4,9-7,9-4,9-4,14-3,7-2
2,Los Angeles Lakers,56-26,31-10,25-16,22-8,34-18,10-4,12-4,20-8,14-10,31-16,25-10,10-5,24-13,1-0,10-5,11-5,6-6,9-3,11-6,8-1
3,Philadelphia 76ers,56-26,29-12,27-14,40-14,16-12,18-6,22-8,8-6,8-6,36-14,20-12,6-4,26-12,1-0,11-2,9-6,13-3,9-5,7-6,6-4
4,Sacramento Kings,55-27,33-8,22-19,20-10,35-17,11-3,9-7,19-9,16-8,31-15,24-12,6-9,28-8,1-0,9-4,10-4,10-4,8-6,11-4,6-5
5,Dallas Mavericks,53-29,28-13,25-16,23-7,30-22,11-3,12-4,14-10,16-12,31-19,22-10,4-5,28-14,1-0,9-6,10-6,8-6,8-4,10-4,7-3
6,Utah Jazz,53-29,28-13,25-16,22-8,31-21,11-3,11-5,14-10,17-11,32-15,21-14,5-4,31-9,1-0,11-3,8-8,9-4,10-2,9-7,5-5
7,Milwaukee Bucks,52-30,31-10,21-20,38-16,14-14,19-7,19-9,7-7,7-7,29-18,23-12,3-7,20-12,0-1,6-8,10-4,11-4,8-4,11-5,6-4
8,Phoenix Suns,51-31,31-10,20-21,21-9,30-22,7-7,14-2,18-10,12-12,28-20,23-11,7-4,18-13,0-1,10-3,8-6,8-8,8-4,10-5,7-4
9,Miami Heat,50-32,29-12,21-20,34-20,16-12,15-10,19-10,8-6,8-6,30-20,20-12,9-9,18-12,,6-9,12-5,10-4,6-6,9-5,7-3
10,Portland Trail Blazers,50-32,28-13,22-19,24-6,26-26,10-4,14-2,14-14,12-12,35-15,15-17,4-4,29-13,0-1,11-5,10-4,12-4,7-4,7-7,3-7
11,New York Knicks,48-34,30-11,18-23,32-22,16-12,16-9,16-13,7-7,9-5,29-18,19-16,12-5,24-14,0-1,9-6,10-5,7-4,7-7,9-7,6-4
12,Minnesota Timberwolves,47-35,30-11,17-24,20-10,27-25,6-8,14-2,11-13,16-12,32-18,15-17,7-4,22-14,1-0,7-7,9-7,12-4,5-6,8-6,5-5
13,Toronto Raptors,47-35,27-14,20-21,36-18,11-17,18-8,18-10,6-8,5-9,26-23,21-12,6-7,26-15,0-1,8-6,7-8,9-7,7-5,9-5,7-3
14,Charlotte Hornets,46-36,28-13,18-23,37-17,9-19,17-9,20-8,4-10,5-9,26-25,20-11,7-8,23-11,1-0,9-6,10-5,5-10,7-5,8-6,6-4
15,Houston Rockets,45-37,24-17,21-20,25-5,20-32,9-5,16-0,11-13,9-19,25-25,20-12,4-10,25-14,0-1,9-6,5-8,8-8,9-4,9-6,5-4
16,Seattle SuperSonics,44-38,26-15,18-23,17-13,27-25,7-7,10-6,10-18,17-7,28-24,16-14,10-4,20-18,0-1,8-8,9-5,9-8,3-7,12-5,3-4
17,Orlando Magic,43-39,26-15,17-24,30-24,13-15,14-10,16-14,8-6,5-9,25-23,18-16,7-7,21-17,1-0,4-11,9-5,7-7,9-3,9-7,4-6
18,Indiana Pacers,41-41,26-15,15-26,29-25,12-16,14-12,15-13,5-9,7-7,21-27,20-14,6-6,18-21,0-1,6-7,7-10,7-7,6-4,7-10,8-2
19,Denver Nuggets,40-42,29-12,11-30,13-17,27-25,4-10,9-7,13-11,14-14,27-24,13-18,12-6,14-25,,8-8,8-7,10-5,4-9,5-10,5-3
20,Boston Celtics,36-46,20-21,16-25,24-30,12-16,11-13,13-17,5-9,7-7,22-27,14-19,10-7,11-20,,7-8,5-10,7-8,6-6,8-7,3-7
21,Detroit Pistons,32-50,18-23,14-27,25-29,7-21,9-17,16-12,3-11,4-10,19-31,13-19,2-3,16-17,1-0,5-9,7-9,4-11,4-7,5-10,6-4
22,Los Angeles Clippers,31-51,22-19,9-32,13-17,18-34,4-10,9-7,9-19,9-15,16-34,15-17,5-8,13-25,0-1,5-10,5-10,3-12,7-7,7-7,4-4
23,Cleveland Cavaliers,30-52,20-21,10-31,22-32,8-20,11-15,11-17,4-10,4-10,20-27,10-25,6-5,10-27,1-0,8-5,7-7,4-11,2-10,4-14,4-5
24,New Jersey Nets,26-56,18-23,8-33,16-38,10-18,8-16,8-22,5-9,5-9,17-34,9-22,7-9,11-32,0-1,6-8,3-12,5-12,6-6,5-11,1-6
25,Atlanta Hawks,25-57,18-23,7-34,16-38,9-19,7-19,9-19,2-12,7-7,16-33,9-24,5-4,10-25,0-1,3-12,7-7,6-8,2-12,5-11,2-6
26,Vancouver Grizzlies,23-59,15-26,8-33,12-18,11-41,6-8,6-10,2-22,9-19,13-36,10-23,3-11,13-37,1-0,5-9,2-13,4-11,6-8,3-11,2-7
27,Washington Wizards,19-63,12-29,7-34,13-41,6-22,3-21,10-20,2-12,4-10,12-37,7-26,3-7,4-31,0-1,4-11,2-13,6-10,1-10,5-10,1-8
28,Golden State Warriors,17-65,11-30,6-35,8-22,9-43,3-11,5-11,5-23,4-20,15-33,2-32,6-5,6-40,1-0,4-11,5-9,4-11,2-11,1-13,0-10
29,Chicago Bulls,15-67,10-31,5-36,13-41,2-26,9-17,4-24,2-12,0-14,6-42,9-25,3-4,3-37,0-1,2-12,3-12,1-13,3-9,3-13,3-7
