"Rk","Team","Overall","Home","Road","X3","X10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Season","Wins","Losses"
"14","Charlotte Hornets","46-36","28-13","18-23","7-8","23-11","1-0","9-6","10-5","5-10","7-5","8-6","6-4",NA,"2001","46","36"
"15","Houston Rockets","45-37","24-17","21-20","4-10","25-14","0-1","9-6","5-8","8-8","9-4","9-6","5-4",NA,"2001","45","37"
"16","Seattle SuperSonics","44-38","26-15","18-23","10-4","20-18","0-1","8-8","9-5","9-8","3-7","12-5","3-4",NA,"2001","44","38"
"17","Orlando Magic","43-39","26-15","17-24","7-7","21-17","1-0","4-11","9-5","7-7","9-3","9-7","4-6",NA,"2001","43","39"
"18","Indiana Pacers","41-41","26-15","15-26","6-6","18-21","0-1","6-7","7-10","7-7","6-4","7-10","8-2",NA,"2001","41","41"
"19","Denver Nuggets","40-42","29-12","11-30","12-6","14-25","","8-8","8-7","10-5","4-9","5-10","5-3",NA,"2001","40","42"
"20","Boston Celtics","36-46","20-21","16-25","10-7","11-20","","7-8","5-10","7-8","6-6","8-7","3-7",NA,"2001","36","46"
"21","Detroit Pistons","32-50","18-23","14-27","2-3","16-17","1-0","5-9","7-9","4-11","4-7","5-10","6-4",NA,"2001","32","50"
"22","Los Angeles Clippers","31-51","22-19","9-32","5-8","13-25","0-1","5-10","5-10","3-12","7-7","7-7","4-4",NA,"2001","31","51"
"23","Cleveland Cavaliers","30-52","20-21","10-31","6-5","10-27","1-0","8-5","7-7","4-11","2-10","4-14","4-5",NA,"2001","30","52"
"24","New Jersey Nets","26-56","18-23","8-33","7-9","11-32","0-1","6-8","3-12","5-12","6-6","5-11","1-6",NA,"2001","26","56"
"25","Atlanta Hawks","25-57","18-23","7-34","5-4","10-25","0-1","3-12","7-7","6-8","2-12","5-11","2-6",NA,"2001","25","57"
"26","Vancouver Grizzlies","23-59","15-26","8-33","3-11","13-37","1-0","5-9","2-13","4-11","6-8","3-11","2-7",NA,"2001","23","59"
"27","Washington Wizards","19-63","12-29","7-34","3-7","4-31","0-1","4-11","2-13","6-10","1-10","5-10","1-8",NA,"2001","19","63"
"28","Golden State Warriors","17-65","11-30","6-35","6-5","6-40","1-0","4-11","5-9","4-11","2-11","1-13","0-10",NA,"2001","17","65"
"29","Chicago Bulls","15-67","10-31","5-36","3-4","3-37","0-1","2-12","3-12","1-13","3-9","3-13","3-7",NA,"2001","15","67"
" 1","Sacramento Kings","61-21","36-5","25-16","6-1","39-15","1-0","12-4","10-5","11-1","7-5","12-4","8-2",NA,"2002","61","21"
" 2","Los Angeles Lakers","58-24","34-7","24-17","7-5","33-10","1-0","13-1","7-5","10-6","8-5","13-4","6-3",NA,"2002","58","24"
" 3","San Antonio Spurs","58-24","32-9","26-15","7-7","34-7","1-0","9-4","11-3","8-8","7-6","13-3","9-0",NA,"2002","58","24"
" 4","Dallas Mavericks","57-25","30-11","27-14","6-6","31-11","1-0","9-6","11-3","12-4","7-4","11-5","6-3",NA,"2002","57","25"
" 5","New Jersey Nets","52-30","33-8","19-22","9-6","26-14","2-0","8-5","9-5","11-4","8-4","9-9","5-3",NA,"2002","52","30"
" 6","Detroit Pistons","50-32","26-15","24-17","9-8","19-14","0-1","10-4","5-8","8-7","9-3","12-6","6-3",NA,"2002","50","32"
" 7","Minnesota Timberwolves","50-32","29-12","21-20","9-5","27-12","1-0","9-4","10-5","11-5","8-4","6-10","5-4",NA,"2002","50","32"
" 8","Boston Celtics","49-33","27-14","22-19","8-9","19-13","1-1","6-5","11-5","8-8","5-7","11-6","7-1",NA,"2002","49","33"
" 9","Portland Trail Blazers","49-33","30-11","19-22","5-9","20-17","1-1","8-6","4-9","11-4","9-4","11-5","5-4",NA,"2002","49","33"
"10","Seattle SuperSonics","45-37","26-15","19-22","6-8","30-15","0-1","8-9","8-5","7-7","9-4","11-5","2-6",NA,"2002","45","37"
"11","Charlotte Hornets","44-38","21-20","23-18","6-6","17-16","1-0","6-8","6-9","8-6","7-6","10-5","6-4",NA,"2002","44","38"
"12","Orlando Magic","44-38","27-14","17-24","4-3","23-19","1-0","6-9","8-8","8-6","8-3","9-7","4-5",NA,"2002","44","38"
"13","Utah Jazz","44-38","25-16","19-22","6-7","21-14","0-1","6-9","10-5","8-7","8-3","9-7","3-6",NA,"2002","44","38"
"14","Philadelphia 76ers","43-39","22-19","21-20","3-5","19-13","0-1","7-6","5-11","11-4","5-6","10-7","5-4",NA,"2002","43","39"
"15","Indiana Pacers","42-40","25-16","17-24","5-5","21-19","1-1","8-8","9-6","6-8","4-6","8-7","6-4",NA,"2002","42","40"
"16","Toronto Raptors","42-40","24-17","18-23","13-7","16-16","0-2","10-4","6-8","11-5","2-11","6-8","7-2",NA,"2002","42","40"
"17","Milwaukee Bucks","41-41","25-16","16-25","4-8","17-19","1-0","8-4","9-6","9-7","6-6","5-11","3-7",NA,"2002","41","41"
"18","Los Angeles Clippers","39-43","25-16","14-27","4-8","19-22","0-1","7-8","8-5","9-9","5-7","8-7","2-6",NA,"2002","39","43"
"19","Washington Wizards","37-45","22-19","15-26","7-6","14-17","0-1","5-9","11-4","6-7","5-8","7-10","3-6",NA,"2002","37","45"
"20","Miami Heat","36-46","18-23","18-23","10-5","14-14","1-0","1-13","4-10","10-5","8-4","8-8","4-6",NA,"2002","36","46"
"21","Phoenix Suns","36-46","23-18","13-28","9-7","17-19","0-1","10-6","8-6","4-10","6-7","6-9","2-7",NA,"2002","36","46"
"22","Atlanta Hawks","33-49","23-18","10-31","9-8","8-26","0-1","6-10","5-8","3-12","6-6","9-7","4-5",NA,"2002","33","49"
"23","New York Knicks","30-52","19-22","11-30","7-10","7-24","1-0","7-8","5-9","5-8","2-10","7-10","3-7",NA,"2002","30","52"
"24","Cleveland Cavaliers","29-53","20-21","9-32","2-8","15-25","0-2","5-9","7-7","2-13","7-5","4-12","4-5",NA,"2002","29","53"
"25","Houston Rockets","28-54","18-23","10-31","10-15","5-20","1-0","6-9","2-13","6-9","5-5","6-10","2-8",NA,"2002","28","54"
"26","Denver Nuggets","27-55","20-21","7-34","11-8","9-30","1-0","6-9","3-10","3-11","3-8","6-12","5-5",NA,"2002","27","55"
"27","Memphis Grizzlies","23-59","15-26","8-33","7-6","6-35","","3-12","6-9","4-11","2-10","4-11","4-6",NA,"2002","23","59"
"28","Chicago Bulls","21-61","14-27","7-34","8-4","3-37","0-1","2-11","4-11","3-12","6-7","2-14","4-5",NA,"2002","21","61"
"29","Golden State Warriors","21-61","14-27","7-34","1-8","11-27","0-1","7-8","5-9","2-11","2-10","2-16","3-6",NA,"2002","21","61"
" 1","Dallas Mavericks","60-22","33-8","27-14","6-7","36-6","1-0","14-1","10-4","11-4","8-5","11-4","5-4",NA,"2003","60","22"
" 2","San Antonio Spurs","60-22","33-8","27-14","12-5","26-6","1-1","10-6","8-6","11-3","9-1","14-3","7-2",NA,"2003","60","22"
" 3","Sacramento Kings","59-23","35-6","24-17","11-2","31-11","2-0","11-5","10-4","10-6","8-3","11-4","7-1",NA,"2003","59","23"
" 4","Minnesota Timberwolves","51-31","33-8","18-23","5-3","21-15","1-0","8-8","8-6","10-6","12-1","7-8","5-2",NA,"2003","51","31"
" 5","Detroit Pistons","50-32","30-11","20-21","10-9","27-11","1-0","11-5","8-5","10-5","7-6","9-5","4-6",NA,"2003","50","32"
" 6","Los Angeles Lakers","50-32","31-10","19-22","8-5","26-14","0-2","6-9","7-8","8-4","11-3","11-5","7-1",NA,"2003","50","32"
" 7","Portland Trail Blazers","50-32","27-14","23-18","8-7","25-12","1-1","6-7","11-4","11-4","9-4","7-7","5-5",NA,"2003","50","32"
" 8","New Jersey Nets","49-33","33-8","16-25","2-7","31-8","1-0","10-6","12-3","9-5","6-7","8-7","3-5",NA,"2003","49","33"
" 9","Indiana Pacers","48-34","32-9","16-25","9-7","23-14","1-0","12-2","10-6","10-6","5-7","5-9","5-4",NA,"2003","48","34"
"10","Philadelphia 76ers","48-34","25-16","23-18","8-6","20-12","1-1","13-3","5-8","6-10","8-2","11-5","4-5",NA,"2003","48","34"
"11","New Orleans Hornets","47-35","29-12","18-23","7-7","19-11","1-0","10-5","7-10","6-8","9-4","8-6","6-2",NA,"2003","47","35"
"12","Utah Jazz","47-35","29-12","18-23","6-8","28-17","0-2","9-6","8-5","11-5","5-7","10-5","4-5",NA,"2003","47","35"
"13","Boston Celtics","44-38","25-16","19-22","6-7","18-19","0-2","10-3","9-7","7-8","7-5","7-9","4-4",NA,"2003","44","38"
"14","Phoenix Suns","44-38","30-11","14-27","7-8","16-16","0-1","8-6","11-5","8-9","4-6","7-8","6-3",NA,"2003","44","38"
"15","Houston Rockets","43-39","28-13","15-26","3-10","24-17","0-1","9-5","8-7","8-7","5-8","8-8","5-3",NA,"2003","43","39"
"16","Milwaukee Bucks","42-40","25-16","17-24","6-9","13-15","0-1","8-7","5-10","10-4","5-8","8-9","6-1",NA,"2003","42","40"
"17","Orlando Magic","42-40","26-15","16-25","8-9","19-16","2-0","8-7","8-8","6-9","5-6","10-5","3-5",NA,"2003","42","40"
"18","Seattle SuperSonics","40-42","25-16","15-26","7-10","15-17","1-0","8-8","7-7","4-9","6-7","9-6","5-5",NA,"2003","40","42"
"19","Golden State Warriors","38-44","24-17","14-27","3-6","13-19","1-0","5-11","6-7","8-7","8-5","8-8","2-6",NA,"2003","38","44"
"20","New York Knicks","37-45","24-17","13-28","9-11","8-14","0-1","4-9","6-7","10-8","5-8","7-9","5-3",NA,"2003","37","45"
"21","Washington Wizards","37-45","23-18","14-27","10-6","11-18","1-1","5-9","8-7","8-8","6-4","6-10","3-6",NA,"2003","37","45"
"22","Atlanta Hawks","35-47","26-15","9-32","10-8","11-28","1-1","7-8","4-9","6-11","4-8","7-8","6-2",NA,"2003","35","47"
"23","Chicago Bulls","30-52","27-14","3-38","6-5","12-34","1-0","3-12","7-8","6-9","4-10","5-9","4-4",NA,"2003","30","52"
"24","Memphis Grizzlies","28-54","20-21","8-33","5-7","14-23","0-1","2-13","7-8","4-10","5-7","8-9","2-6",NA,"2003","28","54"
"25","Los Angeles Clippers","27-55","16-25","11-30","9-7","9-24","0-1","6-10","6-8","5-10","2-9","4-12","4-5",NA,"2003","27","55"
"26","Miami Heat","25-57","16-25","9-32","4-6","12-27","0-1","4-11","7-7","5-11","3-9","4-13","2-5",NA,"2003","25","57"
"27","Toronto Raptors","24-58","15-26","9-32","7-7","6-30","1-0","4-10","3-13","4-11","5-4","6-11","1-9",NA,"2003","24","58"
"28","Cleveland Cavaliers","17-65","14-27","3-38","6-5","6-38","1-1","1-15","4-11","3-11","2-9","3-12","3-6",NA,"2003","17","65"
"29","Denver Nuggets","17-65","13-28","4-37","4-8","9-37","0-1","5-10","1-13","4-11","2-12","5-10","0-8",NA,"2003","17","65"
" 1","Indiana Pacers","61-21","34-7","27-14","7-6","30-8","1-1","13-2","9-7","12-3","8-3","12-4","6-1",NA,"2004","61","21"
" 2","Minnesota Timberwolves","58-24","31-10","27-14","6-6","34-6","1-1","8-7","11-2","12-3","11-4","9-7","6-0",NA,"2004","58","24"
" 3","San Antonio Spurs","57-25","33-8","24-17","6-8","38-5","1-1","8-7","13-2","9-8","8-2","11-5","7-0",NA,"2004","57","25"
" 4","Los Angeles Lakers","56-26","34-7","22-19","14-5","24-16","1-0","13-3","7-4","6-9","11-4","13-3","5-3",NA,"2004","56","26"
" 5","Sacramento Kings","55-27","34-7","21-20","5-4","29-9","2-0","10-4","9-4","12-4","10-3","9-7","3-5",NA,"2004","55","27"
