"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
"  2","Shareef Abdur-Rahim","SF",23,"VAN",82,82,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3,3,20.3,"2000",FALSE,0,0,22
"  4","Ray Allen","SG",24,"MIL",82,82,37.4,7.8,17.2,0.455,2.1,5,0.423,5.7,12.2,0.468,0.516,4.3,4.9,0.887,1,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,"2000",FALSE,0,0,42
"  6","John Amaechi","C",29,"ORL",80,53,21.1,3.8,8.8,0.437,0,0.1,0.167,3.8,8.7,0.439,0.438,2.8,3.6,0.766,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2,10.5,"2000",FALSE,0,0,41
"  7","Derek Anderson","SG",25,"LAC",64,58,34.4,5.9,13.4,0.438,0.9,2.8,0.309,5,10.7,0.472,0.47,4.2,4.8,0.877,1.3,2.8,4,3.4,1.4,0.2,2.6,2.3,16.9,"2000",FALSE,0,0,15
"  8","Kenny Anderson","PG",29,"BOS",82,82,31.6,5.3,12,0.44,1,2.7,0.386,4.3,9.3,0.456,0.483,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14,"2000",FALSE,0,0,35
"  9","Nick Anderson","SG",32,"SAC",72,72,29.1,4.3,10.9,0.391,1.8,5.5,0.332,2.4,5.3,0.452,0.476,0.5,1.1,0.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,"2000",FALSE,0,0,44
" 10","Shandon Anderson","SF",26,"HOU",82,82,32.9,4.5,9.5,0.473,1,2.7,0.351,3.5,6.7,0.523,0.524,2.4,3.1,0.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3,"2000",FALSE,0,0,34
" 11","Chris Anstey","C",25,"CHI",73,11,13.8,2.2,5,0.442,0,0.1,0.167,2.2,4.9,0.447,0.444,1.6,2,0.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6,"2000",FALSE,0,0,17
" 12","Greg Anthony","PG",32,"POR",82,3,18.9,2.1,5.1,0.406,1.1,2.8,0.378,1,2.2,0.443,0.512,1.1,1.4,0.772,0.2,1.4,1.6,2.5,0.7,0.1,1,1.7,6.3,"2000",FALSE,0,0,59
" 14","Darrell Armstrong","PG",31,"ORL",82,82,31.6,5.9,13.6,0.433,1.7,4.9,0.34,4.2,8.7,0.485,0.494,2.7,3,0.911,0.8,2.5,3.3,6.1,2.1,0.1,3,1.7,16.2,"2000",FALSE,0,0.001,41
