"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
" 52","Kwame Brown","C",20,"WAS",80,20,22.2,2.8,6.3,0.446,0,0,0,2.8,6.2,0.449,0.446,1.8,2.7,0.668,1.6,3.7,5.3,0.7,0.6,1,1.4,2,7.4,"2003",FALSE,0,0,37
" 53","P.J. Brown","PF",33,"NOH",78,78,33.4,4.1,7.7,0.531,0,0,0,4.1,7.7,0.533,0.531,2.5,3,0.836,3.1,5.9,9,1.9,0.9,1,1.3,2.6,10.7,"2003",FALSE,0,0,47
" 57","Kobe Bryant","SG",24,"LAL",82,82,41.5,10.6,23.5,0.451,1.5,4,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30,"2003",FALSE,8,0.417,50
" 59","Greg Buckner","SG",26,"PHI",75,5,20.2,2.5,5.3,0.465,0.2,0.7,0.273,2.3,4.6,0.496,0.484,0.9,1.1,0.802,1,1.9,2.9,1.3,1,0.2,0.8,2.7,6,"2003",FALSE,0,0,48
" 60","Pat Burke","C",29,"ORL",62,8,12.6,1.8,4.8,0.382,0,0.1,0.143,1.8,4.7,0.388,0.383,0.6,0.9,0.69,0.9,1.4,2.4,0.4,0.3,0.4,0.8,1.6,4.3,"2003",FALSE,0,0,42
" 61","Caron Butler","SF",22,"MIA",78,78,36.6,5.5,13.2,0.416,0.4,1.4,0.318,5.1,11.9,0.427,0.432,4,4.8,0.824,1.7,3.4,5.1,2.7,1.8,0.4,2.5,2.9,15.4,"2003",FALSE,0,0,25
" 62","Rasual Butler","SG",23,"MIA",72,28,21,2.9,7.9,0.362,0.7,2.4,0.292,2.2,5.6,0.392,0.406,1.1,1.4,0.731,0.4,2.2,2.6,1.3,0.3,0.6,1.1,1.5,7.5,"2003",FALSE,0,0,25
" 67","Anthony Carter","PG",27,"MIA",49,26,18.6,1.7,4.8,0.356,0,0.2,0,1.7,4.6,0.369,0.356,0.7,1,0.66,0.2,1.4,1.7,4.1,0.9,0.1,1.7,1.4,4.1,"2003",FALSE,0,0,25
" 68","Vince Carter","SG",26,"TOR",43,42,34.2,8.3,17.7,0.467,1,3,0.344,7.2,14.6,0.493,0.497,3,3.7,0.806,1.4,3,4.4,3.3,1.1,1,1.7,2.8,20.6,"2003",FALSE,0,0,24
" 69","Sam Cassell","PG",33,"MIL",78,77,34.6,7,14.9,0.47,0.8,2.1,0.362,6.2,12.8,0.487,0.495,4.9,5.7,0.861,0.7,3.7,4.4,5.8,1.1,0.2,2.3,2.8,19.7,"2003",FALSE,0,0,42
" 70","Kelvin Cato","C",28,"HOU",73,5,17.1,1.8,3.5,0.52,0,0.1,0,1.8,3.5,0.528,0.52,0.9,1.7,0.532,1.8,4.1,5.9,0.3,0.5,1.2,0.8,2.4,4.5,"2003",FALSE,0,0,43
" 72","Calbert Cheaney","SG",31,"UTA",81,74,29,4,8,0.499,0.1,0.3,0.4,3.9,7.7,0.503,0.507,0.5,0.9,0.58,0.9,2.6,3.5,2,0.8,0.2,1.3,2.8,8.6,"2003",FALSE,0,0,47
" 74","Doug Christie","SG",32,"SAC",80,80,33.9,3.3,7,0.479,0.9,2.3,0.395,2.4,4.7,0.522,0.545,1.8,2.2,0.81,0.8,3.5,4.3,4.7,2.3,0.5,1.8,2.3,9.4,"2003",FALSE,0,0,59
" 75","Keon Clark","C",27,"SAC",80,11,22.3,2.8,5.6,0.501,0,0.1,0,2.8,5.6,0.506,0.501,1.1,1.6,0.656,1.7,3.9,5.6,1,0.5,1.9,1.2,2.8,6.7,"2003",FALSE,0,0,59
" 78","Derrick Coleman","C",35,"PHI",64,35,27.2,3.5,7.8,0.448,0.3,1,0.328,3.1,6.7,0.466,0.47,2.1,2.7,0.784,2.4,4.7,7,1.4,0.8,1.1,1.5,2.7,9.4,"2003",FALSE,0,0,48
" 82","Jason Collins","C",24,"NJN",81,66,23.5,1.7,4.2,0.414,0,0,0,1.7,4.1,0.419,0.414,2.2,2.9,0.763,1.7,2.9,4.5,1.1,0.6,0.5,1,3.1,5.7,"2003",FALSE,0,0,49
" 84","Jamal Crawford","PG",22,"CHI",80,31,24.9,4.2,10.1,0.413,1.1,3,0.355,3.1,7.1,0.438,0.467,1.3,1.6,0.806,0.3,2.1,2.3,4.2,1,0.3,1.7,1.6,10.7,"2003",FALSE,0,0,30
" 85","Austin Croshere","PF",27,"IND",49,0,12.9,1.8,4.3,0.411,0.6,1.4,0.391,1.2,2.9,0.421,0.476,1.1,1.3,0.815,0.8,2.3,3.2,1.1,0.1,0.3,0.6,1,5.1,"2003",FALSE,0,0,48
" 88","Michael Curry","SF",34,"DET",78,77,19.9,1.2,2.9,0.402,0.2,0.7,0.296,1,2.2,0.434,0.437,0.5,0.6,0.8,0.2,1.4,1.6,1.3,0.6,0.1,0.6,2.1,3,"2003",FALSE,0,0,50
" 89","Erick Dampier","C",27,"GSW",82,82,24.1,3.2,6.4,0.496,0,0,0,3.2,6.3,0.498,0.496,1.9,2.7,0.698,3,3.6,6.6,0.7,0.3,1.9,1.4,3,8.2,"2003",FALSE,0,0,38
" 90","Antonio Daniels","SG",27,"POR",67,2,13,1.3,2.8,0.452,0.3,0.9,0.305,1,1.9,0.52,0.5,1,1.1,0.855,0.2,0.9,1.1,1.3,0.5,0.1,0.5,0.6,3.7,"2003",FALSE,0,0,50
" 92","Baron Davis","PG",23,"NOH",50,47,37.8,6.6,16,0.416,2,5.7,0.35,4.7,10.3,0.452,0.478,1.9,2.6,0.71,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3,17.1,"2003",FALSE,0,0,47
" 95","Hubert Davis","SG",32,"DET",43,1,7.6,0.7,1.8,0.392,0.3,0.8,0.333,0.4,1,0.442,0.468,0.1,0.1,0.833,0.1,0.7,0.8,0.7,0.1,0,0.3,0.5,1.8,"2003",FALSE,0,0,50
" 96","Ricky Davis","SG",23,"CLE",79,76,39.6,7.6,18.6,0.41,0.9,2.6,0.363,6.7,16,0.417,0.435,4.4,5.9,0.748,1.2,3.7,4.9,5.5,1.6,0.5,3.5,2.3,20.6,"2003",FALSE,0,0,17
" 98","Tony Delk","PG",29,"BOS",67,39,28,3.5,8.4,0.416,1.8,4.5,0.395,1.7,3.8,0.441,0.523,1,1.3,0.782,0.6,2.9,3.5,2.2,1.1,0.1,1,1.9,9.8,"2003",FALSE,0,0,44
" 99","Dan Dickau","PG",24,"ATL",50,0,10.3,1.4,3.4,0.412,0.4,1.2,0.361,1,2.2,0.44,0.476,0.4,0.5,0.808,0.2,0.7,0.9,1.7,0.3,0,1.1,1.3,3.7,"2003",FALSE,0,0,35
"102","Vlade Divac","C",34,"SAC",80,80,29.8,3.8,8.2,0.466,0.1,0.3,0.24,3.7,7.9,0.475,0.47,2.2,3.1,0.713,2,5.2,7.2,3.4,1,1.3,1.9,3,9.9,"2003",FALSE,0,0,59
"103","Juan Dixon","PG",24,"WAS",42,3,15.4,2.5,6.5,0.384,0.6,2,0.298,1.9,4.5,0.422,0.43,0.9,1.1,0.804,0.3,1.4,1.7,1,0.6,0.1,1,1.3,6.4,"2003",FALSE,0,0,37
"105","Keyon Dooling","SG",22,"LAC",55,1,17.6,2.3,6,0.389,0.9,2.5,0.36,1.4,3.5,0.411,0.465,0.8,1,0.772,0.2,1.1,1.3,1.6,0.4,0.1,1.1,1.7,6.4,"2003",FALSE,0,0,27
"107","Predrag Drobnjak","C",27,"SEA",82,69,24.2,4,9.6,0.412,0.4,1,0.353,3.6,8.6,0.419,0.431,1.1,1.4,0.791,1.4,2.5,3.9,1,0.6,0.5,0.8,2.2,9.4,"2003",FALSE,0,0,40
"109","Tim Duncan","PF",26,"SAS",81,81,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,"2003",TRUE,60,0.808,60
"110","Mike Dunleavy","SF",22,"GSW",82,3,15.9,2,5.1,0.403,0.6,1.8,0.347,1.4,3.3,0.434,0.465,1,1.2,0.78,0.8,1.8,2.6,1.3,0.6,0.2,1,1.5,5.7,"2003",FALSE,0,0,38
"111","Howard Eisley","PG",30,"NYK",82,76,27.4,3.2,7.7,0.417,1.6,4.1,0.389,1.6,3.5,0.45,0.521,1.1,1.3,0.848,0.3,2,2.3,5.4,0.9,0.1,1.8,2.7,9.1,"2003",FALSE,0,0,37
"112","LaPhonso Ellis","PF",32,"MIA",55,3,14.3,1.8,4.8,0.382,0.5,1.9,0.252,1.3,2.8,0.471,0.433,0.9,1.2,0.758,0.8,2.1,2.9,0.3,0.3,0.3,0.6,1.6,5,"2003",FALSE,0,0,25
"116","Danny Ferry","SF",36,"SAS",64,1,9.4,0.7,1.9,0.355,0.3,0.9,0.35,0.4,1,0.359,0.44,0.2,0.2,0.769,0.3,0.9,1.2,0.3,0.1,0.1,0.4,0.9,1.9,"2003",FALSE,0,0,60
"117","Michael Finley","SF",29,"DAL",69,69,38.3,7.3,17.3,0.425,1.7,4.7,0.37,5.6,12.6,0.445,0.475,2.9,3.3,0.861,1.6,4.3,5.8,3,1.1,0.3,1.7,1.5,19.3,"2003",FALSE,0,0,60
"118","Derek Fisher","PG",28,"LAL",82,82,34.5,4.1,9.5,0.437,1,2.6,0.401,3.1,6.9,0.451,0.492,1.2,1.5,0.8,0.5,2.4,2.9,3.6,1.1,0.2,1.1,2.4,10.5,"2003",FALSE,0,0,50
"124","Jeff Foster","C",26,"IND",77,2,10.4,0.8,2.3,0.36,0,0,0,0.8,2.3,0.364,0.36,0.4,0.8,0.54,1.5,2.1,3.6,0.7,0.4,0.3,0.4,1.3,2.1,"2003",FALSE,0,0,48
"126","Rick Fox","SF",33,"LAL",76,75,28.7,3.4,8.2,0.422,1.4,3.7,0.375,2.1,4.5,0.46,0.506,0.7,0.9,0.754,0.8,3.4,4.3,3.3,0.9,0.2,1.6,2.8,9,"2003",FALSE,0,0,50
"127","Adonal Foyle","C",27,"GSW",82,0,21.8,2.3,4.2,0.536,0,0,0,2.3,4.2,0.538,0.536,0.9,1.3,0.673,2.1,3.8,6,0.5,0.5,2.5,0.9,2.6,5.4,"2003",FALSE,0,0,38
"128","Steve Francis","PG",25,"HOU",81,81,41,7,16.2,0.435,1,3,0.354,6,13.2,0.453,0.468,5.9,7.3,0.8,2,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21,"2003",FALSE,0,0,43
"130","Dan Gadzuric","C",24,"MIL",49,30,15.5,1.4,3,0.483,0,0,0,1.4,2.9,0.486,0.483,0.6,1.1,0.518,1.3,2.7,4,0.2,0.4,1.1,0.6,2.6,3.4,"2003",FALSE,0,0,42
"131","Kevin Garnett","PF",26,"MIN",82,82,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3,10.5,13.4,6,1.4,1.6,2.8,2.4,23,"2003",FALSE,43,0.732,51
"132","Pat Garrity","PF",26,"ORL",81,53,31.9,3.9,9.2,0.419,2,5,0.396,1.9,4.2,0.448,0.528,1,1.2,0.83,0.9,2.9,3.8,1.5,0.8,0.2,1,3.1,10.7,"2003",FALSE,0,0,42
"133","Pau Gasol","PF",22,"MEM",82,82,36,6.9,13.6,0.51,0,0.1,0.1,6.9,13.5,0.514,0.51,5.1,6.9,0.736,2.3,6.4,8.8,2.8,0.4,1.8,2.6,2.7,19,"2003",FALSE,0,0,28
"134","Devean George","SF",25,"LAL",71,7,22.7,2.5,6.5,0.39,0.7,1.9,0.371,1.8,4.6,0.398,0.444,1.2,1.5,0.79,1.3,2.7,4,1.3,0.8,0.5,0.9,2.5,6.9,"2003",FALSE,0,0,50
"135","Kendall Gill","SG",34,"MIN",82,34,25.2,3.5,8.3,0.422,0.2,0.7,0.322,3.3,7.5,0.432,0.436,1.5,2,0.764,0.6,2.4,3,1.9,1,0.2,1.3,2.1,8.7,"2003",FALSE,0,0,51
"136","Manu Ginobili","SG",25,"SAS",69,5,20.7,2.5,5.8,0.438,0.7,2.1,0.345,1.8,3.6,0.494,0.503,1.8,2.5,0.737,0.7,1.7,2.3,2,1.4,0.2,1.4,2.5,7.6,"2003",FALSE,0,0,60
"138","Dion Glover","SG",24,"ATL",76,42,24.9,3.6,8.5,0.427,0.7,2.1,0.354,2.9,6.4,0.451,0.471,1.7,2.1,0.784,0.8,2.9,3.7,1.9,0.9,0.2,1.4,1.9,9.7,"2003",FALSE,0,0,35
"143","Adrian Griffin","SG",28,"DAL",74,48,18.6,2,4.6,0.433,0.1,0.3,0.25,1.9,4.2,0.447,0.442,0.4,0.4,0.844,1.2,2.4,3.6,1.4,1,0.1,0.6,2.1,4.4,"2003",FALSE,0,0,60
"144","Eddie Griffin","PF",20,"HOU",77,66,24.5,3.5,8.8,0.4,0.8,2.5,0.333,2.7,6.3,0.426,0.447,0.8,1.2,0.617,1.8,4.2,6,1.1,0.7,1.4,1,1.8,8.6,"2003",FALSE,0,0,43
"148","Darvin Ham","SG",29,"ATL",75,1,12.3,0.9,2.1,0.447,0,0,0,0.9,2.1,0.455,0.447,0.5,1.1,0.481,1,1.1,2,0.5,0.2,0.3,0.9,1.7,2.4,"2003",FALSE,0,0,35
"149","Richard Hamilton","SG",24,"DET",82,82,32.2,7,15.7,0.443,0.4,1.5,0.269,6.6,14.2,0.461,0.456,5.4,6.4,0.833,1.1,2.8,3.9,2.5,0.8,0.2,2.4,3,19.7,"2003",FALSE,0,0,50
"151","Anfernee Hardaway","SG",31,"PHO",58,51,30.6,4.4,9.9,0.447,0.4,1.3,0.356,4,8.6,0.46,0.469,1.3,1.7,0.794,1.1,3.3,4.4,4.1,1.1,0.4,2.5,2.6,10.6,"2003",FALSE,0,0,44
"153","Matt Harpring","SF",26,"UTA",78,69,32.8,6.7,13.1,0.511,0.8,2.1,0.413,5.8,11,0.529,0.543,3.4,4.2,0.792,2.4,4.2,6.6,1.7,0.9,0.2,2.1,2.8,17.6,"2003",FALSE,0,0,47
"155","Al Harrington","SF",22,"IND",82,37,30.1,4.7,10.9,0.434,0.2,0.6,0.283,4.6,10.4,0.442,0.441,2.6,3.3,0.77,1.9,4.3,6.2,1.5,0.9,0.4,2,3.4,12.2,"2003",FALSE,0,0,48
"156","Junior Harrington","PG",22,"DEN",82,51,24.4,2.1,5.7,0.362,0.1,0.3,0.25,2,5.4,0.369,0.369,0.9,1.4,0.652,0.5,2.5,3,3.4,1,0.2,1.9,3,5.1,"2003",FALSE,0,0,17
"158","Lucious Harris","SG",32,"NJN",77,25,25.6,3.9,9.4,0.413,0.6,1.8,0.346,3.3,7.6,0.429,0.446,2,2.5,0.804,0.8,2.2,3,2,0.7,0.1,0.9,1.2,10.3,"2003",FALSE,0,0,49
"160","Donnell Harvey","SF",22,"DEN",77,27,20.9,3.2,7.2,0.446,0,0.1,0.143,3.2,7.1,0.45,0.447,1.5,2.3,0.67,1.6,3.7,5.3,1.3,0.6,0.4,1.6,2.6,7.9,"2003",FALSE,0,0,17
"161","Trenton Hassell","SG",23,"CHI",82,53,24.4,1.8,4.8,0.367,0.2,0.5,0.325,1.6,4.3,0.372,0.384,0.5,0.7,0.745,0.5,2.7,3.1,1.8,0.5,0.7,1,2.4,4.2,"2003",FALSE,0,0,30
"163","Juaquin Hawkins","SG",29,"HOU",58,10,11.8,1,2.6,0.385,0.2,0.4,0.417,0.8,2.1,0.379,0.419,0.2,0.3,0.5,0.3,1.1,1.3,0.8,0.5,0.1,0.5,1,2.3,"2003",FALSE,0,0,43
"165","Alan Henderson","C",30,"ATL",82,3,18.2,1.9,4,0.468,0,0,0,1.9,4,0.471,0.468,1.1,1.7,0.638,1.9,3,4.9,0.5,0.4,0.4,0.7,2,4.8,"2003",FALSE,0,0,35
"166","Nene Hilario","C",20,"DEN",80,53,28.2,4,7.7,0.519,0,0,0,4,7.7,0.521,0.519,2.5,4.3,0.578,2.6,3.5,6.1,1.9,1.6,0.8,2.3,3.7,10.5,"2003",FALSE,0,0,17
"169","Fred Hoiberg","SG",30,"CHI",63,0,12.4,0.8,2,0.389,0.1,0.3,0.238,0.7,1.7,0.419,0.409,0.7,0.8,0.82,0.2,2,2.2,1.1,0.6,0.1,0.4,0.9,2.3,"2003",FALSE,0,0,30
"170","Robert Horry","PF",32,"LAL",80,26,29.3,2.3,6,0.387,0.6,2.2,0.288,1.7,3.7,0.445,0.44,1.3,1.7,0.769,2.3,4.2,6.4,2.9,1.2,0.8,1.4,3.1,6.5,"2003",FALSE,0,0,50
"171","Eddie House","SG",24,"MIA",55,7,18.6,3.1,8.1,0.387,0.7,2.2,0.3,2.5,5.9,0.42,0.428,0.6,0.7,0.861,0.3,1.5,1.8,1.6,0.8,0,0.8,1.3,7.5,"2003",FALSE,0,0,25
"172","Allan Houston","SG",31,"NYK",82,82,37.9,8,17.9,0.445,2.2,5.5,0.396,5.8,12.4,0.467,0.506,4.4,4.8,0.919,0.3,2.5,2.8,2.7,0.7,0.1,2.2,2.3,22.5,"2003",FALSE,0,0,37
"173","Juwan Howard","PF",29,"DEN",77,77,35.5,7.4,16.4,0.45,0,0.1,0.5,7.3,16.3,0.449,0.45,3.7,4.6,0.803,2.4,5.2,7.6,3,1,0.4,2.5,3.1,18.4,"2003",FALSE,0,0,17
"174","Troy Hudson","PG",26,"MIN",79,74,32.9,5.2,12.1,0.428,1.2,3.4,0.365,3.9,8.7,0.452,0.479,2.6,2.9,0.9,0.5,1.8,2.3,5.7,0.8,0.1,2.3,2,14.2,"2003",FALSE,0,0,51
"176","Larry Hughes","PG",24,"WAS",67,56,31.9,5.2,11.1,0.467,0.4,1.2,0.367,4.7,9.9,0.479,0.487,2,2.8,0.731,1,3.6,4.6,3.1,1.3,0.4,2,2.2,12.8,"2003",FALSE,0,0,37
"180","Zydrunas Ilgauskas","C",27,"CLE",81,81,30,6.1,13.9,0.441,0,0.1,0,6.1,13.8,0.443,0.441,4.9,6.3,0.781,3,4.6,7.5,1.6,0.7,1.9,2.6,3.4,17.2,"2003",FALSE,0,0,17
"181","Allen Iverson","SG",27,"PHI",82,82,42.5,9.8,23.7,0.414,1,3.7,0.277,8.8,20,0.44,0.436,7,9,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,"2003",FALSE,0,0.07,48
"182","Bobby Jackson","PG",29,"SAC",59,26,28.4,5.8,12.4,0.464,1.5,4,0.379,4.3,8.4,0.505,0.525,2.1,2.5,0.846,1,2.7,3.7,3.1,1.2,0.1,1.8,2.1,15.2,"2003",FALSE,0,0,59
"184","Jim Jackson","SF",32,"SAC",63,0,20.8,3.2,7.3,0.442,0.5,1.1,0.451,2.7,6.2,0.44,0.476,0.7,0.9,0.855,1.3,2.8,4.2,1.9,0.5,0.1,1.3,2.1,7.7,"2003",FALSE,0,0,59
"185","Marc Jackson","C",28,"MIN",77,0,13.5,2,4.5,0.438,0,0,1,2,4.5,0.437,0.44,1.5,1.9,0.765,1.1,1.8,2.9,0.5,0.3,0.4,0.8,1.8,5.5,"2003",FALSE,0,0,51
"186","Mark Jackson","PG",37,"UTA",82,0,17.9,1.8,4.5,0.398,0.3,1.2,0.284,1.5,3.3,0.438,0.435,0.7,1,0.763,0.4,1.7,2.1,4.6,0.6,0,1.9,1.1,4.7,"2003",FALSE,0,0,47
"187","Stephen Jackson","SG",24,"SAS",80,58,28.2,4.5,10.2,0.435,1.2,3.7,0.32,3.3,6.5,0.501,0.493,1.7,2.3,0.76,0.8,2.8,3.6,2.3,1.6,0.4,2.2,2.5,11.8,"2003",FALSE,0,0,60
"188","Casey Jacobsen","SF",21,"PHO",72,0,15.9,1.7,4.5,0.373,0.7,2.3,0.315,1,2.3,0.432,0.453,1,1.5,0.686,0.4,0.8,1.2,1,0.5,0.1,0.8,1.3,5.1,"2003",FALSE,0,0,44
"190","Mike James","PG",27,"MIA",78,8,22.1,2.8,7.5,0.373,0.9,2.9,0.294,1.9,4.6,0.423,0.43,1.3,1.8,0.732,0.3,1.6,1.9,3.2,0.8,0.1,1.4,2.3,7.8,"2003",FALSE,0,0,25
"191","Antawn Jamison","SF",26,"GSW",82,82,39.3,8.4,17.9,0.47,0.8,2.5,0.311,7.6,15.4,0.496,0.492,4.6,5.8,0.789,2.4,4.7,7,1.9,0.9,0.5,2.2,2.4,22.2,"2003",FALSE,0,0,38
"192","Marko Jaric","SF",24,"LAC",66,12,20.9,2.7,6.8,0.401,0.8,2.5,0.319,1.9,4.2,0.45,0.461,1.2,1.6,0.752,0.5,1.9,2.4,2.9,1.5,0.2,1.6,1.9,7.4,"2003",FALSE,0,0,27
"193","Chris Jefferies","SF",22,"TOR",51,10,13.1,1.5,3.8,0.387,0.4,1.1,0.333,1.1,2.7,0.407,0.433,0.6,0.8,0.674,0.3,0.8,1.2,0.4,0.4,0.3,0.9,1.1,3.9,"2003",FALSE,0,0,24
"194","Richard Jefferson","SF",22,"NJN",80,80,36,5.7,11.4,0.501,0.1,0.3,0.25,5.6,11.1,0.507,0.504,4.1,5.5,0.743,1.9,4.6,6.4,2.5,1,0.6,2,2.7,15.5,"2003",FALSE,0,0,49
"196","Anthony Johnson","PG",28,"NJN",66,2,12.8,1.6,3.5,0.446,0.2,0.5,0.371,1.4,3,0.459,0.474,0.8,1.1,0.689,0.2,1,1.2,1.3,0.6,0.1,0.6,1.4,4.1,"2003",FALSE,0,0,49
"197","Avery Johnson","PG",37,"DAL",48,0,9,1.3,3.1,0.42,0,0,0,1.3,3.1,0.426,0.42,0.6,0.8,0.769,0.2,0.4,0.6,1.3,0.3,0,0.6,0.5,3.3,"2003",FALSE,0,0,60
"199","Joe Johnson","SG",21,"PHO",82,34,27.5,3.9,9.7,0.397,0.9,2.5,0.366,2.9,7.2,0.408,0.444,1.2,1.5,0.774,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8,"2003",FALSE,0,0,44
"201","Damon Jones","PG",26,"SAC",49,1,14.5,1.6,4.3,0.381,0.9,2.5,0.364,0.7,1.8,0.404,0.486,0.4,0.6,0.741,0.2,1.2,1.4,1.6,0.4,0.1,0.5,0.9,4.6,"2003",FALSE,0,0,59
"202","Eddie Jones","SG",31,"MIA",47,47,38.1,6.2,14.6,0.423,2.1,5.1,0.407,4.1,9.5,0.432,0.494,4,4.9,0.822,0.7,4.1,4.8,3.7,1.4,0.7,1.8,2.9,18.5,"2003",FALSE,0,0,25
"204","Jumaine Jones","SF",23,"CLE",80,12,27.6,3.9,8.9,0.434,1.4,3.9,0.354,2.5,5,0.497,0.512,0.7,1,0.687,1.3,3.7,5.1,1.4,0.8,0.3,1.3,2.2,9.8,"2003",FALSE,0,0,17
"206","Michael Jordan","SF",39,"WAS",82,67,37,8.3,18.6,0.445,0.2,0.7,0.291,8.1,18,0.45,0.45,3.2,4,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20,"2003",FALSE,0,0,37
"207","Shawn Kemp","C",33,"ORL",79,55,20.7,2.7,6.4,0.418,0,0,0,2.7,6.4,0.419,0.418,1.5,2,0.742,1.9,3.8,5.7,0.7,0.8,0.4,1.3,3,6.8,"2003",FALSE,0,0,42
"208","Steve Kerr","PG",37,"SAS",75,0,12.7,1.5,3.4,0.43,0.7,1.7,0.395,0.8,1.8,0.462,0.525,0.4,0.5,0.882,0.2,0.6,0.8,0.9,0.4,0,0.5,0.7,4,"2003",FALSE,0,0,60
"209","Jason Kidd","PG",29,"NJN",80,80,37.4,6.4,15.6,0.414,1.6,4.6,0.341,4.9,10.9,0.445,0.465,4.2,5,0.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,"2003",FALSE,0,0.026,49
"210","Andrei Kirilenko","SF",21,"UTA",80,11,27.7,3.9,8,0.491,0.5,1.4,0.325,3.5,6.6,0.527,0.519,3.7,4.6,0.8,1.8,3.4,5.3,1.7,1.5,2.2,1.7,2.3,12,"2003",FALSE,0,0,47
"211","Kerry Kittles","SG",28,"NJN",65,57,30,5.1,10.9,0.467,1.2,3.4,0.356,3.9,7.6,0.516,0.522,1.6,2.1,0.785,0.8,3.1,3.9,2.6,1.6,0.5,0.8,1.7,13,"2003",FALSE,0,0,49
"212","Brevin Knight","PG",27,"MEM",55,4,16.9,1.8,4.1,0.425,0,0.1,0.25,1.7,4,0.432,0.43,0.4,0.7,0.541,0.3,1.2,1.5,4.2,1.3,0,1.7,2.2,3.9,"2003",FALSE,0,0,28
"214","Toni Kukoc","PF",34,"MIL",63,0,27,4,9.2,0.432,1.5,4.2,0.361,2.4,5,0.49,0.514,2.2,3.1,0.706,1.1,3.2,4.2,3.7,1.3,0.5,1.9,2.1,11.6,"2003",FALSE,0,0,42
"215","Christian Laettner","PF",33,"WAS",76,66,29.1,3.4,6.8,0.494,0,0.2,0.125,3.3,6.6,0.506,0.496,1.6,1.9,0.833,1.5,5.1,6.6,3.1,1.1,0.5,1.1,2.7,8.3,"2003",FALSE,0,0,37
"216","Raef LaFrentz","C",26,"DAL",69,43,23.3,3.9,7.4,0.518,0.7,1.7,0.405,3.2,5.8,0.55,0.563,0.9,1.3,0.682,1.8,3,4.8,0.8,0.5,1.3,0.7,3.8,9.3,"2003",FALSE,0,0,60
"218","Dan Langhi","SF",25,"PHO",60,0,9,1.4,3.4,0.401,0.2,0.5,0.29,1.2,2.9,0.421,0.423,0.2,0.3,0.6,0.3,1.1,1.5,0.4,0.3,0.1,0.3,1,3.1,"2003",FALSE,0,0,44
"219","Voshon Lenard","SG",29,"TOR",63,24,30.6,5.2,12.8,0.402,1.5,4,0.365,3.7,8.8,0.418,0.459,2.5,3.1,0.804,0.8,2.6,3.4,2.3,0.9,0.3,1.6,2.5,14.3,"2003",FALSE,0,0,24
"220","Rashard Lewis","SF",23,"SEA",77,77,39.5,6.7,14.9,0.452,1,2.8,0.346,5.8,12.1,0.476,0.484,3.7,4.5,0.82,2,4.6,6.5,1.7,1.3,0.5,1.9,2.7,18.1,"2003",FALSE,0,0,40
"224","Tyronn Lue","PG",25,"WAS",75,24,26.5,3.3,7.6,0.433,0.8,2.3,0.341,2.5,5.3,0.474,0.485,1.2,1.4,0.875,0.3,1.7,2,3.5,0.6,0,1,2,8.6,"2003",FALSE,0,0,37
"225","George Lynch","SG",32,"NOH",81,32,18.5,1.8,4.4,0.409,0.3,1,0.354,1.5,3.5,0.425,0.448,0.5,0.9,0.554,1.7,2.6,4.4,1.3,0.8,0.2,0.6,1.7,4.5,"2003",FALSE,0,0,47
"229","Corey Maggette","SG",23,"LAC",64,57,31.3,5.4,12.1,0.444,1,2.8,0.35,4.4,9.3,0.471,0.484,5.1,6.3,0.802,1.2,3.8,5,1.9,0.9,0.3,2.3,3,16.8,"2003",FALSE,0,0,27
"230","Jamaal Magloire","C",24,"NOH",82,82,29.8,3.7,7.7,0.48,0,0,0,3.7,7.7,0.483,0.48,2.8,3.9,0.717,3.2,5.7,8.8,1.1,0.6,1.4,1.9,3.4,10.3,"2003",FALSE,0,0,47
"231","Karl Malone","PF",39,"UTA",81,81,36.2,7.3,15.9,0.462,0,0.2,0.214,7.3,15.7,0.464,0.463,5.9,7.7,0.763,1.4,6.4,7.8,4.7,1.7,0.4,2.6,2.5,20.6,"2003",FALSE,0,0,47
"234","Stephon Marbury","PG",25,"PHO",81,81,40,8.3,18.9,0.439,1.1,3.7,0.301,7.2,15.2,0.472,0.468,4.6,5.8,0.803,0.7,2.6,3.2,8.1,1.3,0.2,3.2,2.5,22.3,"2003",FALSE,0,0,44
