Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Magic Johnson\johnsma02,27,LAL,65.0,733.0,780,0.940,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263
2,Michael Jordan\jordami01,23,CHI,10.0,449.0,780,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,.482,.182,.857,16.9,.247
3,Larry Bird\birdla01,30,BOS,1.0,271.0,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,.525,.400,.910,15.2,.243
4,Kevin McHale\mchalke01,29,BOS,0.0,254.0,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,.604,.000,.836,14.8,.232
5,Dominique Wilkins\wilkido01,27,ATL,0.0,128.0,780,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,.463,.292,.818,12.2,.197
6,Charles Barkley\barklch01,23,PHI,1.0,113.0,780,0.145,68,40.3,23.0,14.6,4.9,1.8,1.5,.594,.202,.761,12.0,.210
7,Hakeem Olajuwon\olajuha01,24,HOU,1.0,28.0,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,.508,.200,.702,10.9,.189
8,Isiah Thomas\thomais01,25,DET,0.0,17.0,780,0.022,81,37.2,20.6,3.9,10.0,1.9,0.2,.463,.194,.768,7.6,.121
9,Fat Lever\leverfa01,26,DEN,0.0,11.0,780,0.014,82,37.2,18.9,8.9,8.0,2.5,0.4,.469,.239,.782,9.7,.153
10,Moses Malone\malonmo01,31,WSB,0.0,9.0,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,.454,.000,.824,9.4,.182
11,Steve Johnson\johnsst03,29,POR,0.0,4.0,780,0.005,79,29.7,16.8,7.2,2.0,0.6,1.0,.556,,.698,4.4,.091
12T,Karl Malone\malonka01,23,UTA,0.0,3.0,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,.512,.000,.598,6.9,.116
12T,Robert Parish\parisro01,33,BOS,0.0,3.0,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,.556,.000,.735,9.2,.147
14,Alex English\englial01,33,DEN,0.0,2.0,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,.503,.267,.844,8.1,.126
15T,Mark Aguirre\aguirma01,27,DAL,0.0,1.0,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,.495,.353,.770,8.9,.160
15T,Rolando Blackman\blackro01,27,DAL,0.0,1.0,780,0.001,80,34.5,21.0,3.5,3.3,0.8,0.3,.495,.333,.884,8.0,.140
15T,Joe Barry Carroll\carrojo01,28,GSW,0.0,1.0,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,.472,,.787,4.6,.082
