Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kareem Abdul-Jabbar\abdulka01,29,LAL,159.0,159.0,247,0.644,82,36.8,26.2,13.3,3.9,1.2,3.2,.579,,.701,17.8,.283
2,Bill Walton\waltobi01,24,POR,29.0,29.0,247,0.117,65,34.8,18.6,14.4,3.8,1.0,3.2,.528,,.697,10.2,.215
3,Pete Maravich\maravpe01,29,NOJ,15.0,15.0,247,0.061,73,41.7,31.1,5.1,5.4,1.2,0.3,.433,,.835,6.4,.101
4,Bob Lanier\laniebo01,28,DET,11.0,11.0,247,0.045,64,38.2,25.3,11.6,3.3,1.1,2.0,.534,,.818,10.3,.203
5,Julius Erving\ervinju01,26,PHI,7.0,7.0,247,0.028,82,35.9,21.6,8.5,3.7,1.9,1.4,.499,,.777,11.5,.188
6,Moses Malone\malonmo01,21,TOT,6.0,6.0,247,0.024,82,30.6,13.2,13.1,1.1,0.8,2.2,.480,,.693,8.7,.167
7T,Elvin Hayes\hayesel01,31,WSB,5.0,5.0,247,0.020,82,41.0,23.7,12.5,1.9,1.1,2.7,.501,,.687,12.1,.173
7T,David Thompson\thompda01,22,DEN,5.0,5.0,247,0.020,82,36.6,25.9,4.1,4.1,1.4,0.6,.507,,.766,10.7,.172
9,Maurice Lucas\lucasma01,24,POR,4.0,4.0,247,0.016,79,36.2,20.2,11.4,2.9,1.1,0.7,.466,,.765,8.7,.147
10,Artis Gilmore\gilmoar01,27,CHI,2.0,2.0,247,0.008,82,35.1,18.6,13.0,2.4,0.5,2.5,.522,,.660,12.2,.203
11T,George Gervin\gervige01,24,SAS,1.0,1.0,247,0.004,82,33.0,23.1,5.5,2.9,1.3,1.3,.544,,.833,10.5,.187
11T,George McGinnis\mcginge01,26,PHI,1.0,1.0,247,0.004,79,35.1,21.4,11.5,3.8,2.1,0.5,.458,,.681,8.6,.149
11T,Norm Van Lier\vanlino01,29,CHI,1.0,1.0,247,0.004,82,37.8,10.2,4.5,7.8,1.6,0.2,.412,,.778,5.5,.085
11T,Jo Jo White\whitejo01,30,BOS,1.0,1.0,247,0.004,82,40.6,19.6,4.7,6.0,1.4,0.3,.429,,.869,6.5,.094
