Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Michael Jordan\jordami01,24,CHI,47.0,665.0,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308
2,Larry Bird\birdla01,31,BOS,16.0,527.0,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243
3,Magic Johnson\johnsma02,28,LAL,16.0,508.0,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,.492,.196,.853,10.9,.199
4,Charles Barkley\barklch01,24,PHI,1.0,109.0,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253
5,Clyde Drexler\drexlcl01,25,POR,0.0,86.0,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207
6,Dominique Wilkins\wilkido01,28,ATL,0.0,55.0,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160
7,Hakeem Olajuwon\olajuha01,25,HOU,0.0,40.0,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182
8,Karl Malone\malonka01,24,UTA,0.0,36.0,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152
9,Fat Lever\leverfa01,27,DEN,0.0,26.0,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,.211,.785,10.4,.163
10,John Stockton\stockjo01,25,UTA,0.0,15.0,800,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238
11,Alex English\englial01,34,DEN,0.0,4.0,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129
12,Isiah Thomas\thomais01,26,DET,0.0,3.0,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,.463,.309,.774,7.6,.124
13,Mark Jackson\jacksma01,22,NYK,0.0,2.0,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113
14T,Michael Adams\adamsmi01,25,DEN,0.0,1.0,800,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130
14T,Mark Aguirre\aguirma01,28,DAL,0.0,1.0,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163
14T,Adrian Dantley\dantlad01,31,DET,0.0,1.0,800,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,.514,.000,.860,9.4,.210
14T,Buck Williams\willibu01,27,NJN,0.0,1.0,800,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,.560,1.000,.668,7.6,.138
