Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bill Walton\waltobi01,25,POR,96.0,96.0,238,0.403,58,33.3,18.9,13.2,5.0,1.0,2.5,.522,,.720,8.4,.209
2,George Gervin\gervige01,25,SAS,80.5,80.5,238,0.338,82,34.8,27.2,5.1,3.7,1.7,1.3,.536,,.830,12.0,.201
3,David Thompson\thompda01,23,DEN,28.5,28.5,238,0.120,80,37.8,27.2,4.9,4.5,1.2,1.2,.521,,.778,12.7,.202
4,Kareem Abdul-Jabbar\abdulka01,30,LAL,14.0,14.0,238,0.059,62,36.5,25.8,12.9,4.3,1.7,3.0,.550,,.783,12.1,.257
5,Walter Davis\daviswa03,23,PHO,4.0,4.0,238,0.017,81,32.0,24.2,6.0,3.4,1.4,0.2,.526,,.830,10.1,.187
6T,Maurice Lucas\lucasma01,25,POR,3.0,3.0,238,0.013,68,31.2,16.4,9.1,2.5,0.9,0.8,.458,,.767,5.8,.131
6T,Paul Westphal\westppa01,27,PHO,3.0,3.0,238,0.013,80,31.0,25.2,2.1,5.5,1.7,0.4,.516,,.813,9.8,.190
8T,Artis Gilmore\gilmoar01,28,CHI,2.0,2.0,238,0.008,82,37.4,22.9,13.1,3.2,0.5,2.2,.559,,.704,11.5,.180
8T,Truck Robinson\robintr01,26,NOJ,2.0,2.0,238,0.008,82,44.4,22.7,15.7,2.1,0.9,1.0,.444,,.640,6.5,.086
10T,Julius Erving\ervinju01,27,PHI,1.0,1.0,238,0.004,74,32.8,20.6,6.5,3.8,1.8,1.3,.502,,.845,9.1,.179
10T,Marques Johnson\johnsma01,21,MIL,1.0,1.0,238,0.004,80,34.6,19.5,10.6,2.4,1.2,1.3,.522,,.736,10.6,.185
10T,Bob Lanier\laniebo01,29,DET,1.0,1.0,238,0.004,63,36.7,24.5,11.3,3.4,1.3,1.5,.537,,.772,10.1,.209
10T,Bob McAdoo\mcadobo01,26,NYK,1.0,1.0,238,0.004,79,40.3,26.5,12.8,3.8,1.3,1.6,.520,,.727,10.9,.165
10T,Marvin Webster\webstma01,25,SEA,1.0,1.0,238,0.004,82,35.5,14.0,12.6,2.5,0.6,2.0,.502,,.629,8.7,.143
