Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Moses Malone\malonmo01,23,HOU,112.0,112.0,223,0.502,82,41.3,24.8,17.6,1.8,1.0,1.5,.540,,.739,14.1,.200
2,George Gervin\gervige01,26,SAS,35.0,35.0,223,0.157,80,36.1,29.6,5.0,2.7,1.7,1.1,.541,,.826,11.4,.189
3,Elvin Hayes\hayesel01,33,WSB,28.0,28.0,223,0.126,82,37.9,21.8,12.1,1.7,0.9,2.3,.487,,.654,9.4,.146
4,Kareem Abdul-Jabbar\abdulka01,31,LAL,15.0,15.0,223,0.067,80,39.5,23.8,12.8,5.4,1.0,4.0,.577,,.736,14.4,.219
5,Bob Dandridge\dandrbo01,31,WSB,7.0,7.0,223,0.031,78,33.7,20.4,5.7,4.7,0.9,0.7,.499,,.825,8.7,.158
6,World B. Free\freewo01,25,SDC,5.0,5.0,223,0.022,78,37.9,28.8,3.9,4.4,1.4,0.4,.481,,.756,10.1,.164
7,Jack Sikma\sikmaja01,23,SEA,4.0,4.0,223,0.018,82,36.1,15.6,12.4,3.2,1.0,0.8,.460,,.814,8.8,.143
8T,Phil Ford\fordph01,22,KCK,3.0,3.0,223,0.013,79,34.5,15.9,2.3,8.6,2.2,0.1,.465,,.813,5.7,.101
8T,David Thompson\thompda01,24,DEN,3.0,3.0,223,0.013,76,35.1,24.0,3.6,3.0,0.9,1.1,.512,,.753,9.5,.171
10,Walter Davis\daviswa03,24,PHO,2.0,2.0,223,0.009,79,30.8,23.6,4.7,4.3,1.9,0.3,.561,,.831,9.4,.184
