Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kareem Abdul-Jabbar\abdulka01,28,LAL,52.0,409.0,925,0.442,82,41.2,27.7,16.9,5.0,1.5,4.1,.529,,.703,17.0,.242
2,Bob McAdoo\mcadobo01,24,BUF,47.0,393.0,925,0.425,78,42.7,31.1,12.4,4.0,1.2,2.1,.487,,.762,12.3,.178
3,Dave Cowens\cowenda01,27,BOS,48.0,378.0,925,0.409,78,39.8,19.0,16.0,4.2,1.2,0.9,.468,,.756,10.7,.165
4,Rick Barry\barryri01,31,GSW,20.0,201.0,925,0.217,81,38.5,21.0,6.1,6.1,2.5,0.3,.435,,.923,9.6,.148
5,George McGinnis\mcginge01,25,PHI,4.0,80.0,925,0.086,77,38.3,23.0,12.6,4.7,2.6,0.5,.417,,.740,8.5,.139
6,Dave Bing\bingda01,32,WSB,2.0,35.0,925,0.038,82,35.9,16.2,2.9,6.0,1.4,0.3,.447,,.787,6.3,.102
7,Phil Smith\smithph01,23,GSW,2.0,25.0,925,0.027,82,34.1,20.0,4.6,4.4,1.3,0.2,.477,,.788,9.4,.161
8,Elvin Hayes\hayesel01,30,WSB,1.0,17.0,925,0.018,80,37.2,19.8,11.0,1.5,1.3,2.5,.470,,.628,8.1,.131
9T,Jim Chones\choneji01,26,CLE,2.0,13.0,925,0.014,82,33.4,15.8,9.0,2.0,0.5,1.1,.448,,.662,6.0,.105
9T,Tiny Archibald\architi01,27,KCK,1.0,13.0,925,0.014,78,40.8,24.8,2.7,7.9,1.6,0.2,.453,,.802,8.0,.121
11,Wes Unseld\unselwe01,29,WSB,0.0,12.0,925,0.013,78,37.5,9.6,13.3,5.2,1.1,0.8,.561,,.585,9.5,.156
12,Earl Monroe\monroea01,31,NYK,2.0,11.0,925,0.012,76,38.0,20.7,3.6,4.0,1.5,0.3,.478,,.787,7.2,.119
13,Fred Brown\brownfr01,27,SEA,1.0,10.0,925,0.011,76,33.1,23.1,4.2,2.7,1.9,0.2,.488,,.869,8.8,.167
14,Paul Silas\silaspa01,32,BOS,1.0,9.0,925,0.010,81,32.9,10.7,12.7,2.5,0.7,0.4,.426,,.709,7.2,.129
15,Pete Maravich\maravpe01,28,NOJ,0.0,7.0,925,0.008,62,38.3,25.9,4.8,5.4,1.4,0.4,.459,,.811,7.1,.144
16,Clifford Ray\raycl01,27,GSW,0.0,6.0,925,0.006,82,26.6,6.9,9.5,1.8,1.0,1.0,.525,,.609,7.0,.154
17T,Walt Frazier\fraziwa01,30,NYK,1.0,5.0,925,0.005,59,41.1,19.1,6.8,5.9,1.8,0.2,.485,,.823,6.8,.134
17T,Jamaal Wilkes\wilkeja01,22,GSW,1.0,5.0,925,0.005,82,33.1,17.8,8.8,2.0,1.2,0.4,.463,,.772,8.3,.147
17T,Phil Chenier\cheniph01,25,WSB,0.0,5.0,925,0.005,80,36.9,19.9,4.0,3.2,2.0,0.6,.483,,.827,8.8,.143
20T,Doug Collins\collido01,24,PHI,0.0,3.0,925,0.003,77,38.9,20.8,4.0,2.5,1.4,0.3,.513,,.836,10.0,.161
20T,John Drew\drewjo01,21,ATL,0.0,3.0,925,0.003,77,30.5,21.6,8.6,1.9,1.8,0.4,.502,,.744,10.6,.216
20T,Steve Mix\mixst01,28,PHI,0.0,3.0,925,0.003,81,37.5,13.9,8.2,2.7,2.0,0.4,.499,,.818,9.4,.148
20T,Jo Jo White\whitejo01,29,BOS,0.0,3.0,925,0.003,82,39.7,18.9,3.8,5.4,1.3,0.2,.449,,.838,7.4,.109
24T,Bob Dandridge\dandrbo01,28,MIL,0.0,1.0,925,0.001,73,37.5,21.5,7.4,2.8,1.5,0.5,.502,,.824,9.0,.158
24T,John Havlicek\havlijo01,35,BOS,0.0,1.0,925,0.001,76,34.2,17.0,4.1,3.7,1.3,0.4,.450,,.844,7.4,.137
24T,Truck Robinson\robintr01,24,WSB,0.0,1.0,925,0.001,82,25.1,11.2,6.8,1.4,0.5,1.3,.454,,.672,4.3,.099
24T,Randy Smith\smithra01,27,BUF,0.0,1.0,925,0.001,82,38.6,21.8,5.1,5.9,1.9,0.0,.494,,.817,9.4,.143
24T,Norm Van Lier\vanlino01,28,CHI,0.0,1.0,925,0.001,76,39.8,12.6,5.4,6.6,2.0,0.3,.366,,.737,3.2,.051
24T,Bill Walton\waltobi01,23,POR,0.0,1.0,925,0.001,51,33.1,16.1,13.4,4.3,1.0,1.6,.471,,.583,3.8,.109
24T,Paul Westphal\westppa01,25,PHO,0.0,1.0,925,0.001,82,36.1,20.5,3.2,5.4,2.6,0.5,.494,,.830,9.6,.155
