Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Karl Malone\malonka01,33,UTA,63.0,986.0,1150,0.857,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268
2,Michael Jordan\jordami01,33,CHI,52.0,957.0,1150,0.832,82,37.9,29.6,5.9,4.3,1.7,0.5,.486,.374,.833,18.3,.283
3,Grant Hill\hillgr01,24,DET,0.0,376.0,1150,0.327,80,39.3,21.4,9.0,7.3,1.8,0.6,.496,.303,.711,14.6,.223
4,Tim Hardaway\hardati01,30,MIA,0.0,238.0,1150,0.207,81,38.7,20.3,3.4,8.6,1.9,0.1,.415,.344,.799,12.9,.198
5,Glen Rice\ricegl01,29,CHH,0.0,134.0,1150,0.117,79,42.6,26.8,4.0,2.0,0.9,0.3,.477,.470,.867,10.8,.154
6,Gary Payton\paytoga01,28,SEA,0.0,105.0,1150,0.091,82,39.2,21.8,4.6,7.1,2.4,0.2,.476,.313,.715,12.9,.193
7,Hakeem Olajuwon\olajuha01,34,HOU,0.0,95.0,1150,0.083,78,36.6,23.2,9.2,3.0,1.5,2.2,.510,.313,.787,9.1,.154
8,Patrick Ewing\ewingpa01,34,NYK,0.0,57.0,1150,0.050,78,37.0,22.4,10.7,2.0,0.9,2.4,.488,.222,.754,9.8,.163
9T,Anthony Mason\masonan01,30,CHH,0.0,7.0,1150,0.006,73,43.1,16.2,11.4,5.7,1.0,0.5,.525,.333,.745,11.4,.173
9T,Shaquille O'Neal\onealsh01,24,LAL,0.0,7.0,1150,0.006,51,38.1,26.2,12.5,3.1,0.9,2.9,.557,.000,.484,8.0,.197
11,Scottie Pippen\pippesc01,31,CHI,0.0,6.0,1150,0.005,82,37.7,20.2,6.5,5.7,1.9,0.5,.474,.368,.701,13.1,.203
12,Alonzo Mourning\mournal01,26,MIA,0.0,5.0,1150,0.004,66,35.2,19.8,9.9,1.6,0.8,2.9,.534,.111,.642,8.4,.174
13T,Dikembe Mutombo\mutomdi01,30,ATL,0.0,4.0,1150,0.003,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183
13T,Mitch Richmond\richmmi01,31,SAC,0.0,4.0,1150,0.003,81,38.6,25.9,3.9,4.2,1.5,0.3,.454,.428,.861,10.8,.166
15,John Stockton\stockjo01,34,UTA,0.0,3.0,1150,0.003,82,35.3,14.4,2.8,10.5,2.0,0.2,.548,.422,.846,13.6,.226
16,Charles Barkley\barklch01,33,HOU,0.0,2.0,1150,0.002,53,37.9,19.2,13.5,4.7,1.3,0.5,.484,.283,.694,9.4,.224
17T,Tom Gugliotta\guglito01,27,MIN,0.0,1.0,1150,0.001,81,38.7,20.6,8.7,4.1,1.6,1.1,.442,.258,.820,6.7,.103
17T,Allen Iverson\iversal01,21,PHI,0.0,1.0,1150,0.001,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065
17T,Kevin Johnson\johnske02,30,PHO,0.0,1.0,1150,0.001,70,38.0,20.1,3.6,9.3,1.5,0.2,.496,.441,.852,11.7,.211
17T,Steve Smith\smithst01,27,ATL,0.0,1.0,1150,0.001,72,39.1,20.1,3.3,4.2,0.9,0.3,.429,.335,.847,9.1,.154
