
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Arron Afflalo\afflaar01,SG,24,DEN,82,2221,10.9,.576,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,,2.8,1.4,4.3,.092,,0.8,-0.5,0.3,1.3
2,Alexis Ajinca\ajincal01,C,21,CHA,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-8.5,-2.0,-10.4,-0.1
3,LaMarcus Aldridge\aldrila01,PF,24,POR,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,.145,,0.9,0.6,1.6,2.6
4,Joe Alexander\alexajo01,SF,23,CHI,8,29,2.8,.273,.167,.500,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,,0.0,0.0,0.0,.030,,-5.2,1.5,-3.7,0.0
5,Malik Allen\allenma01,PF,31,DEN,51,456,5.9,.431,.052,.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,,-0.3,0.3,0.1,.009,,-4.2,-0.8,-5.0,-0.3
6,Ray Allen*\allenra02,SG,34,BOS,80,2819,15.2,.601,.410,.260,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,.135,,2.3,-0.7,1.7,2.6
7,Tony Allen\allento01,SG,28,BOS,54,889,14.2,.540,.020,.470,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,.100,,-1.8,2.6,0.8,0.6
8,Rafer Alston\alstora01,PG,33,TOT,52,1421,8.2,.443,.377,.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,,-1.6,1.2,-0.4,-0.013,,-2.9,-0.8,-3.7,-0.6
9,Lou Amundson\amundlo01,PF,27,PHO,79,1168,14.4,.562,.004,.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,,1.5,1.3,2.9,.118,,-1.0,1.4,0.4,0.7
10,Chris Andersen\anderch01,PF,31,DEN,76,1695,15.8,.631,.012,.940,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,,3.2,2.7,5.9,.166,,-1.1,3.3,2.1,1.8
11,David Andersen\anderda03,C,29,HOU,63,891,12.1,.497,.229,.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,,0.4,0.9,1.3,.070,,-2.5,-1.3,-3.8,-0.4
12,Antonio Anderson\anderan02,SF,24,OKC,1,15,-1.7,.333,.000,.000,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,,0.0,0.0,0.0,-0.104,,-8.2,-3.1,-11.4,0.0
13,Ryan Anderson\anderry01,PF,21,ORL,63,911,18.1,.574,.544,.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,,1.7,1.4,3.1,.161,,2.3,-1.0,1.3,0.8
14,Carmelo Anthony\anthoca01,SF,25,DEN,69,2634,22.2,.548,.125,.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,,5.6,2.4,7.9,.145,,2.7,-1.3,1.4,2.3
15,Joel Anthony\anthojo01,C,27,MIA,80,1322,10.2,.546,.000,.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,,1.0,2.0,3.1,.111,,-3.1,3.5,0.4,0.8
16,Gilbert Arenas\arenagi01,PG,28,WAS,32,1169,18.7,.511,.294,.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,,0.9,0.9,1.8,.072,,3.8,-1.3,2.5,1.3
17,Trevor Ariza\arizatr01,SF,24,HOU,72,2629,13.3,.488,.407,.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,,0.1,3.1,3.2,.058,,0.0,1.3,1.3,2.2
18,Hilton Armstrong\armsthi01,PF-C,25,TOT,33,335,6.9,.381,.013,.405,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,,-0.5,0.4,-0.1,-0.017,,-6.1,2.0,-4.0,-0.2
19,Carlos Arroyo\arroyca01,PG,30,MIA,72,1585,12.3,.529,.067,.240,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,,2.2,1.5,3.7,.113,,-1.2,-0.8,-2.0,0.0
20,Darrell Arthur\arthuda01,PF,21,MEM,32,457,10.5,.449,.007,.205,9.4,18.7,14.0,4.9,1.6,2.3,12.1,17.4,,-0.1,0.4,0.3,.031,,-3.9,-0.4,-4.3,-0.3
21,Chucky Atkins\atkinch01,PG,35,DET,40,644,8.3,.477,.465,.172,0.9,4.8,2.7,21.6,1.4,0.0,15.9,14.4,,0.2,0.1,0.2,.017,,-2.1,-3.7,-5.8,-0.6
22,D.J. Augustin\augusdj01,PG,22,CHA,80,1472,11.2,.516,.409,.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,.092,,-0.9,-1.6,-2.6,-0.2
23,Jeff Ayres\pendeje02,C,22,POR,39,405,12.1,.705,.000,.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,,0.8,0.6,1.3,.156,,-2.5,-0.4,-2.9,-0.1
24,Kelenna Azubuike\azubuke01,SF,26,GSW,9,231,19.8,.623,.307,.318,5.7,14.2,9.9,6.8,1.0,2.8,6.5,19.9,,0.6,0.1,0.7,.148,,1.9,-2.0,0.0,0.1
